system,miss_cost_ratio,p_t,net_benefit,net_benefit_treat_all,advantage_over_treat_all
whisper_mil,1:1,0.5,0.5873,0.5193,0.068
whisper_mil,1:5,0.1667,0.7098,0.7116,-0.0018
whisper_mil,1:10,0.0909,0.7311,0.7356,-0.0045
whisper_mil,1:25,0.0385,0.7427,0.75,-0.0073
whisper_medium_mil,1:1,0.5,0.6032,0.5193,0.0839
whisper_medium_mil,1:5,0.1667,0.7102,0.7116,-0.0014
whisper_medium_mil,1:10,0.0909,0.729,0.7356,-0.0066
whisper_medium_mil,1:25,0.0385,0.7465,0.75,-0.0035
whisper_large_mil,1:1,0.5,0.5896,0.5193,0.0703
whisper_large_mil,1:5,0.1667,0.7102,0.7116,-0.0014
whisper_large_mil,1:10,0.0909,0.7338,0.7356,-0.0018
whisper_large_mil,1:25,0.0385,0.7466,0.75,-0.0034
whisper_pseudo_frame,1:1,0.5,0.5986,0.5193,0.0794
whisper_pseudo_frame,1:5,0.1667,0.7116,0.7116,0.0
whisper_pseudo_frame,1:10,0.0909,0.7356,0.7356,0.0
whisper_pseudo_frame,1:25,0.0385,0.75,0.75,0.0
fused_whisper_medium,1:1,0.5,0.6213,0.5193,0.102
fused_whisper_medium,1:5,0.1667,0.7138,0.7116,0.0023
fused_whisper_medium,1:10,0.0909,0.7347,0.7356,-0.0009
fused_whisper_medium,1:25,0.0385,0.7481,0.75,-0.0019
fused_whisper_large,1:1,0.5,0.5941,0.5193,0.0748
fused_whisper_large,1:5,0.1667,0.698,0.7116,-0.0136
fused_whisper_large,1:10,0.0909,0.7249,0.7356,-0.0107
fused_whisper_large,1:25,0.0385,0.7447,0.75,-0.0054
babar_ecapa,1:1,0.5,0.5737,0.5193,0.0544
babar_ecapa,1:5,0.1667,0.7116,0.7116,0.0
babar_ecapa,1:10,0.0909,0.7356,0.7356,0.0
babar_ecapa,1:25,0.0385,0.75,0.75,0.0
vtc_kchi_ecapa,1:1,0.5,0.5737,0.5193,0.0544
vtc_kchi_ecapa,1:5,0.1667,0.7116,0.7116,0.0
vtc_kchi_ecapa,1:10,0.0909,0.7356,0.7356,0.0
vtc_kchi_ecapa,1:25,0.0385,0.75,0.75,0.0
