diarizer,stratify_by,group,n,n_pos,f1,precision,recall,auroc,auprc,fp,fn
BabAR,task_type,bookshare,9,7,0.8571,0.8571,0.8571,0.8929,0.9683,1,1
BabAR,task_type,dailyroutine,29,27,0.9811,1.0000,0.9630,1.0000,1.0000,0,1
BabAR,task_type,generalsocialcommunicationinteraction,135,112,0.9116,0.9515,0.8750,0.8323,0.9459,5,14
BabAR,task_type,motorplay,96,63,0.8000,0.8421,0.7619,0.7557,0.8247,9,15
BabAR,task_type,other,43,29,0.8929,0.9259,0.8621,0.8473,0.8757,2,4
BabAR,task_type,socialroutine,23,22,0.9524,1.0000,0.9091,0.9545,0.9960,0,2
BabAR,task_type,specialoccasion,17,9,0.7368,0.7000,0.7778,0.7917,0.8249,3,2
BabAR,task_type,toyplay,77,57,0.8870,0.8793,0.8947,0.8404,0.9291,7,6
BabAR,task_type,unknown,11,9,0.0000,0.0000,0.0000,0.5000,0.8182,0,9
BabAR,timepoint_norm,14_month,234,163,0.8688,0.8854,0.8528,0.8261,0.8941,18,24
BabAR,timepoint_norm,36_month,207,172,0.8793,0.9404,0.8256,0.8106,0.9420,9,30
BabAR,n_adults_cat,0,337,259,0.8862,0.9174,0.8571,0.8310,0.9276,20,37
BabAR,n_adults_cat,1,89,69,0.8550,0.9032,0.8116,0.7652,0.8927,6,13
BabAR,n_adults_cat,2+,14,7,0.5455,0.7500,0.4286,0.6735,0.7143,1,4
BabAR,n_children_cat,1,345,271,0.8872,0.9383,0.8413,0.8395,0.9339,15,43
BabAR,n_children_cat,2+,94,62,0.8254,0.8125,0.8387,0.7747,0.8520,12,10
BabAR,has_interaction,False,94,54,0.8727,0.8571,0.8889,0.8787,0.8956,8,6
BabAR,has_interaction,True,347,281,0.8743,0.9246,0.8292,0.8000,0.9286,19,48
BabAR,has_gestures,False,247,183,0.8646,0.9146,0.8197,0.8161,0.9102,14,33
BabAR,has_gestures,True,194,152,0.8851,0.9097,0.8618,0.8234,0.9258,13,21
BabAR,context,book share,9,7,0.8571,0.8571,0.8571,0.8929,0.9683,1,1
BabAR,context,daily routine,30,28,0.9630,1.0000,0.9286,0.9821,0.9976,0,2
BabAR,context,general social communication interaction,140,116,0.8950,0.9515,0.8448,0.8215,0.9418,5,18
BabAR,context,motor play,96,63,0.8000,0.8421,0.7619,0.7557,0.8247,9,15
BabAR,context,other,44,30,0.8772,0.9259,0.8333,0.8333,0.8702,2,5
BabAR,context,social routine,24,23,0.9302,1.0000,0.8696,0.9348,0.9946,0,3
BabAR,context,special occasion,17,9,0.7368,0.7000,0.7778,0.7917,0.8249,3,2
BabAR,context,toy play,80,59,0.8718,0.8793,0.8644,0.8281,0.9223,7,8
BabAR,location,inside private,306,248,0.9110,0.9362,0.8871,0.8493,0.9474,15,28
BabAR,location,inside public,43,27,0.8163,0.9091,0.7407,0.8241,0.8692,2,7
BabAR,location,outside private,43,28,0.7170,0.7600,0.6786,0.6357,0.7342,6,9
BabAR,location,outside public,47,30,0.7636,0.8400,0.7000,0.7598,0.8376,4,9
BabAR,child_constrained,False,364,277,0.8719,0.9268,0.8231,0.8300,0.9212,18,49
BabAR,child_constrained,True,77,58,0.8833,0.8548,0.9138,0.7650,0.8940,9,5
BabAR,face_visibility,high(8-10),188,146,0.8826,0.9185,0.8493,0.8497,0.9386,11,22
BabAR,face_visibility,low(1-4),135,95,0.8729,0.9186,0.8316,0.8526,0.9156,7,16
BabAR,face_visibility,mid(5-7),118,94,0.8619,0.8966,0.8298,0.7125,0.8915,9,16
BabAR,lighting,high(6-10),431,328,0.8766,0.9112,0.8445,0.8203,0.9185,27,51
BabAR,lighting,low(1-5),10,7,0.7273,1.0000,0.5714,0.7857,0.8714,0,3
BabAR,body_parts,both,321,237,0.8659,0.9037,0.8312,0.8058,0.8996,21,40
BabAR,body_parts,upper,117,95,0.8962,0.9318,0.8632,0.8646,0.9562,6,13
Pyannote,task_type,bookshare,9,7,0.8000,0.7500,0.8571,0.4286,0.7968,2,1
Pyannote,task_type,dailyroutine,29,27,0.9259,0.9259,0.9259,0.2593,0.8975,2,2
Pyannote,task_type,generalsocialcommunicationinteraction,135,112,0.9145,0.8770,0.9554,0.6312,0.8682,15,5
Pyannote,task_type,motorplay,96,63,0.7857,0.7143,0.8730,0.5854,0.6940,22,8
Pyannote,task_type,other,43,29,0.7857,0.8148,0.7586,0.8054,0.8781,5,7
Pyannote,task_type,socialroutine,23,22,0.9545,0.9545,0.9545,0.1818,0.9340,1,1
Pyannote,task_type,specialoccasion,17,9,0.7826,0.6429,1.0000,0.7361,0.7315,5,0
Pyannote,task_type,toyplay,77,57,0.8276,0.8136,0.8421,0.7228,0.8702,11,9
Pyannote,task_type,unknown,11,9,0.8421,0.8000,0.8889,0.7778,0.9576,2,1
Pyannote,timepoint_norm,14_month,234,163,0.8357,0.7880,0.8896,0.7184,0.8131,39,18
Pyannote,timepoint_norm,36_month,207,172,0.8789,0.8525,0.9070,0.5379,0.8401,27,16
Pyannote,n_adults_cat,0,337,259,0.8625,0.8315,0.8958,0.6677,0.8323,47,27
Pyannote,n_adults_cat,1,89,69,0.8571,0.8077,0.9130,0.5826,0.8122,15,6
Pyannote,n_adults_cat,2+,14,7,0.7500,0.6667,0.8571,0.7143,0.7499,3,1
Pyannote,n_children_cat,1,345,271,0.8618,0.8495,0.8745,0.6505,0.8427,42,34
Pyannote,n_children_cat,2+,94,62,0.8378,0.7209,1.0000,0.7450,0.7789,24,0
Pyannote,has_interaction,False,94,54,0.7290,0.7358,0.7222,0.7458,0.7927,14,15
Pyannote,has_interaction,True,347,281,0.8807,0.8344,0.9324,0.5768,0.8254,52,19
Pyannote,has_gestures,False,247,183,0.8549,0.8128,0.9016,0.6694,0.8165,38,18
Pyannote,has_gestures,True,194,152,0.8608,0.8293,0.8947,0.6494,0.8448,28,16
Pyannote,context,book share,9,7,0.8000,0.7500,0.8571,0.4286,0.7968,2,1
Pyannote,context,daily routine,30,28,0.9286,0.9286,0.9286,0.2500,0.8988,2,2
Pyannote,context,general social communication interaction,140,116,0.9091,0.8730,0.9483,0.6372,0.8694,16,6
Pyannote,context,motor play,96,63,0.7857,0.7143,0.8730,0.5854,0.6940,22,8
Pyannote,context,other,44,30,0.7931,0.8214,0.7667,0.8024,0.8787,5,7
Pyannote,context,social routine,24,23,0.9565,0.9565,0.9565,0.1739,0.9351,1,1
Pyannote,context,special occasion,17,9,0.7826,0.6429,1.0000,0.7361,0.7315,5,0
Pyannote,context,toy play,80,59,0.8264,0.8065,0.8475,0.7280,0.8713,12,9
Pyannote,location,inside private,306,248,0.8924,0.8669,0.9194,0.6837,0.8686,35,20
Pyannote,location,inside public,43,27,0.7407,0.7407,0.7407,0.6412,0.7370,7,7
Pyannote,location,outside private,43,28,0.8125,0.7222,0.9286,0.7214,0.8467,10,2
Pyannote,location,outside public,47,30,0.7429,0.6500,0.8667,0.4422,0.6221,14,4
Pyannote,child_constrained,False,364,277,0.8547,0.8206,0.8917,0.6596,0.8193,54,30
Pyannote,child_constrained,True,77,58,0.8710,0.8182,0.9310,0.6688,0.8545,12,4
Pyannote,face_visibility,high(8-10),188,146,0.8664,0.8261,0.9110,0.7010,0.8690,28,13
Pyannote,face_visibility,low(1-4),135,95,0.8000,0.7619,0.8421,0.6024,0.7473,25,15
Pyannote,face_visibility,mid(5-7),118,94,0.9026,0.8713,0.9362,0.6742,0.8472,13,6
Pyannote,lighting,high(6-10),431,328,0.8571,0.8212,0.8963,0.6569,0.8234,64,34
Pyannote,lighting,low(1-5),10,7,0.8750,0.7778,1.0000,0.8571,0.9478,2,0
Pyannote,body_parts,both,321,237,0.8410,0.8038,0.8819,0.6512,0.8006,51,28
Pyannote,body_parts,upper,117,95,0.8945,0.8558,0.9368,0.6837,0.8748,15,6
USC-SAIL,task_type,bookshare,9,7,0.8571,0.8571,0.8571,0.4643,0.7407,1,1
USC-SAIL,task_type,dailyroutine,29,27,0.9630,0.9630,0.9630,0.7778,0.9798,1,1
USC-SAIL,task_type,generalsocialcommunicationinteraction,135,112,0.9212,0.8605,0.9911,0.6157,0.8576,18,1
USC-SAIL,task_type,motorplay,96,63,0.8344,0.7159,1.0000,0.6041,0.6905,25,0
USC-SAIL,task_type,other,43,29,0.8485,0.7568,0.9655,0.6318,0.7354,9,1
USC-SAIL,task_type,socialroutine,23,22,0.9545,0.9545,0.9545,0.5455,0.9748,1,1
USC-SAIL,task_type,specialoccasion,17,9,0.7500,0.6000,1.0000,0.8472,0.8709,6,0
USC-SAIL,task_type,toyplay,77,57,0.8750,0.7887,0.9825,0.6754,0.8088,15,1
USC-SAIL,task_type,unknown,11,9,0.0000,0.0000,0.0000,0.5000,0.8182,0,9
USC-SAIL,timepoint_norm,14_month,234,163,0.8370,0.7512,0.9448,0.6268,0.7490,51,9
USC-SAIL,timepoint_norm,36_month,207,172,0.9121,0.8646,0.9651,0.6140,0.8416,26,6
USC-SAIL,n_adults_cat,0,337,259,0.8845,0.8191,0.9614,0.6395,0.8090,55,10
USC-SAIL,n_adults_cat,1,89,69,0.8800,0.8148,0.9565,0.6420,0.8234,15,3
USC-SAIL,n_adults_cat,2+,14,7,0.5556,0.4545,0.7143,0.4082,0.4942,6,2
