audio_path,subset,prompt,score,pred
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/ah_ba_ba_00.wav,unconditioned,ah_ba_ba,0.6360791325569153,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/ah_ba_ba_01.wav,unconditioned,ah_ba_ba,0.3118836581707001,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/babble_brackets_00.wav,unconditioned,babble_brackets,0.17347419261932373,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/babble_brackets_01.wav,unconditioned,babble_brackets,0.4774623215198517,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/infant_voc_brackets_00.wav,unconditioned,infant_voc_brackets,0.19235298037528992,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/infant_voc_brackets_01.wav,unconditioned,infant_voc_brackets,0.4052231013774872,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/laughs_babble_00.wav,unconditioned,laughs_babble,0.09905662387609482,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/laughs_babble_01.wav,unconditioned,laughs_babble,0.3565627336502075,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/mama_dada_00.wav,unconditioned,mama_dada,0.021864118054509163,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/mama_dada_01.wav,unconditioned,mama_dada,0.3487534821033478,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/ooh_aah_00.wav,unconditioned,ooh_aah,0.44394269585609436,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/ooh_aah_01.wav,unconditioned,ooh_aah,0.6251899003982544,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/single_word_dog_00.wav,unconditioned,single_word_dog,0.21859708428382874,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/single_word_dog_01.wav,unconditioned,single_word_dog,0.1890970915555954,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/uhoh_00.wav,unconditioned,uhoh,0.06570875644683838,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/unconditioned/uhoh_01.wav,unconditioned,uhoh,0.2788497805595398,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/ah_ba_ba_00.wav,preset_speaker9,ah_ba_ba,0.7737600207328796,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/ah_ba_ba_01.wav,preset_speaker9,ah_ba_ba,0.8632175922393799,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/babble_brackets_00.wav,preset_speaker9,babble_brackets,0.8324573636054993,1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/babble_brackets_01.wav,preset_speaker9,babble_brackets,0.11455010622739792,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/infant_voc_brackets_00.wav,preset_speaker9,infant_voc_brackets,0.16571232676506042,0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth/synth_voice/spec019_bark_smoke/preset_speaker9/infant_voc_brackets_01.wav,preset_speaker9,infant_voc_brackets,0.5208868980407715,1
