diarizer,n_children_cat,n_adults_cat,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc
BabAR,1,0,265,204,61,11,29,0.1803,0.1422,0.8491,0.8974,0.8644
BabAR,1,1,73,62,11,4,11,0.3636,0.1774,0.7945,0.8718,0.7221
BabAR,1,2+,7,5,2,0,3,0.0,0.6,0.5714,0.5714,0.7
BabAR,2+,0,71,54,17,9,8,0.5294,0.1481,0.7606,0.844,0.7026
BabAR,2+,1,15,6,9,2,1,0.2222,0.1667,0.8,0.7692,0.8056
BabAR,2+,2+,7,2,5,1,1,0.2,0.5,0.7143,0.5,0.7
Pyannote,1,0,265,204,61,33,27,0.541,0.1324,0.7736,0.8551,0.659
Pyannote,1,1,73,62,11,8,6,0.7273,0.0968,0.8082,0.8889,0.5792
Pyannote,1,2+,7,5,2,1,1,0.5,0.2,0.7143,0.8,0.7
Pyannote,2+,0,71,54,17,14,0,0.8235,0.0,0.8028,0.8852,0.7386
Pyannote,2+,1,15,6,9,7,0,0.7778,0.0,0.5333,0.6316,0.6667
Pyannote,2+,2+,7,2,5,2,0,0.4,0.0,0.7143,0.6667,0.8
USC-SAIL,1,0,265,204,61,41,9,0.6721,0.0441,0.8113,0.8864,0.6366
USC-SAIL,1,1,73,62,11,8,2,0.7273,0.0323,0.863,0.9231,0.64
USC-SAIL,1,2+,7,5,2,2,2,1.0,0.4,0.4286,0.6,0.3
USC-SAIL,2+,0,71,54,17,14,1,0.8235,0.0185,0.7887,0.876,0.6765
USC-SAIL,2+,1,15,6,9,7,1,0.7778,0.1667,0.4667,0.5556,0.6944
USC-SAIL,2+,2+,7,2,5,4,0,0.8,0.0,0.4286,0.5,0.6
VTC,1,0,265,204,61,18,18,0.2951,0.0882,0.8642,0.9118,0.8367
VTC,1,1,73,62,11,5,7,0.4545,0.1129,0.8356,0.9016,0.7669
VTC,1,2+,7,5,2,0,3,0.0,0.6,0.5714,0.5714,0.7
VTC,2+,0,71,54,17,12,1,0.7059,0.0185,0.8169,0.8908,0.7402
VTC,2+,1,15,6,9,7,1,0.7778,0.1667,0.4667,0.5556,0.6667
VTC,2+,2+,7,2,5,4,0,0.8,0.0,0.4286,0.5,0.9
VTC-KCHI,1,0,265,204,61,11,29,0.1803,0.1422,0.8491,0.8974,0.8644
VTC-KCHI,1,1,73,62,11,4,11,0.3636,0.1774,0.7945,0.8718,0.7221
VTC-KCHI,1,2+,7,5,2,0,3,0.0,0.6,0.5714,0.5714,0.7
VTC-KCHI,2+,0,71,54,17,9,8,0.5294,0.1481,0.7606,0.844,0.7026
VTC-KCHI,2+,1,15,6,9,2,1,0.2222,0.1667,0.8,0.7692,0.8056
VTC-KCHI,2+,2+,7,2,5,1,1,0.2,0.5,0.7143,0.5,0.7
VBx,1,0,265,204,61,40,17,0.6557,0.0833,0.7849,0.8677,0.6983
VBx,1,1,73,62,11,11,5,1.0,0.0806,0.7808,0.8769,0.5924
VBx,1,2+,7,5,2,1,1,0.5,0.2,0.7143,0.8,0.65
VBx,2+,0,71,54,17,15,0,0.8824,0.0,0.7887,0.878,0.72
VBx,2+,1,15,6,9,8,1,0.8889,0.1667,0.4,0.5263,0.6852
VBx,2+,2+,7,2,5,3,0,0.6,0.0,0.5714,0.5714,0.8
TalkNet-ASD,1,0,265,204,61,4,156,0.0656,0.7647,0.3962,0.375,0.5712
TalkNet-ASD,1,1,73,62,11,1,51,0.0909,0.8226,0.2877,0.2973,0.5718
TalkNet-ASD,1,2+,7,5,2,0,4,0.0,0.8,0.4286,0.3333,0.6
TalkNet-ASD,2+,0,71,54,17,1,45,0.0588,0.8333,0.3521,0.2812,0.5763
TalkNet-ASD,2+,1,15,6,9,0,6,0.0,1.0,0.6,0.0,0.4444
TalkNet-ASD,2+,2+,7,2,5,1,2,0.2,1.0,0.5714,0.0,0.4
EEND-EDA,1,0,265,204,61,53,15,0.8689,0.0735,0.7434,0.8475,0.5199
EEND-EDA,1,1,73,62,11,10,4,0.9091,0.0645,0.8082,0.8923,0.4326
EEND-EDA,1,2+,7,5,2,1,0,0.5,0.0,0.8571,0.9091,0.6
EEND-EDA,2+,0,71,54,17,15,3,0.8824,0.0556,0.7465,0.85,0.5801
EEND-EDA,2+,1,15,6,9,9,1,1.0,0.1667,0.3333,0.5,0.6481
EEND-EDA,2+,2+,7,2,5,3,0,0.6,0.0,0.5714,0.5714,0.7
Sortformer,1,0,265,204,61,45,18,0.7377,0.0882,0.7623,0.8552,0.6282
Sortformer,1,1,73,62,11,10,10,0.9091,0.1613,0.726,0.8387,0.5828
Sortformer,1,2+,7,5,2,2,1,1.0,0.2,0.5714,0.7273,0.7
Sortformer,2+,0,71,54,17,12,4,0.7059,0.0741,0.7746,0.8621,0.7805
Sortformer,2+,1,15,6,9,6,1,0.6667,0.1667,0.5333,0.5882,0.6667
Sortformer,2+,2+,7,2,5,1,0,0.2,0.0,0.8571,0.8,1.0
WavLM-MIL,1,0,265,204,61,40,7,0.6557,0.0343,0.8226,0.8934,0.81
WavLM-MIL,1,1,73,62,11,10,1,0.9091,0.0161,0.8493,0.9173,0.7023
WavLM-MIL,1,2+,7,5,2,2,0,1.0,0.0,0.7143,0.8333,1.0
WavLM-MIL,2+,0,71,54,17,16,1,0.9412,0.0185,0.7606,0.8618,0.6329
WavLM-MIL,2+,1,15,6,9,8,0,0.8889,0.0,0.4667,0.6,0.7778
WavLM-MIL,2+,2+,7,2,5,2,0,0.4,0.0,0.7143,0.6667,0.8
Whisper-MIL,1,0,265,204,61,21,23,0.3443,0.1127,0.834,0.8916,0.8879
Whisper-MIL,1,1,73,62,11,4,7,0.3636,0.1129,0.8493,0.9091,0.7845
Whisper-MIL,1,2+,7,5,2,0,1,0.0,0.2,0.8571,0.8889,0.9
Whisper-MIL,2+,0,71,54,17,10,1,0.5882,0.0185,0.8451,0.906,0.8551
Whisper-MIL,2+,1,15,6,9,7,0,0.7778,0.0,0.5333,0.6316,0.7963
Whisper-MIL,2+,2+,7,2,5,3,0,0.6,0.0,0.5714,0.5714,0.8
