diarizer,face_vis_cat,has_interaction,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc,diarizer_type
BabAR,high(8-10),False,37,24,13,3,2,0.2308,0.0833,0.8649,0.898,0.9071,audio
BabAR,high(8-10),True,151,122,29,8,20,0.2759,0.1639,0.8146,0.8793,0.839,audio
BabAR,low(1-4),False,35,21,14,1,2,0.0714,0.0952,0.9143,0.9268,0.9218,audio
BabAR,low(1-4),True,100,74,26,6,14,0.2308,0.1892,0.8,0.8571,0.8248,audio
BabAR,mid(5-7),False,22,9,13,4,2,0.3077,0.2222,0.7273,0.7,0.7521,audio
BabAR,mid(5-7),True,96,85,11,5,14,0.4545,0.1647,0.8021,0.882,0.6332,audio
Pyannote,high(8-10),False,37,24,13,7,4,0.5385,0.1667,0.7027,0.7843,0.8013,audio
Pyannote,high(8-10),True,151,122,29,21,9,0.7241,0.0738,0.8013,0.8828,0.648,audio
Pyannote,low(1-4),False,35,21,14,5,9,0.3571,0.4286,0.6,0.6316,0.6395,audio
Pyannote,low(1-4),True,100,74,26,20,6,0.7692,0.0811,0.74,0.8395,0.5522,audio
Pyannote,mid(5-7),False,22,9,13,2,2,0.1538,0.2222,0.8182,0.7778,0.7821,audio
Pyannote,mid(5-7),True,96,85,11,11,4,1.0,0.0471,0.8438,0.9153,0.4588,audio
USC-SAIL,high(8-10),False,37,24,13,8,2,0.6154,0.0833,0.7297,0.8148,0.6859,audio
USC-SAIL,high(8-10),True,151,122,29,22,6,0.7586,0.0492,0.8146,0.8923,0.5981,audio
USC-SAIL,low(1-4),False,35,21,14,7,1,0.5,0.0476,0.7714,0.8333,0.7347,audio
USC-SAIL,low(1-4),True,100,74,26,22,0,0.8462,0.0,0.78,0.8706,0.6102,audio
USC-SAIL,mid(5-7),False,22,9,13,8,2,0.6154,0.2222,0.5455,0.5833,0.5299,audio
USC-SAIL,mid(5-7),True,96,85,11,10,4,0.9091,0.0471,0.8542,0.9205,0.5123,audio
VTC,high(8-10),False,37,24,13,4,2,0.3077,0.0833,0.8378,0.88,0.8942,audio
VTC,high(8-10),True,151,122,29,14,12,0.4828,0.0984,0.8278,0.8943,0.7886,audio
VTC,low(1-4),False,35,21,14,1,1,0.0714,0.0476,0.9429,0.9524,0.9303,audio
VTC,low(1-4),True,100,74,26,15,7,0.5769,0.0946,0.78,0.859,0.718,audio
VTC,mid(5-7),False,22,9,13,5,2,0.3846,0.2222,0.6818,0.6667,0.6496,audio
VTC,mid(5-7),True,96,85,11,8,6,0.7273,0.0706,0.8542,0.9186,0.6941,audio
VTC-KCHI,high(8-10),False,37,24,13,3,2,0.2308,0.0833,0.8649,0.898,0.9071,audio
VTC-KCHI,high(8-10),True,151,122,29,8,20,0.2759,0.1639,0.8146,0.8793,0.839,audio
VTC-KCHI,low(1-4),False,35,21,14,1,2,0.0714,0.0952,0.9143,0.9268,0.9218,audio
VTC-KCHI,low(1-4),True,100,74,26,6,14,0.2308,0.1892,0.8,0.8571,0.8248,audio
VTC-KCHI,mid(5-7),False,22,9,13,4,2,0.3077,0.2222,0.7273,0.7,0.7521,audio
VTC-KCHI,mid(5-7),True,96,85,11,5,14,0.4545,0.1647,0.8021,0.882,0.6332,audio
VBx,high(8-10),False,37,24,13,8,3,0.6154,0.125,0.7027,0.7925,0.7548,audio
VBx,high(8-10),True,151,122,29,22,11,0.7586,0.0902,0.7815,0.8706,0.649,audio
VBx,low(1-4),False,35,21,14,7,4,0.5,0.1905,0.6857,0.7556,0.784,audio
VBx,low(1-4),True,100,74,26,25,4,0.9615,0.0541,0.71,0.8284,0.6042,audio
VBx,mid(5-7),False,22,9,13,6,1,0.4615,0.1111,0.6818,0.6957,0.7564,audio
VBx,mid(5-7),True,96,85,11,11,1,1.0,0.0118,0.875,0.9333,0.4984,audio
TalkNet-ASD,high(8-10),False,37,24,13,1,19,0.0769,0.7917,0.4595,0.3333,0.5609,video
TalkNet-ASD,high(8-10),True,151,122,29,3,83,0.1034,0.6803,0.4305,0.4756,0.5938,video
TalkNet-ASD,low(1-4),False,35,21,14,0,20,0.0,0.9524,0.4286,0.0909,0.5476,video
TalkNet-ASD,low(1-4),True,100,74,26,2,66,0.0769,0.8919,0.32,0.1905,0.5304,video
TalkNet-ASD,mid(5-7),False,22,9,13,0,9,0.0,1.0,0.5909,0.0,0.5,video
TalkNet-ASD,mid(5-7),True,96,85,11,1,69,0.0909,0.8118,0.2708,0.3137,0.5171,video
EEND-EDA,high(8-10),False,37,24,13,11,4,0.8462,0.1667,0.5946,0.7273,0.4872,audio
EEND-EDA,high(8-10),True,151,122,29,21,9,0.7241,0.0738,0.8013,0.8828,0.5246,audio
EEND-EDA,low(1-4),False,35,21,14,12,1,0.8571,0.0476,0.6286,0.7547,0.6735,audio
EEND-EDA,low(1-4),True,100,74,26,26,4,1.0,0.0541,0.7,0.8235,0.4974,audio
EEND-EDA,mid(5-7),False,22,9,13,12,0,0.9231,0.0,0.4545,0.6,0.7521,audio
EEND-EDA,mid(5-7),True,96,85,11,10,5,0.9091,0.0588,0.8438,0.9143,0.4963,audio
Sortformer,high(8-10),False,37,24,13,7,2,0.5385,0.0833,0.7568,0.8302,0.8077,audio
Sortformer,high(8-10),True,151,122,29,24,10,0.8276,0.082,0.7748,0.8682,0.6721,audio
Sortformer,low(1-4),False,35,21,14,7,6,0.5,0.2857,0.6286,0.6977,0.6684,audio
Sortformer,low(1-4),True,100,74,26,22,8,0.8462,0.1081,0.7,0.8148,0.5977,audio
Sortformer,mid(5-7),False,22,9,13,6,2,0.4615,0.2222,0.6364,0.6364,0.7009,audio
Sortformer,mid(5-7),True,96,85,11,11,6,1.0,0.0706,0.8229,0.9029,0.4642,audio
WavLM-MIL,high(8-10),False,37,24,13,7,3,0.5385,0.125,0.7297,0.8077,0.7981,audio_mil
WavLM-MIL,high(8-10),True,151,122,29,25,2,0.8621,0.0164,0.8212,0.8989,0.7326,audio_mil
WavLM-MIL,low(1-4),False,35,21,14,8,2,0.5714,0.0952,0.7143,0.7917,0.6395,audio_mil
WavLM-MIL,low(1-4),True,100,74,26,19,0,0.7308,0.0,0.81,0.8862,0.7926,audio_mil
WavLM-MIL,mid(5-7),False,22,9,13,8,0,0.6154,0.0,0.6364,0.6923,0.8889,audio_mil
WavLM-MIL,mid(5-7),True,96,85,11,11,2,1.0,0.0235,0.8646,0.9274,0.6995,audio_mil
Whisper-MIL,high(8-10),False,37,24,13,2,3,0.1538,0.125,0.8649,0.8936,0.9263,audio_mil
Whisper-MIL,high(8-10),True,151,122,29,17,10,0.5862,0.082,0.8212,0.8924,0.8202,audio_mil
Whisper-MIL,low(1-4),False,35,21,14,1,4,0.0714,0.1905,0.8571,0.8718,0.8946,audio_mil
Whisper-MIL,low(1-4),True,100,74,26,13,7,0.5,0.0946,0.8,0.8701,0.8508,audio_mil
Whisper-MIL,mid(5-7),False,22,9,13,6,2,0.4615,0.2222,0.6364,0.6364,0.7949,audio_mil
Whisper-MIL,mid(5-7),True,96,85,11,7,6,0.6364,0.0706,0.8646,0.924,0.7775,audio_mil
