diarizer,timepoint_norm,face_vis_cat,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc
BabAR,14_month,high(8-10),104,74,30,9,11,0.3,0.1486,0.8077,0.863,0.8435
BabAR,14_month,low(1-4),67,43,24,3,4,0.125,0.093,0.8955,0.9176,0.905
BabAR,14_month,mid(5-7),63,46,17,6,9,0.3529,0.1957,0.7619,0.8315,0.7116
BabAR,36_month,high(8-10),84,72,12,2,11,0.1667,0.1528,0.8452,0.9037,0.8565
BabAR,36_month,low(1-4),68,52,16,4,12,0.25,0.2308,0.7647,0.8333,0.8029
BabAR,36_month,mid(5-7),55,48,7,3,7,0.4286,0.1458,0.8182,0.8913,0.6845
Pyannote,14_month,high(8-10),104,74,30,17,9,0.5667,0.1216,0.75,0.8333,0.7491
Pyannote,14_month,low(1-4),67,43,24,14,4,0.5833,0.093,0.7313,0.8125,0.6991
Pyannote,14_month,mid(5-7),63,46,17,8,5,0.4706,0.1087,0.7937,0.8632,0.7078
Pyannote,36_month,high(8-10),84,72,12,11,4,0.9167,0.0556,0.8214,0.9007,0.5648
Pyannote,36_month,low(1-4),68,52,16,11,11,0.6875,0.2115,0.6765,0.7885,0.5
Pyannote,36_month,mid(5-7),55,48,7,5,1,0.7143,0.0208,0.8909,0.94,0.5357
USC-SAIL,14_month,high(8-10),104,74,30,20,5,0.6667,0.0676,0.7596,0.8466,0.5991
USC-SAIL,14_month,low(1-4),67,43,24,17,0,0.7083,0.0,0.7463,0.835,0.7597
USC-SAIL,14_month,mid(5-7),63,46,17,14,4,0.8235,0.087,0.7143,0.8235,0.5192
USC-SAIL,36_month,high(8-10),84,72,12,10,3,0.8333,0.0417,0.8452,0.9139,0.6163
USC-SAIL,36_month,low(1-4),68,52,16,12,1,0.75,0.0192,0.8088,0.887,0.5601
USC-SAIL,36_month,mid(5-7),55,48,7,4,2,0.5714,0.0417,0.8909,0.9388,0.7054
VTC,14_month,high(8-10),104,74,30,14,10,0.4667,0.1351,0.7692,0.8421,0.8005
VTC,14_month,low(1-4),67,43,24,6,3,0.25,0.0698,0.8657,0.8989,0.8711
VTC,14_month,mid(5-7),63,46,17,10,5,0.5882,0.1087,0.7619,0.8454,0.6835
VTC,36_month,high(8-10),84,72,12,4,4,0.3333,0.0556,0.9048,0.9444,0.8194
VTC,36_month,low(1-4),68,52,16,10,5,0.625,0.0962,0.7794,0.8624,0.6875
VTC,36_month,mid(5-7),55,48,7,3,3,0.4286,0.0625,0.8909,0.9375,0.7589
VTC-KCHI,14_month,high(8-10),104,74,30,9,11,0.3,0.1486,0.8077,0.863,0.8435
VTC-KCHI,14_month,low(1-4),67,43,24,3,4,0.125,0.093,0.8955,0.9176,0.905
VTC-KCHI,14_month,mid(5-7),63,46,17,6,9,0.3529,0.1957,0.7619,0.8315,0.7116
VTC-KCHI,36_month,high(8-10),84,72,12,2,11,0.1667,0.1528,0.8452,0.9037,0.8565
VTC-KCHI,36_month,low(1-4),68,52,16,4,12,0.25,0.2308,0.7647,0.8333,0.8029
VTC-KCHI,36_month,mid(5-7),55,48,7,3,7,0.4286,0.1458,0.8182,0.8913,0.6845
VBx,14_month,high(8-10),104,74,30,19,8,0.6333,0.1081,0.7404,0.8302,0.7372
VBx,14_month,low(1-4),67,43,24,19,1,0.7917,0.0233,0.7015,0.8077,0.7495
VBx,14_month,mid(5-7),63,46,17,12,1,0.7059,0.0217,0.7937,0.8738,0.6899
VBx,36_month,high(8-10),84,72,12,11,6,0.9167,0.0833,0.7976,0.8859,0.5625
VBx,36_month,low(1-4),68,52,16,13,7,0.8125,0.1346,0.7059,0.8182,0.6052
VBx,36_month,mid(5-7),55,48,7,5,1,0.7143,0.0208,0.8909,0.94,0.5863
TalkNet-ASD,14_month,high(8-10),104,74,30,3,55,0.1,0.7432,0.4423,0.3958,0.5401
TalkNet-ASD,14_month,low(1-4),67,43,24,2,39,0.0833,0.907,0.3881,0.1633,0.5223
TalkNet-ASD,14_month,mid(5-7),63,46,17,1,38,0.0588,0.8261,0.381,0.2909,0.5563
TalkNet-ASD,36_month,high(8-10),84,72,12,1,47,0.0833,0.6528,0.4286,0.5102,0.6719
TalkNet-ASD,36_month,low(1-4),68,52,16,0,47,0.0,0.9038,0.3088,0.1754,0.5619
TalkNet-ASD,36_month,mid(5-7),55,48,7,0,40,0.0,0.8333,0.2727,0.2857,0.5446
EEND-EDA,14_month,high(8-10),104,74,30,23,6,0.7667,0.0811,0.7212,0.8242,0.4876
EEND-EDA,14_month,low(1-4),67,43,24,22,1,0.9167,0.0233,0.6567,0.785,0.688
EEND-EDA,14_month,mid(5-7),63,46,17,15,3,0.8824,0.0652,0.7143,0.8269,0.665
EEND-EDA,36_month,high(8-10),84,72,12,9,7,0.75,0.0972,0.8095,0.8904,0.5486
EEND-EDA,36_month,low(1-4),68,52,16,16,4,1.0,0.0769,0.7059,0.8276,0.4123
EEND-EDA,36_month,mid(5-7),55,48,7,7,2,1.0,0.0417,0.8364,0.9109,0.256
Sortformer,14_month,high(8-10),104,74,30,21,7,0.7,0.0946,0.7308,0.8272,0.732
Sortformer,14_month,low(1-4),67,43,24,17,8,0.7083,0.186,0.6269,0.7368,0.6546
Sortformer,14_month,mid(5-7),63,46,17,12,7,0.7059,0.1522,0.6984,0.8041,0.6202
Sortformer,36_month,high(8-10),84,72,12,10,5,0.8333,0.0694,0.8214,0.8993,0.6157
Sortformer,36_month,low(1-4),68,52,16,12,6,0.75,0.1154,0.7353,0.8364,0.607
Sortformer,36_month,mid(5-7),55,48,7,5,1,0.7143,0.0208,0.8909,0.94,0.5208
WavLM-MIL,14_month,high(8-10),104,74,30,21,2,0.7,0.027,0.7788,0.8623,0.7671
WavLM-MIL,14_month,low(1-4),67,43,24,16,1,0.6667,0.0233,0.7463,0.8317,0.7461
WavLM-MIL,14_month,mid(5-7),63,46,17,14,1,0.8235,0.0217,0.7619,0.8571,0.8338
WavLM-MIL,36_month,high(8-10),84,72,12,11,3,0.9167,0.0417,0.8333,0.9079,0.7477
WavLM-MIL,36_month,low(1-4),68,52,16,11,1,0.6875,0.0192,0.8235,0.8947,0.75
WavLM-MIL,36_month,mid(5-7),55,48,7,5,1,0.7143,0.0208,0.8909,0.94,0.7411
Whisper-MIL,14_month,high(8-10),104,74,30,12,9,0.4,0.1216,0.7981,0.8609,0.8315
Whisper-MIL,14_month,low(1-4),67,43,24,6,5,0.25,0.1163,0.8358,0.8736,0.8886
Whisper-MIL,14_month,mid(5-7),63,46,17,10,7,0.5882,0.1522,0.7302,0.8211,0.7442
Whisper-MIL,36_month,high(8-10),84,72,12,7,4,0.5833,0.0556,0.869,0.9252,0.8866
Whisper-MIL,36_month,low(1-4),68,52,16,8,6,0.5,0.1154,0.7941,0.8679,0.8173
Whisper-MIL,36_month,mid(5-7),55,48,7,3,1,0.4286,0.0208,0.9273,0.9592,0.9048
