diarizer,has_gestures,has_interaction,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc
BabAR,False,False,58,32,26,5,2,0.1923,0.0625,0.8793,0.8955,0.9147
BabAR,False,True,189,151,38,9,31,0.2368,0.2053,0.7884,0.8571,0.7819
BabAR,True,False,36,22,14,3,4,0.2143,0.1818,0.8056,0.8372,0.8182
BabAR,True,True,158,130,28,10,17,0.3571,0.1308,0.8291,0.8933,0.8212
Pyannote,False,False,58,32,26,10,8,0.3846,0.25,0.6897,0.7273,0.7668
Pyannote,False,True,189,151,38,28,10,0.7368,0.0662,0.7989,0.8812,0.5619
Pyannote,True,False,36,22,14,4,7,0.2857,0.3182,0.6944,0.7317,0.7208
Pyannote,True,True,158,130,28,24,9,0.8571,0.0692,0.7911,0.88,0.5923
USC-SAIL,False,False,58,32,26,16,2,0.6154,0.0625,0.6897,0.7692,0.7428
USC-SAIL,False,True,189,151,38,30,6,0.7895,0.0397,0.8095,0.8896,0.5718
USC-SAIL,True,False,36,22,14,7,3,0.5,0.1364,0.7222,0.7917,0.6006
USC-SAIL,True,True,158,130,28,24,4,0.8571,0.0308,0.8228,0.9,0.6129
VTC,False,False,58,32,26,6,2,0.2308,0.0625,0.8621,0.8824,0.9147
VTC,False,True,189,151,38,20,17,0.5263,0.1126,0.8042,0.8787,0.7299
VTC,True,False,36,22,14,4,3,0.2857,0.1364,0.8056,0.8444,0.7597
VTC,True,True,158,130,28,17,8,0.6071,0.0615,0.8418,0.9071,0.7703
VTC-KCHI,False,False,58,32,26,5,2,0.1923,0.0625,0.8793,0.8955,0.9147
VTC-KCHI,False,True,189,151,38,9,31,0.2368,0.2053,0.7884,0.8571,0.7819
VTC-KCHI,True,False,36,22,14,3,4,0.2143,0.1818,0.8056,0.8372,0.8182
VTC-KCHI,True,True,158,130,28,10,17,0.3571,0.1308,0.8291,0.8933,0.8212
VBx,False,False,58,32,26,15,4,0.5769,0.125,0.6724,0.7467,0.7849
VBx,False,True,189,151,38,32,11,0.8421,0.0728,0.7725,0.8669,0.6011
VBx,True,False,36,22,14,6,4,0.4286,0.1818,0.7222,0.7826,0.75
VBx,True,True,158,130,28,26,5,0.9286,0.0385,0.8038,0.8897,0.6317
TalkNet-ASD,False,False,58,32,26,0,26,0.0,0.8125,0.5517,0.3158,0.6094
TalkNet-ASD,False,True,189,151,38,3,120,0.0789,0.7947,0.3492,0.3351,0.5526
TalkNet-ASD,True,False,36,22,14,1,22,0.0714,1.0,0.3611,0.0,0.4643
TalkNet-ASD,True,True,158,130,28,3,98,0.1071,0.7538,0.3608,0.3879,0.5624
EEND-EDA,False,False,58,32,26,23,4,0.8846,0.125,0.5345,0.6747,0.5
EEND-EDA,False,True,189,151,38,34,8,0.8947,0.053,0.7778,0.872,0.488
EEND-EDA,True,False,36,22,14,12,1,0.8571,0.0455,0.6389,0.7636,0.7565
EEND-EDA,True,True,158,130,28,23,10,0.8214,0.0769,0.7911,0.8791,0.5242
Sortformer,False,False,58,32,26,13,4,0.5,0.125,0.7069,0.7671,0.8023
Sortformer,False,True,189,151,38,33,18,0.8684,0.1192,0.7302,0.8391,0.6018
Sortformer,True,False,36,22,14,7,6,0.5,0.2727,0.6389,0.7111,0.6396
Sortformer,True,True,158,130,28,24,6,0.8571,0.0462,0.8101,0.8921,0.6157
WavLM-MIL,False,False,58,32,26,14,2,0.5385,0.0625,0.7241,0.7895,0.7812
WavLM-MIL,False,True,189,151,38,32,2,0.8421,0.0132,0.8201,0.8976,0.7801
WavLM-MIL,True,False,36,22,14,9,3,0.6429,0.1364,0.6667,0.76,0.7175
WavLM-MIL,True,True,158,130,28,23,2,0.8214,0.0154,0.8418,0.911,0.7146
Whisper-MIL,False,False,58,32,26,6,3,0.2308,0.0938,0.8448,0.8657,0.9171
Whisper-MIL,False,True,189,151,38,21,13,0.5526,0.0861,0.8201,0.8903,0.858
Whisper-MIL,True,False,36,22,14,3,6,0.2143,0.2727,0.75,0.7805,0.8442
Whisper-MIL,True,True,158,130,28,16,10,0.5714,0.0769,0.8354,0.9023,0.7857
