diarizer,has_vocalizations,has_interaction,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc
BabAR,False,False,40,0,40,8,0,0.2,0.0,0.8,,
BabAR,False,True,66,0,66,19,0,0.2879,0.0,0.7121,,
BabAR,True,False,54,54,0,0,6,0.0,0.1111,0.8889,,
BabAR,True,True,281,281,0,0,48,0.0,0.1708,0.8292,,
Pyannote,False,False,40,0,40,14,0,0.35,0.0,0.65,,
Pyannote,False,True,66,0,66,52,0,0.7879,0.0,0.2121,,
Pyannote,True,False,54,54,0,0,15,0.0,0.2778,0.7222,,
Pyannote,True,True,281,281,0,0,19,0.0,0.0676,0.9324,,
USC-SAIL,False,False,40,0,40,23,0,0.575,0.0,0.425,,
USC-SAIL,False,True,66,0,66,54,0,0.8182,0.0,0.1818,,
USC-SAIL,True,False,54,54,0,0,5,0.0,0.0926,0.9074,,
USC-SAIL,True,True,281,281,0,0,10,0.0,0.0356,0.9644,,
VTC,False,False,40,0,40,10,0,0.25,0.0,0.75,,
VTC,False,True,66,0,66,37,0,0.5606,0.0,0.4394,,
VTC,True,False,54,54,0,0,5,0.0,0.0926,0.9074,,
VTC,True,True,281,281,0,0,25,0.0,0.089,0.911,,
VTC-KCHI,False,False,40,0,40,8,0,0.2,0.0,0.8,,
VTC-KCHI,False,True,66,0,66,19,0,0.2879,0.0,0.7121,,
VTC-KCHI,True,False,54,54,0,0,6,0.0,0.1111,0.8889,,
VTC-KCHI,True,True,281,281,0,0,48,0.0,0.1708,0.8292,,
VBx,False,False,40,0,40,21,0,0.525,0.0,0.475,,
VBx,False,True,66,0,66,58,0,0.8788,0.0,0.1212,,
VBx,True,False,54,54,0,0,8,0.0,0.1481,0.8519,,
VBx,True,True,281,281,0,0,16,0.0,0.0569,0.9431,,
TalkNet-ASD,False,False,40,0,40,1,0,0.025,0.0,0.975,,
TalkNet-ASD,False,True,66,0,66,6,0,0.0909,0.0,0.9091,,
TalkNet-ASD,True,False,54,54,0,0,48,0.0,0.8889,0.1111,,
TalkNet-ASD,True,True,281,281,0,0,218,0.0,0.7758,0.2242,,
EEND-EDA,False,False,40,0,40,35,0,0.875,0.0,0.125,,
EEND-EDA,False,True,66,0,66,57,0,0.8636,0.0,0.1364,,
EEND-EDA,True,False,54,54,0,0,5,0.0,0.0926,0.9074,,
EEND-EDA,True,True,281,281,0,0,18,0.0,0.0641,0.9359,,
Sortformer,False,False,40,0,40,20,0,0.5,0.0,0.5,,
Sortformer,False,True,66,0,66,57,0,0.8636,0.0,0.1364,,
Sortformer,True,False,54,54,0,0,10,0.0,0.1852,0.8148,,
Sortformer,True,True,281,281,0,0,24,0.0,0.0854,0.9146,,
WavLM-MIL,False,False,40,0,40,23,0,0.575,0.0,0.425,,
WavLM-MIL,False,True,66,0,66,55,0,0.8333,0.0,0.1667,,
WavLM-MIL,True,False,54,54,0,0,5,0.0,0.0926,0.9074,,
WavLM-MIL,True,True,281,281,0,0,4,0.0,0.0142,0.9858,,
Whisper-MIL,False,False,40,0,40,9,0,0.225,0.0,0.775,,
Whisper-MIL,False,True,66,0,66,37,0,0.5606,0.0,0.4394,,
Whisper-MIL,True,False,54,54,0,0,9,0.0,0.1667,0.8333,,
Whisper-MIL,True,True,281,281,0,0,23,0.0,0.0819,0.9181,,
