diarizer,context_type,has_interaction,n,n_pos,n_neg,fp,fn,fp_rate,fn_rate,accuracy,f1,auroc
BabAR,other,False,94,54,40,8,6,0.2,0.1111,0.8511,0.8727,0.8787
BabAR,other,True,347,281,66,19,48,0.2879,0.1708,0.8069,0.8743,0.8
Pyannote,other,False,94,54,40,14,15,0.35,0.2778,0.6915,0.729,0.7458
Pyannote,other,True,347,281,66,52,19,0.7879,0.0676,0.7954,0.8807,0.5768
USC-SAIL,other,False,94,54,40,23,5,0.575,0.0926,0.7021,0.7778,0.6877
USC-SAIL,other,True,347,281,66,54,10,0.8182,0.0356,0.8156,0.8944,0.5883
VTC,other,False,94,54,40,10,5,0.25,0.0926,0.8404,0.8673,0.8579
VTC,other,True,347,281,66,37,25,0.5606,0.089,0.8213,0.892,0.7461
VTC-KCHI,other,False,94,54,40,8,6,0.2,0.1111,0.8511,0.8727,0.8787
VTC-KCHI,other,True,347,281,66,19,48,0.2879,0.1708,0.8069,0.8743,0.8
VBx,other,False,94,54,40,21,8,0.525,0.1481,0.6915,0.7603,0.7687
VBx,other,True,347,281,66,58,16,0.8788,0.0569,0.7867,0.8775,0.6121
TalkNet-ASD,other,False,94,54,40,1,48,0.025,0.8889,0.4787,0.1967,0.5512
TalkNet-ASD,other,True,347,281,66,6,218,0.0909,0.7758,0.3545,0.36,0.5573
EEND-EDA,other,False,94,54,40,35,5,0.875,0.0926,0.5745,0.7101,0.6067
EEND-EDA,other,True,347,281,66,57,18,0.8636,0.0641,0.7839,0.8752,0.5019
Sortformer,other,False,94,54,40,20,10,0.5,0.1852,0.6809,0.7458,0.7329
Sortformer,other,True,347,281,66,57,24,0.8636,0.0854,0.7666,0.8639,0.6063
WavLM-MIL,other,False,94,54,40,23,5,0.575,0.0926,0.7021,0.7778,0.7565
WavLM-MIL,other,True,347,281,66,55,4,0.8333,0.0142,0.83,0.9038,0.7508
Whisper-MIL,other,False,94,54,40,9,9,0.225,0.1667,0.8085,0.8333,0.8843
Whisper-MIL,other,True,347,281,66,37,23,0.5606,0.0819,0.8271,0.8958,0.8266
