epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.5683033361689735,0.5403191592242267,0.8858800773694391,0.797324414715719,0.4
2,0.4876296798918993,0.5749740032730876,0.8875502008032129,0.8280936454849498,0.5
3,0.46066295474995184,0.5359410559003418,0.8866799204771372,0.8212040133779265,0.5
4,0.46181052581954546,0.5101114547735935,0.8893280632411067,0.8211371237458195,0.6
5,0.4033095953801206,0.46882496774196625,0.8884462151394422,0.8282274247491639,0.7
6,0.4124682889184879,0.4652822658016875,0.8930817610062893,0.8422073578595317,0.8
7,0.4070445368535646,0.45051322071938904,0.9011857707509882,0.8191973244147157,0.55
8,0.4154475280688009,0.47910844393678614,0.8955823293172691,0.8250836120401338,0.5
9,0.38557855873048763,0.5241984122911015,0.8987854251012146,0.8305685618729097,0.5
10,0.3831978168423849,0.4628984827447582,0.9032258064516129,0.8422073578595316,0.55
11,0.40056640421616213,0.4804955263798301,0.8977955911823647,0.820200668896321,0.55
12,0.35628660023212433,0.45844248702397217,0.9008264462809917,0.8486956521739131,0.65
13,0.35964322613395805,0.48663636619174805,0.9026915113871635,0.8360535117056856,0.65
14,0.36291320855153425,0.4723547340647594,0.8924302788844621,0.837391304347826,0.5
15,0.3568964229740259,0.4359822667933799,0.8982035928143712,0.8328428093645485,0.7
