audio_path,child_id,scene_id,label,source
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_004687__776185ec.wav,N3L7A1I2B9,default_14_18mo_42_004687,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_003513__3ce49347.wav,N3L7A1I2B9,default_14_18mo_42_003513,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_001883__ea27cc55.wav,N3L7A1I2B9,default_14_18mo_42_001883,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_002679__3385ee34.wav,N3L7A1I2B9,default_14_18mo_42_002679,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_004188__e2ba67a8.wav,N3L7A1I2B9,default_14_18mo_42_004188,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_002901__9852b67a.wav,N3L7A1I2B9,default_14_18mo_42_002901,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_002941__b0f3b046.wav,N3L7A1I2B9,default_14_18mo_42_002941,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_003745__9a14af50.wav,N3L7A1I2B9,default_14_18mo_42_003745,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_001868__4eddcf9c.wav,N3L7A1I2B9,default_14_18mo_42_001868,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/N3L7A1I2B9/default_14_18mo_42_000923__28e6dfa7.wav,N3L7A1I2B9,default_14_18mo_42_000923,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003072__63265c62.wav,B1S3L8Q7Y6,default_14_18mo_42_003072,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_004375__ea7834b7.wav,B1S3L8Q7Y6,default_14_18mo_42_004375,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_002904__a3a256c1.wav,B1S3L8Q7Y6,default_14_18mo_42_002904,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_002667__98330d5f.wav,B1S3L8Q7Y6,default_14_18mo_42_002667,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003485__69e5f4bf.wav,B1S3L8Q7Y6,default_14_18mo_42_003485,1,knnvc_converted
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003597__d5a77ef6.wav,B1S3L8Q7Y6,default_14_18mo_42_003597,1,knnvc_converted
