segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,vc_source_language,vc_target_child_id,vc_source_path
xlingvc_B1S3L8Q7Y6_bb86fa3529,cross_lingual_vc_tinyvox_French,phon_French_Paris_Antoine_020305_01717951_01720125,B1S3L8Q7Y6,target_child,,14_18_months,0.0,2.1600,2.1600,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_bb86fa3529.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_Paris_Antoine_020305_01717951_01720125.wav
xlingvc_B1S3L8Q7Y6_e8bca7480b,cross_lingual_vc_tinyvox_French,phon_French_Paris_Anae_010413_00781745_00785385,B1S3L8Q7Y6,target_child,,14_18_months,0.0,3.6200,3.6200,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_e8bca7480b.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_Paris_Anae_010413_00781745_00785385.wav
xlingvc_B1S3L8Q7Y6_5c7ac7a375,cross_lingual_vc_tinyvox_German,phon_German_Stuttgart_FZ_FZ5111_00872126_00873067,B1S3L8Q7Y6,target_child,,14_18_months,0.0,0.9200,0.9200,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_5c7ac7a375.wav,16000,,,cross_lingual_vc,1.0,train,True,German,B1S3L8Q7Y6,data/tinyvox/audio/phon_German_Stuttgart_FZ_FZ5111_00872126_00873067.wav
xlingvc_B1S3L8Q7Y6_930b09e314,cross_lingual_vc_tinyvox_German,phon_German_Grimm_Sandra_011100_00304370_00307070,B1S3L8Q7Y6,target_child,,14_18_months,0.0,2.6800,2.6800,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_930b09e314.wav,16000,,,cross_lingual_vc,1.0,train,True,German,B1S3L8Q7Y6,data/tinyvox/audio/phon_German_Grimm_Sandra_011100_00304370_00307070.wav
xlingvc_B1S3L8Q7Y6_0ceb7bb81b,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_Preston_P40_00773527_00774754,B1S3L8Q7Y6,target_child,,14_18_months,0.0,1.2200,1.2200,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_0ceb7bb81b.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,B1S3L8Q7Y6,data/tinyvox/audio/phon_Clinical_Preston_P40_00773527_00774754.wav
xlingvc_B1S3L8Q7Y6_fdfd537ffc,cross_lingual_vc_tinyvox_French,phon_French_Lyon_Anais_20926a_00611723_00613622,B1S3L8Q7Y6,target_child,,14_18_months,0.0,1.8800,1.8800,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_fdfd537ffc.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_Lyon_Anais_20926a_00611723_00613622.wav
xlingvc_B1S3L8Q7Y6_d15ad725bc,cross_lingual_vc_tinyvox_French,phon_French_KernFrench_Esteban_011126_00472080_00473160,B1S3L8Q7Y6,target_child,,14_18_months,0.0,1.0600,1.0600,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_d15ad725bc.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_KernFrench_Esteban_011126_00472080_00473160.wav
xlingvc_B1S3L8Q7Y6_f4a553260b,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_Cummings_PD59_050330_00714861_00716395,B1S3L8Q7Y6,target_child,,14_18_months,0.0,1.5200,1.5200,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_f4a553260b.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,B1S3L8Q7Y6,data/tinyvox/audio/phon_Clinical_Cummings_PD59_050330_00714861_00716395.wav
xlingvc_B1S3L8Q7Y6_66000ec4e1,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_TorringtonEaton_PNT_50CW_00960023_00962482,B1S3L8Q7Y6,target_child,,14_18_months,0.0,2.4400,2.4400,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_66000ec4e1.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,B1S3L8Q7Y6,data/tinyvox/audio/phon_Clinical_TorringtonEaton_PNT_50CW_00960023_00962482.wav
xlingvc_B1S3L8Q7Y6_f098769b84,cross_lingual_vc_tinyvox_French,phon_French_Paris_Theophile_040124_01356165_01359185,B1S3L8Q7Y6,target_child,,14_18_months,0.0,3.0000,3.0000,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_f098769b84.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_Paris_Theophile_040124_01356165_01359185.wav
xlingvc_B1S3L8Q7Y6_5fc3f3a306,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_Cummings_PD59_050723_00694957_00696342,B1S3L8Q7Y6,target_child,,14_18_months,0.0,1.3800,1.3800,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_5fc3f3a306.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,B1S3L8Q7Y6,data/tinyvox/audio/phon_Clinical_Cummings_PD59_050723_00694957_00696342.wav
xlingvc_B1S3L8Q7Y6_c6aa4161fc,cross_lingual_vc_tinyvox_French,phon_French_Paris_Anae_040012_00193816_00201528,B1S3L8Q7Y6,target_child,,14_18_months,0.0,7.7000,7.7000,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_c6aa4161fc.wav,16000,,,cross_lingual_vc,1.0,train,True,French,B1S3L8Q7Y6,data/tinyvox/audio/phon_French_Paris_Anae_040012_00193816_00201528.wav
xlingvc_B1S3L8Q7Y6_a6561ecf88,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_PhonoDis_ChildV_00807288_00809788,B1S3L8Q7Y6,target_child,,14_18_months,0.0,2.4800,2.4800,data/segments/cross_lingual_vc/B1S3L8Q7Y6/B1S3L8Q7Y6_a6561ecf88.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,B1S3L8Q7Y6,data/tinyvox/audio/phon_Clinical_PhonoDis_ChildV_00807288_00809788.wav
