segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,childrenization_pitch_factor,childrenization_spectral_warp,childrenization_duration_stretch
playlogue_ADULT_gleason_mother_frank_1461060_1464240,world_childrenized_playlogue_adults,gleason_mother_frank,gleason_ADULT_gleason_mother_frank,target_child,16,14_18_months,0.0,3.3782,3.3782,data/segments/world_childrenized/playlogue_adults_5622becf04.wav,16000,,,world_childrenized,1.0,train,True,1.3987940970197337,1.3144514504824232,1.0606767616793107
prov_adult_lily_010719_MOT_270823_272775,world_childrenized_providence_adults,010719,lily_MOT,target_child,16,14_18_months,0.0,2.2304,2.2304,data/segments/world_childrenized/providence_adults_2265bddf4f.wav,16000,,,world_childrenized,1.0,train,True,1.4903476429597653,1.2958670504482004,1.1409002249625986
prov_adult_lily_010102_MOT_30370_31013,world_childrenized_providence_adults,010102,lily_MOT,target_child,16,14_18_months,0.0,0.6515,0.6515,data/segments/world_childrenized/providence_adults_efa66d4461.wav,16000,,,world_childrenized,0.643,train,True,1.3490592331387214,1.3458070210731006,1.010079587723883
prov_adult_alex_020810_MOT_1574375_1576741,world_childrenized_providence_adults,020810,alex_MOT,target_child,16,14_18_months,0.0,2.4761,2.4761,data/segments/world_childrenized/providence_adults_7323986c04.wav,16000,,,world_childrenized,1.0,train,True,1.4357140677205709,1.3505532320877585,1.044748147457339
prov_adult_alex_030200_MOT_3197010_3198206,world_childrenized_providence_adults,030200,alex_MOT,target_child,16,14_18_months,0.0,1.2329,1.2329,data/segments/world_childrenized/providence_adults_717e7d6219.wav,16000,,,world_childrenized,1.0,train,True,1.6233827933119283,1.2859256583321428,1.0274083948227248
librispeech_909-131045-0034,world_childrenized_librispeech,909-131045-0034,909,target_child,16,14_18_months,0.0,17.9579,17.9579,data/segments/world_childrenized/librispeech_402fad385c.wav,16000,,,world_childrenized,1.0,train,True,2.243263126398798,1.2518562753375195,1.146004701291334
prov_adult_ethan_021101_MOT_14981_18523,world_childrenized_providence_adults,021101,ethan_MOT,target_child,16,14_18_months,0.0,3.8242,3.8242,data/segments/world_childrenized/providence_adults_0d33bee04e.wav,16000,,,world_childrenized,1.0,train,True,1.04960725550879,1.2465492452845277,1.0787469739420783
prov_adult_lily_010827_MOT_750905_751651,world_childrenized_providence_adults,010827,lily_MOT,target_child,16,14_18_months,0.0,0.8237,0.8237,data/segments/world_childrenized/providence_adults_d1816fb6e5.wav,16000,,,world_childrenized,0.746,train,True,0.7693161861546546,1.375674521627959,1.098209513617665
librispeech_7505-83618-0015,world_childrenized_librispeech,7505-83618-0015,7505,target_child,16,14_18_months,0.0,15.8488,15.8488,data/segments/world_childrenized/librispeech_3b4a58a1b4.wav,16000,,,world_childrenized,1.0,train,True,2.068116824862976,1.287682152107779,1.122437511408305
prov_adult_lily_010508_MOT_2676775_2679491,world_childrenized_providence_adults,010508,lily_MOT,target_child,16,14_18_months,0.0,3.0801,3.0801,data/segments/world_childrenized/providence_adults_63514e7056.wav,16000,,,world_childrenized,1.0,train,True,3.073738273196809,1.3679767473047757,1.1323923923534882
