synthetic_scene_id,audio_path,rttm_path,target_child_vocalized,target_child_duration_sec,adult_duration_sec,other_child_duration_sec,overlap_duration_sec,snr_db,noise_type,rir_type,age_band,scene_type,generation_config_name,generation_config_hash
default_14_18mo_42_000000,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000000.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000000.rttm,0,0,23.905785678316153,0,0.0,,,,14_18_months,background_speech_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000001,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000001.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000001.rttm,0,0,24.540112074833054,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000002,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000002.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000002.rttm,1,3.2538242470585534,21.39399336026298,0,1.81,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000003,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000003.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000003.rttm,0,0,24.919164954307714,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000004,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000004.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000004.rttm,0,0,0,0,0.0,,,,14_18_months,noise_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000005,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000005.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000005.rttm,0,0,26.002597221157192,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000006,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000006.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000006.rttm,1,4.068070774244501,19.892714830417788,0,0.66,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000007,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000007.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000007.rttm,1,2.317878487967696,22.291382233985825,0,1.28,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000008,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000008.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000008.rttm,0,0,25.1072687867504,0,0.0,,,,14_18_months,background_speech_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000009,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000009.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000009.rttm,0,0,0,0,0.0,,,,14_18_months,noise_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000010,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000010.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000010.rttm,0,0,26.47988375561119,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000011,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000011.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000011.rttm,1,2.9628603819835195,21.503511176330523,0,0.93,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000012,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000012.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000012.rttm,1,2.2481713887368295,12.717632834315097,0,1.5,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000013,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000013.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000013.rttm,0,0,24.9300060773509,0,0.0,,,,14_18_months,background_speech_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000014,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000014.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000014.rttm,0,0,22.912976366853428,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000015,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000015.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000015.rttm,0,0,23.96397210983047,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000016,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000016.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000016.rttm,1,2.826628930679015,18.801324050308658,0,1.06,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000017,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000017.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000017.rttm,0,0,24.02009198809189,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000018,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000018.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000018.rttm,1,2.5162206910291998,21.230375832429498,0,0.67,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000019,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000019.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000019.rttm,1,2.9945942033853634,20.62233287024036,0,1.22,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000020,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000020.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000020.rttm,0,0,24.676923557785486,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000021,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000021.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000021.rttm,0,0,25.86082560304959,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000022,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000022.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000022.rttm,0,0,0,0,0.0,,,,14_18_months,noise_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000023,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000023.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000023.rttm,1,1.5069078600809087,21.89227451527554,0,0.32,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000024,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000024.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000024.rttm,0,0,0,0,0.0,,,,14_18_months,noise_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000025,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000025.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000025.rttm,1,3.1886815245938864,22.11457623836606,0,0.68,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000026,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000026.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000026.rttm,1,3.0313677240936245,21.54318538973983,0,0.23,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000027,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000027.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000027.rttm,0,0,24.342363484920458,0,0.0,,,,14_18_months,adult_only_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000028,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000028.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000028.rttm,1,2.182522478610503,13.861181789349466,0,1.8800000000000001,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000029,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000029.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000029.rttm,1,2.715397718997242,18.543711922690555,0,0.8,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000030,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000030.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000030.rttm,0,0,25.875346251440895,0,0.0,,,,14_18_months,background_speech_negative,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000031,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000031.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000031.rttm,1,4.701109636067521,24.52459024913538,0,2.41,,,,14_18_months,positive,default_14_18mo,da4137ddf9c5
default_14_18mo_42_000032,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/wav/default_14_18mo_42_000032.wav,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes/rttm/default_14_18mo_42_000032.rttm,0,0,24.640739786007313,0,0.0,,,,14_18_months,background_speech_negative,default_14_18mo,da4137ddf9c5
