audio_path,start_sec,end_sec,label,child_id,timepoint_norm,source
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/cameron_aae_B3_26_47_PE_S22.wav,345.0,375.0,0,cameron,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/cameron_aae_B3_26_47_PE_S22.wav,330.0,360.0,0,cameron,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/cameron_aae_B3_31_47_PE_S22.wav,435.0,465.0,0,cameron,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_12008.wav,600.0,630.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_12056.wav,630.0,660.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_12056.wav,420.0,450.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_12056.wav,570.0,600.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_12056.wav,255.0,285.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_22108.wav,450.0,480.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42ec_22113.wav,0.0,30.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_42pc_22118.wav,675.0,705.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_11023.wav,330.0,360.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_11023.wav,240.0,270.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_11051.wav,360.0,390.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_12007.wav,75.0,105.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_12029.wav,915.0,945.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_22103.wav,285.0,315.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_22103.wav,105.0,135.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/ew_54ec_22128.wav,45.0,75.0,0,ew,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_frank.wav,1215.0,1245.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_guy.wav,1500.0,1530.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_guy.wav,300.0,330.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_guy.wav,1365.0,1395.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_guy.wav,315.0,345.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_isadora.wav,1770.0,1800.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_isadora.wav,1755.0,1785.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_laurel.wav,615.0,645.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_susan.wav,90.0,120.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_father_susan.wav,465.0,495.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_mother_david.wav,1515.0,1545.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_mother_david.wav,1530.0,1560.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_mother_david.wav,1500.0,1530.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/trimmed/gleason_mother_helen.wav,555.0,585.0,0,gleason,unknown,playlogue
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2385.0,2415.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1035.0,1065.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2775.0,2805.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1830.0,1860.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1620.0,1650.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,570.0,600.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2805.0,2835.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2865.0,2895.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,3150.0,3180.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2040.0,2070.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1020.0,1050.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2565.0,2595.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,165.0,195.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,3135.0,3165.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1710.0,1740.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2610.0,2640.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,2835.0,2865.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,3105.0,3135.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,870.0,900.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010427.mp3,1560.0,1590.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,720.0,750.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,600.0,630.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,2250.0,2280.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,2955.0,2985.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,1170.0,1200.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,555.0,585.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,225.0,255.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,75.0,105.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,90.0,120.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,825.0,855.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,3315.0,3345.0,0,alex,unknown,providence
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/alex_010512.mp3,405.0,435.0,0,alex,unknown,providence
