segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,vc_source_language,vc_target_child_id,vc_source_path
xlingvc_L0B0Q5O3Q3_b1975fde04,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_Preston_P50_00703435_00704237,L0B0Q5O3Q3,target_child,,14_18_months,0.0,0.7800,0.7800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_b1975fde04.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,L0B0Q5O3Q3,data/tinyvox/audio/phon_Clinical_Preston_P50_00703435_00704237.wav
xlingvc_L0B0Q5O3Q3_7aac86d885,cross_lingual_vc_tinyvox_French,phon_French_Paris_Antoine_021116_00542638_00544865,L0B0Q5O3Q3,target_child,,14_18_months,0.0,2.2200,2.2200,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_7aac86d885.wav,16000,,,cross_lingual_vc,1.0,train,True,French,L0B0Q5O3Q3,data/tinyvox/audio/phon_French_Paris_Antoine_021116_00542638_00544865.wav
xlingvc_L0B0Q5O3Q3_b50d7f18da,cross_lingual_vc_tinyvox_French,phon_French_GoadRose_Clara_20509_02702899_02704222,L0B0Q5O3Q3,target_child,,14_18_months,0.0,1.3000,1.3000,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_b50d7f18da.wav,16000,,,cross_lingual_vc,1.0,train,True,French,L0B0Q5O3Q3,data/tinyvox/audio/phon_French_GoadRose_Clara_20509_02702899_02704222.wav
xlingvc_L0B0Q5O3Q3_7edb9e1e0b,cross_lingual_vc_tinyvox_French,phon_French_KernFrench_Esteban_001028_03265360_03266920,L0B0Q5O3Q3,target_child,,14_18_months,0.0,1.5400,1.5400,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_7edb9e1e0b.wav,16000,,,cross_lingual_vc,1.0,train,True,French,L0B0Q5O3Q3,data/tinyvox/audio/phon_French_KernFrench_Esteban_001028_03265360_03266920.wav
xlingvc_L0B0Q5O3Q3_4d6903ab75,cross_lingual_vc_tinyvox_Romance,phon_Romance_Portuguese_CCF_Ines_010802_01560425_01563425,L0B0Q5O3Q3,target_child,,14_18_months,0.0,2.9800,2.9800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_4d6903ab75.wav,16000,,,cross_lingual_vc,1.0,train,True,Romance,L0B0Q5O3Q3,data/tinyvox/audio/phon_Romance_Portuguese_CCF_Ines_010802_01560425_01563425.wav
xlingvc_L0B0Q5O3Q3_ddb3abc280,cross_lingual_vc_tinyvox_Romance,phon_Romance_Portuguese_PereiraFreitas_Marta_010818_01263851_01265851,L0B0Q5O3Q3,target_child,,14_18_months,0.0,1.9800,1.9800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_ddb3abc280.wav,16000,,,cross_lingual_vc,1.0,train,True,Romance,L0B0Q5O3Q3,data/tinyvox/audio/phon_Romance_Portuguese_PereiraFreitas_Marta_010818_01263851_01265851.wav
xlingvc_L0B0Q5O3Q3_8b3837ab09,cross_lingual_vc_tinyvox_German,phon_German_Grimm_Sandra_010525_00080120_00083350,L0B0Q5O3Q3,target_child,,14_18_months,0.0,3.2200,3.2200,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_8b3837ab09.wav,16000,,,cross_lingual_vc,1.0,train,True,German,L0B0Q5O3Q3,data/tinyvox/audio/phon_German_Grimm_Sandra_010525_00080120_00083350.wav
xlingvc_L0B0Q5O3Q3_8d331bf5f7,cross_lingual_vc_tinyvox_French,phon_French_KernFrench_Baptiste_010704_02544680_02547680,L0B0Q5O3Q3,target_child,,14_18_months,0.0,2.9800,2.9800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_8d331bf5f7.wav,16000,,,cross_lingual_vc,1.0,train,True,French,L0B0Q5O3Q3,data/tinyvox/audio/phon_French_KernFrench_Baptiste_010704_02544680_02547680.wav
xlingvc_L0B0Q5O3Q3_151c8034f3,cross_lingual_vc_tinyvox_Romance,phon_Romance_Portuguese_CCF_Ines_030015_00364588_00367588,L0B0Q5O3Q3,target_child,,14_18_months,0.0,2.9800,2.9800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_151c8034f3.wav,16000,,,cross_lingual_vc,1.0,train,True,Romance,L0B0Q5O3Q3,data/tinyvox/audio/phon_Romance_Portuguese_CCF_Ines_030015_00364588_00367588.wav
xlingvc_L0B0Q5O3Q3_37d1694c10,cross_lingual_vc_tinyvox_Romance,phon_Romance_Portuguese_PereiraFreitas_Raquel_020519_03750851_03753351,L0B0Q5O3Q3,target_child,,14_18_months,0.0,2.4800,2.4800,data/segments/cross_lingual_vc/L0B0Q5O3Q3/L0B0Q5O3Q3_37d1694c10.wav,16000,,,cross_lingual_vc,1.0,train,True,Romance,L0B0Q5O3Q3,data/tinyvox/audio/phon_Romance_Portuguese_PereiraFreitas_Raquel_020519_03750851_03753351.wav
