segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,vc_source_language,vc_target_child_id,vc_source_path
xlingvc_N3L7A1I2B9_508253493f,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_NeumannFoxBoyer_SD_PL-II_C09_00229222_00230328,N3L7A1I2B9,target_child,,14_18_months,0.0,1.1000,1.1000,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_508253493f.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,N3L7A1I2B9,data/tinyvox/audio/phon_Clinical_NeumannFoxBoyer_SD_PL-II_C09_00229222_00230328.wav
xlingvc_N3L7A1I2B9_15e4e813e8,cross_lingual_vc_tinyvox_French,phon_French_Paris_Theophile_040620_02944616_02946113,N3L7A1I2B9,target_child,,14_18_months,0.0,1.4800,1.4800,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_15e4e813e8.wav,16000,,,cross_lingual_vc,1.0,train,True,French,N3L7A1I2B9,data/tinyvox/audio/phon_French_Paris_Theophile_040620_02944616_02946113.wav
xlingvc_N3L7A1I2B9_3500e07d31,cross_lingual_vc_tinyvox_Spanish,phon_Spanish_Vivar_Temuco_4B-DC_00162297_00163073,N3L7A1I2B9,target_child,,14_18_months,0.0,0.7600,0.7600,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_3500e07d31.wav,16000,,,cross_lingual_vc,1.0,train,True,Spanish,N3L7A1I2B9,data/tinyvox/audio/phon_Spanish_Vivar_Temuco_4B-DC_00162297_00163073.wav
xlingvc_N3L7A1I2B9_97cbcd0543,cross_lingual_vc_tinyvox_French,phon_French_Lyon_Marie_10002_01903732_01904420,N3L7A1I2B9,target_child,,14_18_months,0.0,0.6800,0.6800,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_97cbcd0543.wav,16000,,,cross_lingual_vc,1.0,train,True,French,N3L7A1I2B9,data/tinyvox/audio/phon_French_Lyon_Marie_10002_01903732_01904420.wav
xlingvc_N3L7A1I2B9_21c215c918,cross_lingual_vc_tinyvox_Biling,phon_Biling_ChildL2_040829_00522645_00523898,N3L7A1I2B9,target_child,,14_18_months,0.0,1.2400,1.2400,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_21c215c918.wav,16000,,,cross_lingual_vc,1.0,train,True,Biling,N3L7A1I2B9,data/tinyvox/audio/phon_Biling_ChildL2_040829_00522645_00523898.wav
xlingvc_N3L7A1I2B9_8288cde018,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_McAllister_040019_00787855_00791680,N3L7A1I2B9,target_child,,14_18_months,0.0,3.8200,3.8200,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_8288cde018.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,N3L7A1I2B9,data/tinyvox/audio/phon_Clinical_McAllister_040019_00787855_00791680.wav
xlingvc_N3L7A1I2B9_34b0c8895e,cross_lingual_vc_tinyvox_French,phon_French_Paris_Theophile_031115_02066945_02071013,N3L7A1I2B9,target_child,,14_18_months,0.0,4.0600,4.0600,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_34b0c8895e.wav,16000,,,cross_lingual_vc,1.0,train,True,French,N3L7A1I2B9,data/tinyvox/audio/phon_French_Paris_Theophile_031115_02066945_02071013.wav
xlingvc_N3L7A1I2B9_62d3c27823,cross_lingual_vc_tinyvox_French,phon_French_Paris_Antoine_020820_03410048_03412858,N3L7A1I2B9,target_child,,14_18_months,0.0,2.8000,2.8000,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_62d3c27823.wav,16000,,,cross_lingual_vc,1.0,train,True,French,N3L7A1I2B9,data/tinyvox/audio/phon_French_Paris_Antoine_020820_03410048_03412858.wav
xlingvc_N3L7A1I2B9_8b341420dd,cross_lingual_vc_tinyvox_Clinical,phon_Clinical_Cummings_PD02_030107_01203956_01206554,N3L7A1I2B9,target_child,,14_18_months,0.0,2.5800,2.5800,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_8b341420dd.wav,16000,,,cross_lingual_vc,1.0,train,True,Clinical,N3L7A1I2B9,data/tinyvox/audio/phon_Clinical_Cummings_PD02_030107_01203956_01206554.wav
xlingvc_N3L7A1I2B9_8b19857b2c,cross_lingual_vc_tinyvox_Biling,phon_Biling_ChildL2_040109_01573946_01574868,N3L7A1I2B9,target_child,,14_18_months,0.0,0.9000,0.9000,data/segments/cross_lingual_vc/N3L7A1I2B9/N3L7A1I2B9_8b19857b2c.wav,16000,,,cross_lingual_vc,1.0,train,True,Biling,N3L7A1I2B9,data/tinyvox/audio/phon_Biling_ChildL2_040109_01573946_01574868.wav
