segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,childrenization_pitch_shift_semitones,childrenization_duration_stretch
playlogue_ADULT_gleason_father_katie_73720_76320,cleese_childrenized_playlogue_adults,gleason_father_katie,gleason_ADULT_gleason_father_katie,target_child,16,14_18_months,0.0,2.4467,2.4467,data/segments/cleese_childrenized/playlogue_adults_a54aed47b8.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,0.9410339428116186
librispeech_4267-78186-0008,cleese_childrenized_librispeech,4267-78186-0008,4267,target_child,16,14_18_months,0.0,16.3235,16.3235,data/segments/cleese_childrenized/librispeech_6cdeb53a11.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0514313290900235
prov_adult_lily_020227_MOT_1479840_1484975,cleese_childrenized_providence_adults,020227,lily_MOT,target_child,16,14_18_months,0.0,5.6351,5.6351,data/segments/cleese_childrenized/providence_adults_f963dcd03f.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.0973854085217223
prov_adult_ethan_001104_MOT_336358_339343,cleese_childrenized_providence_adults,001104,ethan_MOT,target_child,16,14_18_months,0.0,3.1313,3.1313,data/segments/cleese_childrenized/providence_adults_ac99d2c8cc.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0489875494151208
prov_adult_ethan_010726_MOT_692218_695440,cleese_childrenized_providence_adults,010726,ethan_MOT,target_child,16,14_18_months,0.0,3.4156,3.4156,data/segments/cleese_childrenized/providence_adults_210f849a0d.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.0597439701614157
prov_adult_lily_020623_MOT_3053475_3055411,cleese_childrenized_providence_adults,020623,lily_MOT,target_child,16,14_18_months,0.0,1.8019,1.8019,data/segments/cleese_childrenized/providence_adults_e58581ea93.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,0.9307496483022353
playlogue_ADULT_gleason_father_john_28180_30000,cleese_childrenized_playlogue_adults,gleason_father_john,gleason_ADULT_gleason_father_john,target_child,16,14_18_months,0.0,1.7609,1.7609,data/segments/cleese_childrenized/playlogue_adults_a7ddc50098.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,0.9675251612763865
prov_adult_alex_030214_MOT_2292675_2295735,cleese_childrenized_providence_adults,030214,alex_MOT,target_child,16,14_18_months,0.0,2.8712,2.8712,data/segments/cleese_childrenized/providence_adults_f508732705.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,0.9383093049050404
librispeech_1624-168623-0032,cleese_childrenized_librispeech,1624-168623-0032,1624,target_child,16,14_18_months,0.0,11.6549,11.6549,data/segments/cleese_childrenized/librispeech_2fda251819.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,0.9923280663441092
prov_adult_lily_010925_MOT_1915415_1916838,cleese_childrenized_providence_adults,010925,lily_MOT,target_child,16,14_18_months,0.0,1.3791,1.3791,data/segments/cleese_childrenized/providence_adults_43670a1b16.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,0.9691849489629979
playlogue_ADULT_gleason_mother_helen_606360_608420,cleese_childrenized_playlogue_adults,gleason_mother_helen,gleason_ADULT_gleason_mother_helen,target_child,16,14_18_months,0.0,2.0811,2.0811,data/segments/cleese_childrenized/playlogue_adults_569760736b.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.0102325181545269
playlogue_ADULT_ew_54ec_11006_543000_544720,cleese_childrenized_playlogue_adults,ew_54ec_11006,ew_ADULT_ew_54ec_11006,target_child,16,14_18_months,0.0,1.7173,1.7173,data/segments/cleese_childrenized/playlogue_adults_f280cb1f35.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,0.9984532121152863
prov_adult_alex_011024_MOT_3368611_3369845,cleese_childrenized_providence_adults,011024,alex_MOT,target_child,16,14_18_months,0.0,1.3387,1.3387,data/segments/cleese_childrenized/providence_adults_47b0730f77.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.0848398293039658
playlogue_ADULT_vh_pricef_281520_283060,cleese_childrenized_playlogue_adults,vh_pricef,vh_ADULT_vh_pricef,target_child,16,14_18_months,0.0,1.6754,1.6754,data/segments/cleese_childrenized/playlogue_adults_b2e9137fda.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0879483185174312
playlogue_ADULT_gleason_father_helen_830740_832260,cleese_childrenized_playlogue_adults,gleason_father_helen,gleason_ADULT_gleason_father_helen,target_child,16,14_18_months,0.0,1.5842,1.5842,data/segments/cleese_childrenized/playlogue_adults_06512f3d3f.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0422889099055752
playlogue_ADULT_ew_42ec_11013_371140_375620,cleese_childrenized_playlogue_adults,ew_42ec_11013,ew_ADULT_ew_42ec_11013,target_child,16,14_18_months,0.0,4.7032,4.7032,data/segments/cleese_childrenized/playlogue_adults_af5103fa7a.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0498277502883535
prov_adult_lily_011009_MOT_1175545_1179510,cleese_childrenized_providence_adults,011009,lily_MOT,target_child,16,14_18_months,0.0,4.1699,4.1699,data/segments/cleese_childrenized/providence_adults_ec89572fab.wav,16000,,,cleese_childrenized,1.0,train,True,10.23059899647336,1.051671392243604
