segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,childrenization_pitch_factor,childrenization_spectral_warp,childrenization_duration_stretch
librispeech_4051-11218-0030,world_childrenized_librispeech,4051-11218-0030,4051,target_child,16,14_18_months,0.0,17.6351,17.6351,data/segments/world_childrenized/librispeech_d226e3871c.wav,16000,,,world_childrenized,1.0,train,True,1.2141714269280452,1.3727350898755852,1.0970479064265257
prov_adult_alex_020300_MOT_1631153_1632046,world_childrenized_providence_adults,020300,alex_MOT,target_child,16,14_18_months,0.0,0.9111,0.9111,data/segments/world_childrenized/providence_adults_350429c28b.wav,16000,,,world_childrenized,0.893,train,True,1.6480413807469376,1.2987651450997666,1.0180409319796493
prov_adult_alex_011117_MOT_597230_604811,world_childrenized_providence_adults,011117,alex_MOT,target_child,16,14_18_months,0.0,7.7079,7.7079,data/segments/world_childrenized/providence_adults_73b627684e.wav,16000,,,world_childrenized,1.0,train,True,1.8595593327724178,1.2342850826850973,1.0161974761946624
prov_adult_ethan_010021_MOT_681760_688941,world_childrenized_providence_adults,010021,ethan_MOT,target_child,16,14_18_months,0.0,8.1939,8.1939,data/segments/world_childrenized/providence_adults_6b84ec734e.wav,16000,,,world_childrenized,1.0,train,True,1.0425041461687452,1.3444017653305251,1.1404266728149157
prov_adult_alex_010811_MOT_1913971_1915315,world_childrenized_providence_adults,010811,alex_MOT,target_child,16,14_18_months,0.0,1.3670,1.3670,data/segments/world_childrenized/providence_adults_5f1425f711.wav,16000,,,world_childrenized,1.0,train,True,1.255347068840848,1.3026376811927032,1.016350610086134
prov_adult_lily_010102_MOT_2778585_2780473,world_childrenized_providence_adults,010102,lily_MOT,target_child,16,14_18_months,0.0,2.1542,2.1542,data/segments/world_childrenized/providence_adults_4997a3d5b2.wav,16000,,,world_childrenized,1.0,train,True,3.144816093768512,1.338031863614369,1.1397818071627175
prov_adult_lily_020201_MOT_2870188_2874095,world_childrenized_providence_adults,020201,lily_MOT,target_child,16,14_18_months,0.0,4.1046,4.1046,data/segments/world_childrenized/providence_adults_31cf8801d6.wav,16000,,,world_childrenized,1.0,train,True,0.9480138837944382,1.3146523171444802,1.0497737194040837
playlogue_ADULT_cameron_aae_B7_57_49_PE_N22_221900_222620,world_childrenized_playlogue_adults,cameron_aae_B7_57_49_PE_N22,cameron_ADULT_cameron_aae_B7_57_49_PE_N22,target_child,16,14_18_months,0.0,0.7275,0.7275,data/segments/world_childrenized/playlogue_adults_d3da2c6a72.wav,16000,,,world_childrenized,0.72,train,True,1.0822021225575633,1.2259651270773653,1.0034588304920053
prov_adult_ethan_011011_MOT_2028641_2029858,world_childrenized_providence_adults,011011,ethan_MOT,target_child,16,14_18_months,0.0,1.3839,1.3839,data/segments/world_childrenized/providence_adults_32b62f104f.wav,16000,,,world_childrenized,1.0,train,True,1.0531860288744264,1.2772721851931623,1.1343732502389041
prov_adult_lily_020518_MOT_146476_149523,world_childrenized_providence_adults,020518,lily_MOT,target_child,16,14_18_months,0.0,3.3242,3.3242,data/segments/world_childrenized/providence_adults_03632322b0.wav,16000,,,world_childrenized,1.0,train,True,2.8978340537837424,1.3668486929177475,1.0899007400714
prov_adult_lily_020227_MOT_1578681_1582191,world_childrenized_providence_adults,020227,lily_MOT,target_child,16,14_18_months,0.0,4.0081,4.0081,data/segments/world_childrenized/providence_adults_129699dabe.wav,16000,,,world_childrenized,1.0,train,True,0.8108784473141143,1.3123592199374037,1.1402817289367977
playlogue_ADULT_vh_saintf_50920_51460,world_childrenized_playlogue_adults,vh_saintf,vh_ADULT_vh_saintf,target_child,16,14_18_months,0.0,0.6222,0.6222,data/segments/world_childrenized/playlogue_adults_165c7f4588.wav,16000,,,world_childrenized,0.54,train,True,3.002341988065335,1.2662758887945371,1.1417774841311024
prov_adult_ethan_001121_MOT_1244638_1250899,world_childrenized_providence_adults,001121,ethan_MOT,target_child,16,14_18_months,0.0,7.0794,7.0794,data/segments/world_childrenized/providence_adults_445bb6c7f1.wav,16000,,,world_childrenized,1.0,train,True,0.9499999304523631,1.2173261654159346,1.1299887398743367
prov_adult_alex_030516_MOT_256771_258031,world_childrenized_providence_adults,030516,alex_MOT,target_child,16,14_18_months,0.0,1.3458,1.3458,data/segments/world_childrenized/providence_adults_b682ec80be.wav,16000,,,world_childrenized,1.0,train,True,2.9613115327291113,1.2203948811876497,1.0638701099898091
playlogue_ADULT_gleason_father_isadora_34820_35880,world_childrenized_playlogue_adults,gleason_father_isadora,gleason_ADULT_gleason_father_isadora,target_child,16,14_18_months,0.0,1.1214,1.1214,data/segments/world_childrenized/playlogue_adults_7e08b9a255.wav,16000,,,world_childrenized,1.0,train,True,1.159552705801933,1.2284129749395354,1.0529532900336527
librispeech_4830-25904-0044,world_childrenized_librispeech,4830-25904-0044,4830,target_child,16,14_18_months,0.0,16.8027,16.8027,data/segments/world_childrenized/librispeech_4daab45e65.wav,16000,,,world_childrenized,1.0,train,True,2.2159157371667844,1.3431182344047805,1.0678547904071969
prov_adult_alex_020012_MOT_853658_855011,world_childrenized_providence_adults,020012,alex_MOT,target_child,16,14_18_months,0.0,1.3666,1.3666,data/segments/world_childrenized/providence_adults_230ac63922.wav,16000,,,world_childrenized,1.0,train,True,1.4084597092297697,1.2849300391325322,1.0085818712843313
prov_adult_ethan_020319_MOT_2242306_2248110,world_childrenized_providence_adults,020319,ethan_MOT,target_child,16,14_18_months,0.0,5.9544,5.9544,data/segments/world_childrenized/providence_adults_9cf27522fa.wav,16000,,,world_childrenized,1.0,train,True,3.058523337843495,1.3271673605136136,1.025735245582744
prov_adult_lily_010912_MOT_786663_789326,world_childrenized_providence_adults,010912,lily_MOT,target_child,16,14_18_months,0.0,2.7161,2.7161,data/segments/world_childrenized/providence_adults_1bbcde159a.wav,16000,,,world_childrenized,1.0,train,True,3.0192495606413186,1.2335770184342778,1.019153410956777
prov_adult_alex_010427_MOT_1408180_1413256,world_childrenized_providence_adults,010427,alex_MOT,target_child,16,14_18_months,0.0,5.3871,5.3871,data/segments/world_childrenized/providence_adults_3c7e33c481.wav,16000,,,world_childrenized,1.0,train,True,1.3061070102475487,1.3700197347586633,1.0604568604723186
