audio_path,child_id,timepoint_norm,label,split,scene_type,source,rttm_path
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000000.wav,synth_14_18_months_background_speech_negative,14_18_months,0,train,background_speech_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000000.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000001.wav,synth_14_18_months_adult_only_negative,14_18_months,0,train,adult_only_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000001.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000002.wav,synth_14_18_months_positive,14_18_months,1,train,positive,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000002.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000003.wav,synth_14_18_months_adult_only_negative,14_18_months,0,train,adult_only_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000003.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000004.wav,synth_14_18_months_noise_only_negative,14_18_months,0,train,noise_only_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000004.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000005.wav,synth_14_18_months_adult_only_negative,14_18_months,0,train,adult_only_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000005.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000006.wav,synth_14_18_months_positive,14_18_months,1,train,positive,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000006.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000007.wav,synth_14_18_months_positive,14_18_months,1,train,positive,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000007.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000008.wav,synth_14_18_months_background_speech_negative,14_18_months,0,train,background_speech_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000008.rttm
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/wav/default_14_18mo_42_000009.wav,synth_14_18_months_noise_only_negative,14_18_months,0,train,noise_only_negative,synthetic,/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/synthetic_scenes_v2/rttm/default_14_18mo_42_000009.rttm
