epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.5840053093987841,0.5297611170344882,0.8595600676818951,0.7023704298915227,0.65
2,0.4989495143409847,0.500689391626252,0.8552188552188552,0.7245480112494977,0.45
3,0.4728083713341129,0.46269064346949257,0.8533772652388797,0.7474889513860988,0.4
4,0.44423471876355103,0.49254385663403405,0.8557213930348259,0.7432302129369224,0.2
5,0.4132688531810923,0.47922035257021584,0.8620102214650767,0.7563278425070309,0.35
6,0.4072906014531158,0.4451949387788773,0.8614357262103506,0.7423463238248293,0.4
7,0.3982233145209246,0.4462482194105784,0.8557377049180328,0.7598633989554038,0.15
8,0.3818692869918291,0.43729485472043356,0.8571428571428571,0.7403776617115306,0.3
9,0.3831840173680653,0.46034079823229046,0.8552412645590682,0.7426275612695862,0.15
10,0.3793798028960709,0.4429563532272975,0.8585690515806988,0.7466050622740057,0.3
