child_id,timepoint,n_clips,n_positive,n_negative,n_fp,n_fn,accuracy,mean_chi_dur,mean_prob,mean_n_children,mean_n_adults,pct_interaction
A6S0V1J3G6,14_month,1,0,1,1,0,0.0,3.4999999999999982,0.3971492799643336,1.0,0.0,0.0
A8P5O6Z7X6,14_month,1,0,1,1,0,0.0,1.8800000000000023,0.4696749754124928,2.0,1.0,1.0
B9P5V1I5O5,14_month,2,0,2,2,0,0.0,5.74,0.402686694774798,1.5,-0.5,0.5
F6J0V8B6S4,36_month,1,0,1,1,0,0.0,7.779999999999998,0.4257900602515139,1.0,1.0,1.0
L5V8G4A3K7,14_month,1,0,1,1,0,0.0,2.620000000000001,0.3759585784302121,1.0,0.0,1.0
M4R4B8C7G8,36_month,1,0,1,1,0,0.0,0.4199999999999999,0.2264115643006153,1.0,0.0,1.0
W7P7J6H1H6,14_month,2,1,1,1,1,0.0,4.949999999999998,0.2692558089355627,1.0,0.5,0.5
S6T9X3C8Y2,14_month,2,0,2,2,0,0.0,4.86,0.5039701541536498,2.0,0.0,0.5
Y4W4H9A8X5,36_month,2,0,2,2,0,0.0,12.479999999999995,0.32396534888716405,7.0,1.5,1.0
I8T4E2J3M6,14_month,8,2,6,6,0,0.25,5.6225,0.43820206473586865,1.625,0.5,0.625
M5H7X4O2M2,14_month,3,1,2,2,0,0.3333333333333333,10.446666666666665,0.4440917344528692,2.0,0.6666666666666666,0.6666666666666666
C1G1X2G4C6,14_month,3,0,3,2,0,0.3333333333333333,8.553333333333333,0.3805776421283867,2.0,1.3333333333333333,0.6666666666666666
Z1J6X4Y3Z4,14_month,3,1,2,2,0,0.3333333333333333,5.253333333333334,0.47738840928497445,1.6666666666666667,0.6666666666666666,0.6666666666666666
E7Z4G3O5K2,14_month,4,2,2,1,1,0.5,1.8000000000000003,0.20624024214699485,1.25,0.0,0.75
H7C3T0K5E5,14_month,4,4,0,0,2,0.5,2.1999999999999997,0.16993886736310732,1.25,0.25,0.75
G3D3S2N7W8,14_month,2,1,1,1,0,0.5,22.270000000000007,0.39022639061432884,1.0,0.0,1.0
C1I8N8L4Q4,36_month,2,1,1,1,0,0.5,8.000000000000002,0.5274260546899994,1.5,0.0,0.5
C5L2D6N1W6,14_month,2,1,1,1,0,0.5,5.65,0.41425076925933885,1.0,0.0,1.0
B4Q3G8H2N3,14_month,8,7,1,0,4,0.5,9.217500000000001,0.2274962796579238,1.25,0.5,0.75
T8P2Z1M9O9,14_month,4,1,3,2,0,0.5,4.360000000000001,0.3189777256052879,1.0,0.0,0.5
G4J8F6F4X0,14_month,11,6,5,5,0,0.5454545454545454,5.840000000000001,0.4868791016234299,1.0,0.18181818181818182,0.7272727272727273
G3A6S5R9F7,14_month,5,3,2,2,0,0.6,7.148000000000001,0.5347825592568366,1.0,0.2,1.0
M5O1K4W9O1,14_month,5,5,0,0,2,0.6,2.004,0.23004375657140413,1.0,0.2,0.8
A6Y4Y7X2G1,14_month,6,2,4,2,0,0.6666666666666666,4.330000000000001,0.3397447632894162,1.0,0.5,0.6666666666666666
A1H3H9Y3T1,14_month,3,2,1,1,0,0.6666666666666666,14.273333333333326,0.3995719444890194,1.0,0.3333333333333333,1.0
S0M6Z7D5X7,14_month,3,2,1,1,0,0.6666666666666666,13.133333333333333,0.45631473818426693,1.3333333333333333,0.0,0.6666666666666666
S9D2T7Y9B1,14_month,3,2,1,1,0,0.6666666666666666,7.933333333333336,0.41365185520743575,1.6666666666666667,0.0,1.0
C4C7T6W2I0,14_month,3,2,1,1,0,0.6666666666666666,7.306666666666668,0.5077281811452268,1.6666666666666667,0.3333333333333333,1.0
M5Y0K3C9L0,14_month,3,1,2,1,0,0.6666666666666666,7.246666666666669,0.35144757900253937,1.3333333333333333,1.3333333333333333,0.6666666666666666
F8N7H3T0O1,14_month,6,4,2,2,0,0.6666666666666666,16.8,0.546451692098148,1.6666666666666667,0.16666666666666666,0.6666666666666666
E3O3H8O7H4,14_month,3,2,1,1,0,0.6666666666666666,4.126666666666666,0.4619854334074214,1.6666666666666667,0.0,0.6666666666666666
E2P5Q8S5A7,14_month,3,2,1,1,0,0.6666666666666666,7.66,0.482325121829732,1.3333333333333333,0.3333333333333333,0.3333333333333333
Q9W9P7Z3J7,14_month,6,4,2,2,0,0.6666666666666666,7.21,0.5690968007889181,1.0,0.5,0.6666666666666666
W9K7Y8Y0V6,36_month,3,2,1,1,0,0.6666666666666666,5.233333333333333,0.42588090647470733,1.0,1.0,1.0
V7D7K3H8B4,14_month,3,2,1,1,0,0.6666666666666666,18.346666666666668,0.560797556049149,1.0,0.0,0.3333333333333333
R6R8Q6A7K0,14_month,8,5,3,2,0,0.75,9.475000000000001,0.3985670818980269,1.5,0.375,0.75
Z2E7T3I3H2,14_month,4,3,1,1,0,0.75,15.110000000000001,0.4459468604227378,1.25,0.25,1.0
N5I9D3R2M1,14_month,4,4,0,0,1,0.75,24.655,0.4542801257886171,1.25,0.0,0.75
S4O9O2E5Z0,14_month,4,3,1,1,0,0.75,9.235,0.4784079916109998,1.75,0.0,0.75
O6F1J9U1J2,14_month,4,3,1,1,0,0.75,10.195,0.5592666829706409,1.0,0.25,0.75
J3J0V4T8C3,14_month,12,10,2,2,1,0.75,8.099999999999998,0.47835874325930644,1.0,0.08333333333333333,0.6666666666666666
D8G5K7I0D6,14_month,4,3,1,1,0,0.75,15.110000000000003,0.4845906843972927,1.0,0.25,1.0
T2H0J0N2Z5,14_month,5,4,1,1,0,0.8,6.795999999999999,0.5611875157670431,1.2,0.2,0.8
J4J6X7C4D9,14_month,5,4,1,0,1,0.8,9.811999999999996,0.2728347114624544,1.0,0.8,0.8
H3B5L5F8T1,14_month,5,3,2,1,0,0.8,4.0040000000000004,0.33054459215764215,1.0,0.2,0.6
F8V2U5P1A0,14_month,5,4,1,1,0,0.8,13.828,0.46109397782521394,1.0,0.0,0.8
S7F0B6H3A3,14_month,5,4,1,1,0,0.8,13.784,0.49174700572063196,1.0,0.2,1.0
N3C7S2N8O0,14_month,5,3,2,1,0,0.8,13.188000000000006,0.43781176573966435,1.4,0.0,0.6
A2P7X9N8L7,14_month,5,4,1,1,0,0.8,13.655999999999997,0.4995204828634936,1.2,0.4,1.0
B1S3L8Q7Y6,14_month,17,13,4,3,0,0.8235294117647058,9.18,0.4220445020432001,1.1176470588235294,0.0,0.7058823529411765
S9B3J7I4R1,14_month,6,5,1,0,1,0.8333333333333334,9.92666666666667,0.3112927306790932,1.3333333333333333,0.3333333333333333,0.5
W3P0N4W0X9,14_month,6,6,0,0,1,0.8333333333333334,20.523333333333326,0.45797838615615366,1.1666666666666667,0.8333333333333334,0.8333333333333334
S2C4T1Y7V7,14_month,6,3,3,1,0,0.8333333333333334,5.983333333333332,0.35399264309568673,1.3333333333333333,0.0,0.6666666666666666
N3L7A1I2B9,14_month,25,19,6,4,0,0.84,13.7176,0.41780404495488876,1.0,0.48,0.88
L0B0Q5O3Q3,14_month,10,8,2,1,0,0.9,13.854000000000003,0.38824025057183836,1.0,0.3,0.6
C0O6X3N5Y7,14_month,10,8,2,1,0,0.9,4.75,0.4258004904379386,1.6,0.4,0.9
F3N4H0K1Z1,14_month,12,11,1,1,0,0.9166666666666666,9.651666666666669,0.45486155412668955,1.5,0.16666666666666666,0.9166666666666666
A5X1S7S1E7,14_month,3,3,0,0,0,1.0,21.433333333333326,0.5715055340381235,1.0,0.0,1.0
A4E8K1L5Y2,36_month,3,3,0,0,0,1.0,35.753333333333366,0.5097712475110866,1.0,0.6666666666666666,1.0
D8O8B2C4X2,14_month,3,3,0,0,0,1.0,6.493333333333332,0.46184383716627875,1.0,0.0,0.6666666666666666
