diarizer,n,tp,tn,fp,fn,fp_rate,fn_rate,threshold,fp_interactive,fn_interactive,fp_non_interactive,fn_non_interactive,fp_14month,fn_14month,fp_36month,fn_36month,fp_nc0,fn_nc0,fp_nc1,fn_nc1,fp_nc2,fn_nc2
BabAR,441,281,79,27,54,0.0612,0.1224,0.12000000000000001,19,48,8,6,18,24,9,30,0,1,15,43,11,9
Pyannote,441,301,40,66,34,0.1497,0.0771,0.16,52,19,14,15,39,18,27,16,0,0,42,34,19,0
USC-SAIL,441,320,29,77,15,0.1746,0.034,0.21000000000000002,54,10,23,5,51,9,26,6,0,0,51,13,20,2
VTC,441,305,59,47,30,0.1066,0.068,0.13,37,25,10,5,30,18,17,12,0,0,23,28,19,2
VTC-KCHI,441,281,79,27,54,0.0612,0.1224,0.12000000000000001,19,48,8,6,18,24,9,30,0,1,15,43,11,9
VBx,441,311,27,79,24,0.1791,0.0544,0.175,58,16,21,8,50,10,29,14,0,0,52,23,21,1
TalkNet-ASD,441,69,99,7,266,0.0159,0.6032,0.1,6,218,1,48,6,132,1,134,0,2,5,211,1,47
EEND-EDA,441,312,14,92,23,0.2086,0.0522,0.1,57,18,35,5,60,10,32,13,0,0,64,19,22,3
Sortformer,441,301,29,77,34,0.1746,0.0771,0.1,57,24,20,10,50,22,27,12,0,0,57,29,17,5
WavLM-MIL,441,326,28,78,9,0.1769,0.0204,0.5,55,4,23,5,51,4,27,5,0,0,52,8,22,0
Whisper-MIL,441,303,60,46,32,0.1043,0.0726,0.5,37,23,9,9,28,21,18,11,0,0,25,31,17,0
