system,threshold,net_benefit
whisper_mil,0.01,0.7572092810188048
whisper_mil,0.02,0.7547318247026702
whisper_mil,0.03,0.752203286813007
whisper_mil,0.04,0.7496220710506425
whisper_mil,0.05,0.7469865139038072
whisper_mil,0.060000000000000005,0.7442948810729966
whisper_mil,0.06999999999999999,0.7420573964352767
whisper_mil,0.08,0.7395247954254166
whisper_mil,0.09,0.7369863696394309
whisper_mil,0.09999999999999999,0.7341899722852104
whisper_mil,0.11,0.7316109964585086
whisper_mil,0.12,0.7267573696145124
whisper_mil,0.13,0.7245028279511038
whisper_mil,0.14,0.7223013236302273
whisper_mil,0.15000000000000002,0.7197545684940643
whisper_mil,0.16,0.7157974300831443
whisper_mil,0.17,0.7133021883452175
whisper_mil,0.18000000000000002,0.7085338200320779
whisper_mil,0.19,0.7054953668710283
whisper_mil,0.2,0.7012471655328798
whisper_mil,0.21000000000000002,0.6970636355808146
whisper_mil,0.22,0.6929472643758359
whisper_mil,0.23,0.6882233412845657
whisper_mil,0.24000000000000002,0.6857620241078888
whisper_mil,0.25,0.6832955404383976
whisper_mil,0.26,0.6801495372923945
whisper_mil,0.27,0.6754884602242723
whisper_mil,0.28,0.6708238851095993
whisper_mil,0.29000000000000004,0.6684232378397368
whisper_mil,0.3,0.6582442500809847
whisper_mil,0.31,0.6489861645141147
whisper_mil,0.32,0.6475923702814459
whisper_mil,0.33,0.6474092124411953
whisper_mil,0.34,0.6462585034013605
whisper_mil,0.35000000000000003,0.6431187859759288
whisper_mil,0.36000000000000004,0.6410147392290249
whisper_mil,0.37,0.638915883813843
whisper_mil,0.38,0.6354326676907321
whisper_mil,0.39,0.6310174342961229
whisper_mil,0.4,0.6235827664399093
whisper_mil,0.41000000000000003,0.6176640147584458
whisper_mil,0.42000000000000004,0.6204550785831574
whisper_mil,0.43,0.6162628794207742
whisper_mil,0.44,0.6143505021056042
whisper_mil,0.45,0.6101834673263246
whisper_mil,0.46,0.6040984294952549
whisper_mil,0.47000000000000003,0.600136910109956
whisper_mil,0.48000000000000004,0.5913134484563056
whisper_mil,0.49,0.5913921124005157
whisper_mil,0.5,0.582766439909297
whisper_mil,0.51,0.5739738072099588
whisper_mil,0.52,0.5674603174603174
whisper_mil,0.53,0.5609591354272205
whisper_mil,0.54,0.5567386374839791
whisper_mil,0.55,0.5497606449987402
whisper_mil,0.56,0.5512265512265512
whisper_mil,0.5700000000000001,0.545641512418921
whisper_mil,0.5800000000000001,0.5417341539790519
whisper_mil,0.59,0.5277916044466567
whisper_mil,0.6,0.5340136054421769
whisper_mil,0.61,0.5201465201465202
whisper_mil,0.62,0.5082945458885308
whisper_mil,0.63,0.504565790280076
whisper_mil,0.64,0.5008818342151675
whisper_mil,0.65,0.4885001619695497
whisper_mil,0.66,0.4847272242230225
whisper_mil,0.67,0.48560434274719994
whisper_mil,0.68,0.47987528344671193
whisper_mil,0.6900000000000001,0.4719479189525272
whisper_mil,0.7000000000000001,0.474678760393046
whisper_mil,0.7100000000000001,0.4596137305496911
whisper_mil,0.72,0.4476838354389375
whisper_mil,0.73,0.4404132023179643
whisper_mil,0.74,0.43746729461015177
whisper_mil,0.75,0.4399092970521542
whisper_mil,0.76,0.42252456538170824
whisper_mil,0.77,0.41674060928719314
whisper_mil,0.78,0.38734281591424446
whisper_mil,0.79,0.39250620883273946
whisper_mil,0.8,0.36961451247165533
whisper_mil,0.81,0.3505191550304332
whisper_mil,0.8200000000000001,0.32829428067523303
whisper_mil,0.8300000000000001,0.3203948245965052
whisper_mil,0.8400000000000001,0.30045351473922893
whisper_mil,0.85,0.28798185941043086
whisper_mil,0.86,0.29024943310657597
whisper_mil,0.87,0.2656549799406942
whisper_mil,0.88,0.24943310657596368
whisper_mil,0.89,0.24159967017109873
whisper_mil,0.9,0.2403628117913832
whisper_mil,0.91,0.2101284958427815
whisper_mil,0.92,0.16439909297052152
whisper_mil,0.93,0.14609653385163585
whisper_mil,0.9400000000000001,0.13227513227513224
whisper_mil,0.9500000000000001,0.10657596371882086
whisper_mil,0.9600000000000001,0.06802721088435375
whisper_mil,0.97,0.034013605442176874
whisper_mil,0.98,0.018140589569160998
whisper_mil,0.99,0.0
whisper_mil_tsmil_concat,0.01,0.7636919655268278
whisper_mil_tsmil_concat,0.02,0.7613274667665231
whisper_mil_tsmil_concat,0.03,0.7589615057221224
whisper_mil_tsmil_concat,0.04,0.7565940366972477
whisper_mil_tsmil_concat,0.05,0.754225012071463
whisper_mil_tsmil_concat,0.060000000000000005,0.7517079836033573
whisper_mil_tsmil_concat,0.06999999999999999,0.7491368254907763
whisper_mil_tsmil_concat,0.08,0.7467092142002393
whisper_mil_tsmil_concat,0.09,0.7440518197398931
whisper_mil_tsmil_concat,0.09999999999999999,0.7415902140672782
whisper_mil_tsmil_concat,0.11,0.7371147304401608
whisper_mil_tsmil_concat,0.12,0.7343619683069225
whisper_mil_tsmil_concat,0.13,0.7315459242855636
whisper_mil_tsmil_concat,0.14,0.7267441860465116
whisper_mil_tsmil_concat,0.15000000000000002,0.7250404749055586
whisper_mil_tsmil_concat,0.16,0.7198558322411532
whisper_mil_tsmil_concat,0.17,0.7168951033491765
whisper_mil_tsmil_concat,0.18000000000000002,0.715876034907138
whisper_mil_tsmil_concat,0.19,0.7145203307282817
whisper_mil_tsmil_concat,0.2,0.712729357798165
whisper_mil_tsmil_concat,0.21000000000000002,0.7103994890256647
whisper_mil_tsmil_concat,0.22,0.7080686897200659
whisper_mil_tsmil_concat,0.23,0.7050518289050398
whisper_mil_tsmil_concat,0.24000000000000002,0.7026798647996136
whisper_mil_tsmil_concat,0.25,0.7003058103975535
whisper_mil_tsmil_concat,0.26,0.6971237292338209
whisper_mil_tsmil_concat,0.27,0.6963993967575719
whisper_mil_tsmil_concat,0.28,0.6917686034658512
whisper_mil_tsmil_concat,0.29000000000000004,0.6871365809536115
whisper_mil_tsmil_concat,0.3,0.6834862385321101
whisper_mil_tsmil_concat,0.31,0.6822231086291717
whisper_mil_tsmil_concat,0.32,0.6788990825688074
whisper_mil_tsmil_concat,0.33,0.6754415993427358
whisper_mil_tsmil_concat,0.34,0.6709063108145676
whisper_mil_tsmil_concat,0.35000000000000003,0.6663726182074806
whisper_mil_tsmil_concat,0.36000000000000004,0.6618405963302751
whisper_mil_tsmil_concat,0.37,0.6609509247123926
whisper_mil_tsmil_concat,0.38,0.6564812074578278
whisper_mil_tsmil_concat,0.39,0.6543089186343811
whisper_mil_tsmil_concat,0.4,0.6460244648318042
whisper_mil_tsmil_concat,0.41000000000000003,0.6399082568807339
whisper_mil_tsmil_concat,0.42000000000000004,0.6386428345460298
whisper_mil_tsmil_concat,0.43,0.6364880090133591
whisper_mil_tsmil_concat,0.44,0.6302424639580603
