system_name,split,n_clips,pos_rate,threshold_source,ba_tuned_threshold,f1_tuned_threshold,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,f1_at_f1_tuned_threshold,balanced_accuracy_at_f1_tuned_threshold,trivial_f1,trivial_balanced_accuracy,predictions_path,status,regenerated_at
babar_ecapa_child_enrollment_runs,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.05,0.1,0.8653,0.7633,0.8163,0.799,0.9223,0.8149,0.8167,0.9095,0.8428,0.7843,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_child_enrollment_runs/enroll_test_predictions.csv,OK,2026-05-13T03:26:20+00:00
babar_ecapa_enrollment_runs,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.15,0.14500000000000002,0.8715,0.7677,0.8216,0.797,0.9175,0.8299,0.826,0.9228,0.8715,0.797,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs/enroll_test_predictions.csv,OK,2026-05-13T03:26:19+00:00
babar_ecapa_enrollment_runs_kfold3_f0,seen_child_test,795,0.7346,val-tuned-by-balanced-accuracy,0.2,0.20500000000000002,0.8708,0.7874,0.8265,0.8155,0.9216,0.8253,0.8485,0.9105,0.8698,0.8147,0.847,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f0/enroll_test_predictions.csv,OK,2026-05-13T03:26:19+00:00
babar_ecapa_enrollment_runs_kfold3_f1,seen_child_test,725,0.731,val-tuned-by-balanced-accuracy,0.15,0.12000000000000001,0.8569,0.7663,0.8081,0.7912,0.9055,0.8132,0.8269,0.9041,0.8588,0.7873,0.8446,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f1/enroll_test_predictions.csv,OK,2026-05-13T03:26:19+00:00
babar_ecapa_enrollment_runs_kfold3_f2,seen_child_test,663,0.7602,val-tuned-by-balanced-accuracy,0.05,0.1,0.8834,0.7834,0.8354,0.8083,0.9204,0.8492,0.8398,0.9196,0.8829,0.8126,0.8638,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f2/enroll_test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.5,0.8697,0.7412,0.8079,0.7491,0.8831,0.8567,0.8695,0.9525,0.8857,0.7209,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2,seen_child_test,441,0.7596,val-tuned-by-balanced-accuracy,0.95,0.27999999999999997,0.8923,0.7869,0.8416,0.7973,0.9074,0.8776,0.8853,0.9536,0.9025,0.7646,0.8634,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f0,seen_child_test,795,0.7346,val-tuned-by-balanced-accuracy,0.85,0.5,0.8925,0.7515,0.8176,0.7248,0.8399,0.9521,0.7891,0.8733,0.891,0.7201,0.847,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f0/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f1,seen_child_test,725,0.731,val-tuned-by-balanced-accuracy,0.95,0.5,0.8932,0.7925,0.839,0.7845,0.8793,0.9075,0.8818,0.9376,0.8942,0.7674,0.8446,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f1/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f2,seen_child_test,663,0.7602,val-tuned-by-balanced-accuracy,0.95,0.05,0.886,0.7616,0.8264,0.7611,0.8851,0.8869,0.798,0.8932,0.8913,0.7564,0.8638,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f2/test_predictions.csv,OK,2026-05-13T03:26:19+00:00
