sys_a,sys_b,auroc_diff,cohens_d_pos,cohens_d_neg,cohens_d_combined
whisper_mil,whisper_mil_tsmil_concat,-0.0178,-0.681,0.212,-0.137
whisper_mil,wavlm_mil,0.0797,-0.061,0.771,0.821
whisper_mil,babar_enrollment,0.0275,2.083,-1.408,0.279
whisper_mil,vtc_enrollment,0.0427,2.022,-1.253,0.411
whisper_mil,vtc_kchi_enrollment,0.0275,2.083,-1.408,0.279
whisper_mil,vbx_enrollment,0.1791,1.767,-0.616,0.868
whisper_mil,pyannote_enrollment,0.1852,2.537,-0.983,1.063
whisper_mil,usc_sail_enrollment,0.2039,1.67,-0.479,0.895
whisper_mil,sortformer_enrollment,0.1692,2.465,-1.023,1.015
whisper_mil,eend_eda_enrollment,0.336,1.486,-0.302,0.995
whisper_mil,best_audio_mil_ensemble,-0.0252,1.257,-0.383,0.672
whisper_mil,metadata_stacker,-0.0505,-0.475,-0.271,-0.708
whisper_mil,wavlm_pseudo_frame,0.0157,-0.804,1.537,1.003
whisper_mil,audio_llm_qwen25_omni,0.0806,-0.231,0.462,0.362
whisper_mil_tsmil_concat,wavlm_mil,0.0975,0.375,0.461,0.829
whisper_mil_tsmil_concat,babar_enrollment,0.0453,2.505,-1.433,0.357
whisper_mil_tsmil_concat,vtc_enrollment,0.0605,2.535,-1.219,0.472
whisper_mil_tsmil_concat,vtc_kchi_enrollment,0.0453,2.505,-1.433,0.357
whisper_mil_tsmil_concat,vbx_enrollment,0.1969,2.289,-0.738,0.954
whisper_mil_tsmil_concat,pyannote_enrollment,0.203,3.116,-1.058,1.121
whisper_mil_tsmil_concat,usc_sail_enrollment,0.2217,2.142,-0.601,0.969
whisper_mil_tsmil_concat,sortformer_enrollment,0.187,3.101,-1.129,1.112
whisper_mil_tsmil_concat,eend_eda_enrollment,0.3538,1.863,-0.436,1.109
whisper_mil_tsmil_concat,best_audio_mil_ensemble,-0.0075,1.777,-0.501,0.719
whisper_mil_tsmil_concat,metadata_stacker,-0.0328,-0.011,-0.392,-0.49
whisper_mil_tsmil_concat,wavlm_pseudo_frame,0.0335,-0.446,1.054,0.991
whisper_mil_tsmil_concat,audio_llm_qwen25_omni,0.0984,0.165,0.204,0.362
wavlm_mil,babar_enrollment,-0.0522,2.36,-2.24,-0.419
wavlm_mil,vtc_enrollment,-0.0371,2.372,-1.85,-0.311
wavlm_mil,vtc_kchi_enrollment,-0.0522,2.36,-2.24,-0.419
wavlm_mil,vbx_enrollment,0.0994,2.213,-1.406,0.243
wavlm_mil,pyannote_enrollment,0.1055,3.407,-2.026,0.457
wavlm_mil,usc_sail_enrollment,0.1242,2.076,-1.08,0.28
wavlm_mil,sortformer_enrollment,0.0895,3.046,-2.179,0.46
wavlm_mil,eend_eda_enrollment,0.2563,1.805,-0.866,0.577
wavlm_mil,best_audio_mil_ensemble,-0.105,1.92,-1.383,-0.2
wavlm_mil,metadata_stacker,-0.1303,-0.347,-0.848,-1.271
