system,objective,n_folds_completed,f1_mean,f1_std,f1_min,f1_max,balanced_acc_mean,balanced_acc_std,balanced_acc_min,balanced_acc_max,mcc_mean,mcc_std,mcc_min,mcc_max,auroc_mean,auroc_std,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_min,auprc_max,auprc_lift_mean,auprc_lift_std,auprc_lift_min,auprc_lift_max,delta_f1_vs_trivial_mean,delta_f1_vs_trivial_std,delta_f1_vs_trivial_min,delta_f1_vs_trivial_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,specificity_mean,specificity_std,specificity_min,specificity_max
babar_ecapa_enrollment_runs,f1,3,0.8774447727592515,0.018454734149584238,0.8571428571428573,0.8932038834951457,0.8101111319322915,0.02087129235653794,0.7895984518626028,0.8313234434850354,0.5832395044204812,0.04610478122657819,0.5418998703244753,0.6329597404251343,0.8383984679151482,0.010908840179418367,0.826860183841316,0.8485441147828345,0.9113841571366431,0.007763159034420983,0.9041089180573103,0.9195571719675298,0.1694485994025473,0.008836256938183691,0.15937617649241675,0.17589518641653556,0.025656339362341535,0.01803056995208516,0.012521343198634294,0.046213310616247893,0.9158397955297607,0.010458414898051473,0.9037656903765691,0.922077922077922,0.8422569303417068,0.025801502219139565,0.8150943396226416,0.8664383561643836,0.7779653335228763,0.016495132181326408,0.764102564102564,0.7962085308056872
babar_ecapa_enrollment_runs,balanced_acc,3,0.8633482953332926,0.005381154611198784,0.8571428571428573,0.8667271078875793,0.8008361617817292,0.011245871553407293,0.7895984518626028,0.8120901772382003,0.5558794166422913,0.020105744117437586,0.5418998703244753,0.5789212974533708,0.8383984679151482,0.010908840179418367,0.826860183841316,0.8485441147828345,0.9113841571366431,0.007763159034420983,0.9041089180573103,0.9195571719675298,0.1694485994025473,0.008836256938183691,0.15937617649241675,0.17589518641653556,0.011559861936382662,0.008697364353382678,0.002421707601832135,0.019736535008681555,0.9161210409256068,0.010778343016737624,0.9037656903765691,0.9235955056179775,0.8163545602612544,0.0018618886295295282,0.8150943396226416,0.8184931506849316,0.785317763302204,0.020805216782363675,0.764102564102564,0.8056872037914692
babar_ecapa_enrollment_runs,youden,3,0.8633482953332926,0.005381154611198784,0.8571428571428573,0.8667271078875793,0.8008361617817292,0.011245871553407293,0.7895984518626028,0.8120901772382003,0.5558794166422913,0.020105744117437586,0.5418998703244753,0.5789212974533708,0.8383984679151482,0.010908840179418367,0.826860183841316,0.8485441147828345,0.9113841571366431,0.007763159034420983,0.9041089180573103,0.9195571719675298,0.1694485994025473,0.008836256938183691,0.15937617649241675,0.17589518641653556,0.011559861936382662,0.008697364353382678,0.002421707601832135,0.019736535008681555,0.9161210409256068,0.010778343016737624,0.9037656903765691,0.9235955056179775,0.8163545602612544,0.0018618886295295282,0.8150943396226416,0.8184931506849316,0.785317763302204,0.020805216782363675,0.764102564102564,0.8056872037914692
eend_eda_ecapa_enrollment_runs,f1,3,0.851232562946698,0.010058073132251134,0.8443735035913806,0.8627787307032591,0.5012185501904639,0.002039492715986517,0.4990079365079365,0.5030270077257677,0.01445146284079044,0.03184624072907832,-0.021830028325015582,0.03778095563892389,0.5432481206779136,0.025597091394542852,0.5147798742138365,0.5643655785165219,0.7577126920471061,0.028829126734760156,0.7385106917267188,0.7908632343697442,0.01577713431301035,0.012936048228911113,0.007476208968098086,0.030682238894631064,-0.0005558704502119557,0.0003756860768958904,-0.0009744826643501847,-0.00024801035284238715,0.742423270084419,0.015204015162730693,0.7316735822959889,0.7598187311178247,0.9975681410095988,0.0008611650331044325,0.9965753424657534,0.9981132075471698,0.0048689593713290395,0.004744651374410138,0.0,0.009478672985781991
eend_eda_ecapa_enrollment_runs,balanced_acc,3,0.7974491054777934,0.025477998370252032,0.7745974955277282,0.8249211356466878,0.5504662021289969,0.03435514079233037,0.5110546686018385,0.5740865528601378,0.11359670478518948,0.07746716277825985,0.02504274996016465,0.16881941755669003,0.5432481206779136,0.025597091394542852,0.5147798742138365,0.5643655785165219,0.7577126920471061,0.028829126734760156,0.7385106917267188,0.7908632343697442,0.01577713431301035,0.012936048228911113,0.007476208968098086,0.030682238894631064,-0.054339327919116664,0.027950171969687295,-0.07092452810864514,-0.02206943723221,0.7656714802880217,0.0298166325538722,0.7363945578231292,0.796,0.8340705389878303,0.05496277734154495,0.7896825396825397,0.8955479452054794,0.2668618652701636,0.08093385278387291,0.20512820512820512,0.3584905660377358
eend_eda_ecapa_enrollment_runs,youden,3,0.7974491054777934,0.025477998370252032,0.7745974955277282,0.8249211356466878,0.5504662021289969,0.03435514079233037,0.5110546686018385,0.5740865528601378,0.11359670478518948,0.07746716277825985,0.02504274996016465,0.16881941755669003,0.5432481206779136,0.025597091394542852,0.5147798742138365,0.5643655785165219,0.7577126920471061,0.028829126734760156,0.7385106917267188,0.7908632343697442,0.01577713431301035,0.012936048228911113,0.007476208968098086,0.030682238894631064,-0.054339327919116664,0.027950171969687295,-0.07092452810864514,-0.02206943723221,0.7656714802880217,0.0298166325538722,0.7363945578231292,0.796,0.8340705389878303,0.05496277734154495,0.7896825396825397,0.8955479452054794,0.2668618652701636,0.08093385278387291,0.20512820512820512,0.3584905660377358
fused_attn_unfreeze2,f1,3,0.8918367516831749,0.0025274374206447586,0.8891069676153092,0.8940955951265229,0.761789935099135,0.03134091367572302,0.734779750697916,0.7961538461538462,0.5531408681346058,0.04081558596679956,0.5217810099162603,0.599289330638203,0.8229789927180077,0.05116549412750492,0.7891238719729922,0.8818384131591679,0.9013630595549308,0.03292624014006642,0.8732906843058209,0.93760495817162,0.1594275018208351,0.040925912518837634,0.13301254071223845,0.20657047541299933,0.040048318286264796,0.01289448494386804,0.025353754247699922,0.0494740811822999,0.8714233252936107,0.02210719250334123,0.8463901689708141,0.888268156424581,0.9141008914981518,0.02546140183625308,0.8988095238095238,0.9434931506849316,0.6094789787001179,0.08312220901166621,0.5260663507109005,0.6923076923076923
fused_attn_unfreeze2,balanced_acc,3,0.8841330870107643,0.009031853822369956,0.8773678963110667,0.8943894389438944,0.7854777113215038,0.039067544115012974,0.7602496266960982,0.8304789550072569,0.5664280413111388,0.047952426610535726,0.5196308189451867,0.6154576923084208,0.8229789927180077,0.05116549412750492,0.7891238719729922,0.8818384131591679,0.9013630595549308,0.03292624014006642,0.8732906843058209,0.93760495817162,0.1594275018208351,0.040925912518837634,0.13301254071223845,0.20657047541299933,0.03234465361385438,0.01525904349919546,0.016888712409722784,0.04739886606499666,0.8945854714734871,0.03377650429565879,0.8630573248407644,0.9302325581395349,0.8764342056859503,0.04916985740138878,0.8301886792452831,0.928082191780822,0.6945212169570572,0.12278962268367256,0.5924170616113744,0.8307692307692308
fused_attn_unfreeze2,youden,3,0.8841330870107643,0.009031853822369956,0.8773678963110667,0.8943894389438944,0.7854777113215038,0.039067544115012974,0.7602496266960982,0.8304789550072569,0.5664280413111388,0.047952426610535726,0.5196308189451867,0.6154576923084208,0.8229789927180077,0.05116549412750492,0.7891238719729922,0.8818384131591679,0.9013630595549308,0.03292624014006642,0.8732906843058209,0.93760495817162,0.1594275018208351,0.040925912518837634,0.13301254071223845,0.20657047541299933,0.03234465361385438,0.01525904349919546,0.016888712409722784,0.04739886606499666,0.8945854714734871,0.03377650429565879,0.8630573248407644,0.9302325581395349,0.8764342056859503,0.04916985740138878,0.8301886792452831,0.928082191780822,0.6945212169570572,0.12278962268367256,0.5924170616113744,0.8307692307692308
fused_attn_unfreeze2_whisper_large,f1,3,0.899235509510969,0.005047823303897704,0.8935779816513761,0.9032786885245901,0.7568368387752078,0.02505154691009333,0.7279312668463611,0.7722544750846638,0.5665919067820874,0.03577147304534477,0.5270955637948267,0.596810391155872,0.8584011619683078,0.04771198913444542,0.8039574262215772,0.8929267025904044,0.9308189207020874,0.041153165619030575,0.8833249714510908,0.9559174236754849,0.1888833629679917,0.0336931683932063,0.15229048869247008,0.21862317201113324,0.04744707611405893,0.009684360264078857,0.037096644989331296,0.05628811564569236,0.8651515059533929,0.005196792184144721,0.8594594594594595,0.8696428571428572,0.9362632155472683,0.015136092162822183,0.9188679245283019,0.9464285714285714,0.5774104620031473,0.06056770500069588,0.5094339622641509,0.6256410256410256
