stratum,system,threshold,f1,precision,recall,auroc,n,n_pos
multi_child,stratum_LR,0.33,0.885,0.841,0.935,0.815,94,62
multi_child,stratum_GBM,0.38,0.879,0.829,0.935,0.83,94,62
multi_child,metadata_stacker_global,0.51,0.868,0.797,0.952,0.863,94,62
multi_child,whisper_mil,0.57,0.863,0.779,0.968,0.849,94,62
multi_child,base::best3_mean,0.39,0.877,0.838,0.919,0.82,94,62
multi_child,base::best3_lr,0.68,0.887,0.831,0.952,0.816,94,62
multi_child,base::top4_enroll_mean,0.3,0.889,0.822,0.968,0.799,94,62
multi_child,base::top4_enroll_lr,0.68,0.882,0.811,0.968,0.81,94,62
multi_child,base::babar_mil_mean,0.42,0.853,0.821,0.887,0.8,94,62
multi_child,base::babar_mil_lr,0.68,0.848,0.841,0.855,0.793,94,62
single_child,stratum_LR,0.2,0.912,0.892,0.934,0.892,347,273
single_child,stratum_GBM,0.07,0.896,0.827,0.978,0.851,347,273
single_child,metadata_stacker_global,0.39,0.925,0.9,0.952,0.92,347,273
single_child,whisper_mil,0.36,0.909,0.883,0.938,0.873,347,273
single_child,base::best3_mean,0.26,0.915,0.901,0.93,0.892,347,273
single_child,base::best3_lr,0.56,0.916,0.91,0.923,0.881,347,273
single_child,base::top4_enroll_mean,0.22,0.906,0.893,0.919,0.862,347,273
single_child,base::top4_enroll_lr,0.61,0.911,0.918,0.905,0.867,347,273
single_child,base::babar_mil_mean,0.4,0.908,0.931,0.886,0.892,347,273
single_child,base::babar_mil_lr,0.64,0.909,0.921,0.897,0.883,347,273
