system,variant,bin,lo,hi,n,mean_pred,mean_label,gap
whisper_mil,raw,0.0,0.0,0.1,5.0,0.06890392303466794,0.0,0.06890392303466794
whisper_mil,raw,1.0,0.1,0.2,18.0,0.1514003682467672,0.2222222222222222,0.07082185397545501
whisper_mil,raw,2.0,0.2,0.30000000000000004,22.0,0.2480258040807464,0.4090909090909091,0.16106510501016272
whisper_mil,raw,3.0,0.30000000000000004,0.4,26.0,0.34577553891218626,0.34615384615384615,0.00037830724165988094
whisper_mil,raw,4.0,0.4,0.5,21.0,0.45393508956545875,0.47619047619047616,0.022255386625017415
whisper_mil,raw,5.0,0.5,0.6000000000000001,31.0,0.5557147187571372,0.5806451612903226,0.024930442533185437
whisper_mil,raw,6.0,0.6000000000000001,0.7000000000000001,32.0,0.6544780265539885,0.6875,0.03302197344601154
whisper_mil,raw,7.0,0.7000000000000001,0.8,58.0,0.7529937141928179,0.8275862068965517,0.0745924927037338
whisper_mil,raw,8.0,0.8,0.9,92.0,0.855102455486422,0.8913043478260869,0.036201892339664865
whisper_mil,raw,9.0,0.9,1.0,136.0,0.9416580191429924,0.9779411764705882,0.036283157327595794
whisper_mil,temp_scaled,0.0,0.0,0.1,17.0,0.06136697789082824,0.11764705882352941,0.05628008093270117
whisper_mil,temp_scaled,1.0,0.1,0.2,22.0,0.15368211574659177,0.3181818181818182,0.1644997024352264
whisper_mil,temp_scaled,2.0,0.2,0.30000000000000004,23.0,0.25863578580239366,0.391304347826087,0.13266856202369331
whisper_mil,temp_scaled,3.0,0.30000000000000004,0.4,16.0,0.3640658152124325,0.375,0.010934184787567525
whisper_mil,temp_scaled,4.0,0.4,0.5,14.0,0.4626488046251837,0.5714285714285714,0.10877976680338769
whisper_mil,temp_scaled,5.0,0.5,0.6000000000000001,20.0,0.5520605354759451,0.6,0.04793946452405484
whisper_mil,temp_scaled,6.0,0.6000000000000001,0.7000000000000001,25.0,0.6415441228441413,0.72,0.07845587715585867
whisper_mil,temp_scaled,7.0,0.7000000000000001,0.8,35.0,0.7577087875072928,0.6857142857142857,0.07199450179300704
whisper_mil,temp_scaled,8.0,0.8,0.9,66.0,0.8539595110267888,0.8636363636363636,0.009676852609574849
whisper_mil,temp_scaled,9.0,0.9,1.0,203.0,0.9604643709492136,0.9458128078817734,0.014651563067440199
whisper_mil_tsmil_concat,raw,0.0,0.0,0.1,6.0,0.04910179972648615,0.0,0.04910179972648615
whisper_mil_tsmil_concat,raw,1.0,0.1,0.2,18.0,0.1563209055198563,0.16666666666666666,0.01034576114681035
whisper_mil_tsmil_concat,raw,2.0,0.2,0.30000000000000004,14.0,0.2639675002012934,0.21428571428571427,0.04968178591557912
whisper_mil_tsmil_concat,raw,3.0,0.30000000000000004,0.4,18.0,0.3500553121169408,0.3888888888888889,0.0388335767719481
whisper_mil_tsmil_concat,raw,4.0,0.4,0.5,13.0,0.44171132949682385,0.5384615384615384,0.09675020896471459
whisper_mil_tsmil_concat,raw,5.0,0.5,0.6000000000000001,21.0,0.5619617388361976,0.5238095238095238,0.038152215026673764
whisper_mil_tsmil_concat,raw,6.0,0.6000000000000001,0.7000000000000001,21.0,0.6542683527583167,0.5714285714285714,0.08283978132974534
whisper_mil_tsmil_concat,raw,7.0,0.7000000000000001,0.8,37.0,0.7499742781793749,0.7297297297297297,0.020244548449645183
whisper_mil_tsmil_concat,raw,8.0,0.8,0.9,75.0,0.8513254642486572,0.8,0.05132546424865714
whisper_mil_tsmil_concat,raw,9.0,0.9,1.0,213.0,0.9567654261566664,0.9577464788732394,0.0009810527165730054
whisper_mil_tsmil_concat,temp_scaled,0.0,0.0,0.1,7.0,0.05346501629039773,0.0,0.05346501629039773
whisper_mil_tsmil_concat,temp_scaled,1.0,0.1,0.2,17.0,0.15490416112954677,0.17647058823529413,0.021566427105747354
whisper_mil_tsmil_concat,temp_scaled,2.0,0.2,0.30000000000000004,14.0,0.2596972506081049,0.21428571428571427,0.04541153632239062
whisper_mil_tsmil_concat,temp_scaled,3.0,0.30000000000000004,0.4,19.0,0.3497462024861638,0.42105263157894735,0.07130642909278356
whisper_mil_tsmil_concat,temp_scaled,4.0,0.4,0.5,12.0,0.44393244710035235,0.5,0.056067552899647655
whisper_mil_tsmil_concat,temp_scaled,5.0,0.5,0.6000000000000001,19.0,0.5593286749937894,0.5263157894736842,0.03301288552010517
whisper_mil_tsmil_concat,temp_scaled,6.0,0.6000000000000001,0.7000000000000001,23.0,0.6524753876538371,0.5652173913043478,0.08725799634948928
whisper_mil_tsmil_concat,temp_scaled,7.0,0.7000000000000001,0.8,36.0,0.7529872187018739,0.7222222222222222,0.030764996479651696
whisper_mil_tsmil_concat,temp_scaled,8.0,0.8,0.9,73.0,0.8534144438868996,0.7945205479452054,0.05889389594169414
whisper_mil_tsmil_concat,temp_scaled,9.0,0.9,1.0,216.0,0.9584872554924634,0.9583333333333334,0.0001539221591300155
wavlm_mil,raw,0.0,0.0,0.1,0.0,,,
wavlm_mil,raw,1.0,0.1,0.2,4.0,0.1707183457911014,0.5,0.3292816542088986
wavlm_mil,raw,2.0,0.2,0.30000000000000004,8.0,0.2429637890309095,0.125,0.11796378903090951
wavlm_mil,raw,3.0,0.30000000000000004,0.4,8.0,0.3436373583972454,0.0,0.3436373583972454
wavlm_mil,raw,4.0,0.4,0.5,17.0,0.45905136536149416,0.35294117647058826,0.1061101888909059
wavlm_mil,raw,5.0,0.5,0.6000000000000001,23.0,0.5578210613001948,0.34782608695652173,0.2099949743436731
wavlm_mil,raw,6.0,0.6000000000000001,0.7000000000000001,56.0,0.6552610631499972,0.6428571428571429,0.012403920292854309
wavlm_mil,raw,7.0,0.7000000000000001,0.8,97.0,0.7542765429339457,0.8144329896907216,0.060156446756775894
wavlm_mil,raw,8.0,0.8,0.9,142.0,0.8508615376244129,0.8873239436619719,0.036462406037559014
wavlm_mil,raw,9.0,0.9,1.0,86.0,0.9261899347915206,0.8953488372093024,0.030841097582218202
wavlm_mil,temp_scaled,0.0,0.0,0.1,0.0,,,
wavlm_mil,temp_scaled,1.0,0.1,0.2,3.0,0.18355826526309435,0.6666666666666666,0.48310840140357225
wavlm_mil,temp_scaled,2.0,0.2,0.30000000000000004,8.0,0.24880972651171826,0.125,0.12380972651171826
wavlm_mil,temp_scaled,3.0,0.30000000000000004,0.4,9.0,0.3507506219213536,0.0,0.3507506219213536
wavlm_mil,temp_scaled,4.0,0.4,0.5,17.0,0.4624913939062745,0.35294117647058826,0.10955021743568621
wavlm_mil,temp_scaled,5.0,0.5,0.6000000000000001,25.0,0.5564515468169544,0.36,0.19645154681695443
wavlm_mil,temp_scaled,6.0,0.6000000000000001,0.7000000000000001,64.0,0.6520616102965997,0.65625,0.004188389703400297
wavlm_mil,temp_scaled,7.0,0.7000000000000001,0.8,112.0,0.7530580751839663,0.8303571428571429,0.07729906767317662
wavlm_mil,temp_scaled,8.0,0.8,0.9,147.0,0.8500203315028281,0.9047619047619048,0.05474157325907669
wavlm_mil,temp_scaled,9.0,0.9,1.0,56.0,0.9208026063505842,0.875,0.045802606350584196
babar_enrollment,raw,0.0,0.0,0.1,135.0,0.0013878161892694452,0.4148148148148148,0.4134269986255454
babar_enrollment,raw,1.0,0.1,0.2,14.0,0.16944445842615305,0.7142857142857143,0.5448412558595612
babar_enrollment,raw,2.0,0.2,0.30000000000000004,26.0,0.2543898354843941,0.8846153846153846,0.6302255491309905
babar_enrollment,raw,3.0,0.30000000000000004,0.4,85.0,0.3572281323242866,0.9058823529411765,0.5486542206168898
babar_enrollment,raw,4.0,0.4,0.5,102.0,0.45011268171456864,0.9117647058823529,0.4616520241677843
babar_enrollment,raw,5.0,0.5,0.6000000000000001,62.0,0.5368930405703473,0.9516129032258065,0.41471986265545924
babar_enrollment,raw,6.0,0.6000000000000001,0.7000000000000001,12.0,0.6252955948987639,1.0,0.37470440510123615
babar_enrollment,raw,7.0,0.7000000000000001,0.8,5.0,0.734470294045766,1.0,0.265529705954234
babar_enrollment,raw,8.0,0.8,0.9,0.0,,,
babar_enrollment,raw,9.0,0.9,1.0,0.0,,,
babar_enrollment,temp_scaled,0.0,0.0,0.1,0.0,,,
babar_enrollment,temp_scaled,1.0,0.1,0.2,0.0,,,
babar_enrollment,temp_scaled,2.0,0.2,0.30000000000000004,0.0,,,
babar_enrollment,temp_scaled,3.0,0.30000000000000004,0.4,132.0,0.3338605329601784,0.4015151515151515,0.06765461855497307
babar_enrollment,temp_scaled,4.0,0.4,0.5,230.0,0.49294407556399916,0.8956521739130435,0.40270809834904436
babar_enrollment,temp_scaled,5.0,0.5,0.6000000000000001,79.0,0.5032356595895261,0.9620253164556962,0.4587896568661701
babar_enrollment,temp_scaled,6.0,0.6000000000000001,0.7000000000000001,0.0,,,
babar_enrollment,temp_scaled,7.0,0.7000000000000001,0.8,0.0,,,
babar_enrollment,temp_scaled,8.0,0.8,0.9,0.0,,,
babar_enrollment,temp_scaled,9.0,0.9,1.0,0.0,,,
vtc_enrollment,raw,0.0,0.0,0.1,92.0,0.0027803445673483685,0.34782608695652173,0.34504574238917335
vtc_enrollment,raw,1.0,0.1,0.2,12.0,0.17508542748692882,0.4166666666666667,0.24158123917973787
vtc_enrollment,raw,2.0,0.2,0.30000000000000004,23.0,0.2566153671081179,0.6956521739130435,0.4390368068049256
vtc_enrollment,raw,3.0,0.30000000000000004,0.4,94.0,0.35626425764920555,0.8404255319148937,0.4841612742656881
vtc_enrollment,raw,4.0,0.4,0.5,121.0,0.44947853869209375,0.9173553719008265,0.46787683320873275
vtc_enrollment,raw,5.0,0.5,0.6000000000000001,79.0,0.5374587982402536,0.9113924050632911,0.37393360682303756
vtc_enrollment,raw,6.0,0.6000000000000001,0.7000000000000001,14.0,0.6247314523220958,1.0,0.3752685476779042
vtc_enrollment,raw,7.0,0.7000000000000001,0.8,6.0,0.7256144227316458,1.0,0.2743855772683542
vtc_enrollment,raw,8.0,0.8,0.9,0.0,,,
vtc_enrollment,raw,9.0,0.9,1.0,0.0,,,
vtc_enrollment,temp_scaled,0.0,0.0,0.1,0.0,,,
vtc_enrollment,temp_scaled,1.0,0.1,0.2,0.0,,,
vtc_enrollment,temp_scaled,2.0,0.2,0.30000000000000004,89.0,0.25870396443825106,0.33707865168539325,0.0783746872471422
vtc_enrollment,temp_scaled,3.0,0.30000000000000004,0.4,0.0,,,
vtc_enrollment,temp_scaled,4.0,0.4,0.5,253.0,0.490149531065116,0.841897233201581,0.35174770213646506
