system,dataset,n_files,agg_micro_f1,agg_macro_f1,agg_macro_auroc,agg_macro_auprc,agg_miss_rate,agg_false_alarm_rate,agg_binary_der,per_file_auroc_mean,per_file_auroc_std,per_file_auroc_p25,per_file_auroc_p50,per_file_auroc_p75,per_file_f1_mean,per_file_f1_std,files_with_auroc_above_07,files_with_auroc_above_08
usc_sail,playlogue,156,0.4929,0.5762,0.7451,0.555,0.3521,0.1726,0.5248,0.745,0.244,0.51,0.602,0.993,0.576,0.409,77,76
sortformer,playlogue,156,0.5646,0.4418,0.6828,0.4464,0.5791,0.0123,0.5914,0.683,0.166,0.501,0.668,0.854,0.442,0.366,74,62
vtc,playlogue,156,0.4342,0.4758,0.6799,0.4138,0.4395,0.1798,0.6193,0.68,0.182,0.507,0.596,0.87,0.476,0.326,74,69
vtc_kchi,playlogue,156,0.4431,0.4663,0.6784,0.4117,0.4553,0.1609,0.6162,0.678,0.181,0.508,0.602,0.87,0.466,0.329,73,68
pyannote,playlogue,156,0.4816,0.3153,0.6322,0.3588,0.6491,0.0187,0.6678,0.632,0.158,0.5,0.5,0.802,0.315,0.368,64,40
pseudo_frame_baseline,playlogue,156,0.2802,0.2455,0.5539,0.2565,0.7844,0.0569,0.8413,0.554,0.057,0.5,0.537,0.601,0.245,0.176,1,0
pseudo_frame_synth,playlogue,156,0.1994,0.1713,0.5327,0.2416,0.8696,0.0313,0.9009,0.533,0.039,0.5,0.523,0.56,0.171,0.141,0,0
eend_eda,playlogue,156,0.1026,0.0724,0.5176,0.2326,0.9435,0.0078,0.9513,0.518,0.04,0.5,0.5,0.516,0.072,0.126,2,0
usc_sail_synth,playlogue,156,0.0308,0.0283,0.5064,0.2242,0.9841,0.0034,0.9875,0.506,0.011,0.5,0.502,0.509,0.028,0.039,0,0
vbx,playlogue,156,0.0568,0.0128,0.5024,0.2168,0.9699,0.0051,0.975,0.502,0.019,0.5,0.5,0.5,0.013,0.091,1,0
babar,playlogue,156,0.0401,0.0348,0.5003,0.2161,0.9776,0.0168,0.9944,0.5,0.006,0.497,0.5,0.504,0.035,0.03,0,0
pseudo_frame_c1distill,playlogue,156,0.1613,0.1396,0.4949,0.2141,0.8679,0.0891,0.957,0.495,0.021,0.484,0.5,0.504,0.14,0.086,0,0
vtc,providence,155,0.5983,0.5755,0.705,0.6331,0.552,0.0388,0.5908,0.705,0.049,0.672,0.703,0.744,0.575,0.119,82,3
babar,providence,155,0.585,0.564,0.6999,0.6304,0.5681,0.0348,0.6029,0.7,0.049,0.668,0.694,0.74,0.564,0.118,71,2
vtc_kchi,providence,155,0.585,0.5639,0.6999,0.6304,0.5681,0.0349,0.603,0.7,0.049,0.669,0.694,0.74,0.564,0.118,71,2
usc_sail,providence,155,0.5642,0.5376,0.6651,0.5673,0.5408,0.1315,0.6724,0.665,0.05,0.626,0.67,0.709,0.538,0.131,47,0
sortformer,providence,155,0.4914,0.4387,0.6292,0.5586,0.6575,0.0402,0.6977,0.629,0.055,0.59,0.642,0.675,0.439,0.162,7,0
pyannote,providence,155,0.4596,0.3811,0.5939,0.514,0.6711,0.08,0.7511,0.594,0.061,0.548,0.602,0.644,0.381,0.206,3,0
eend_eda,providence,155,0.4892,0.4211,0.5821,0.498,0.62,0.1356,0.7556,0.582,0.036,0.565,0.585,0.604,0.421,0.171,1,0
pseudo_frame_baseline,providence,155,0.3595,0.3398,0.5559,0.4741,0.7404,0.1441,0.8845,0.556,0.026,0.537,0.553,0.573,0.34,0.097,0,0
pseudo_frame_synth,providence,155,0.2589,0.242,0.5417,0.467,0.8372,0.0744,0.9115,0.542,0.022,0.525,0.537,0.558,0.242,0.092,0,0
vbx,providence,155,0.5286,0.3054,0.5152,0.4479,0.5258,0.2499,0.7757,0.515,0.034,0.5,0.5,0.525,0.305,0.343,0,0
usc_sail_synth,providence,155,0.0378,0.0395,0.5095,0.4497,0.9807,0.0016,0.9823,0.51,0.005,0.506,0.509,0.513,0.04,0.019,0,0
pseudo_frame_c1distill,providence,155,0.2754,0.2649,0.5045,0.4423,0.7974,0.2101,1.0075,0.505,0.018,0.494,0.504,0.514,0.265,0.078,0,0
babar,synth_holdout,200,0.3314,0.1476,0.6124,0.1166,0.7305,0.0154,0.7459,0.612,0.111,0.5,0.61,0.693,0.148,0.231,20,8
vtc,synth_holdout,200,0.215,0.1187,0.5858,0.0938,0.7656,0.0409,0.8065,0.586,0.115,0.5,0.565,0.661,0.119,0.207,19,5
vtc_kchi,synth_holdout,200,0.2148,0.1151,0.5815,0.0929,0.7793,0.0361,0.8154,0.581,0.113,0.5,0.561,0.657,0.115,0.206,17,5
sortformer,synth_holdout,200,0.0684,0.0257,0.5194,0.0551,0.964,0.0007,0.9647,0.519,0.061,0.5,0.5,0.5,0.026,0.107,2,1
joint_asr_diar,synth_holdout,200,0.0747,0.0683,0.5048,0.0526,0.8123,0.1662,0.9784,0.505,0.063,0.5,0.5,0.5,0.068,0.162,6,1
pyannote,synth_holdout,200,0.0015,0.0008,0.5004,0.0417,0.9992,0.0,0.9993,0.5,0.003,0.5,0.5,0.5,0.001,0.009,0,0
eend_eda,synth_holdout,200,0.0,0.0,0.5,0.0415,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,0
vbx,synth_holdout,200,0.0,0.0,0.5,0.0415,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,0
