k,model,split,f1,bal_acc,auroc,auprc,threshold,systems
1,Fused-small-frozen,val,0.9333,0.9375,0.9018,0.8022,0.28,Fused-small-frozen
1,Fused-small-frozen,test,0.6165,0.5167,0.7,0.8861,0.28,Fused-small-frozen
2,LR-stack(top-2),val,0.9333,0.9375,0.9821,0.9821,0.38,"Fused-small-frozen,USC-SAIL"
2,LR-stack(top-2),test,0.6165,0.5167,0.7,0.8905,0.38,"Fused-small-frozen,USC-SAIL"
3,LR-stack(top-3),val,0.9333,0.9375,0.9821,0.9821,0.38,"Fused-small-frozen,USC-SAIL,whisper_attn"
3,LR-stack(top-3),test,0.6165,0.5167,0.7167,0.8909,0.38,"Fused-small-frozen,USC-SAIL,whisper_attn"
5,LR-stack(top-5),val,0.9333,0.9375,0.9821,0.9821,0.37,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn"
5,LR-stack(top-5),test,0.6592,0.5583,0.75,0.8998,0.37,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn"
7,LR-stack(top-7),val,0.9333,0.9375,0.9107,0.8736,0.34,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated"
7,LR-stack(top-7),test,0.7031,0.6,0.8,0.9255,0.34,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated"
10,LR-stack(top-10),val,0.9333,0.9375,0.9107,0.8736,0.33,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS"
10,LR-stack(top-10),test,0.7031,0.6,0.8167,0.9347,0.33,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS"
13,LR-stack(top-13),val,0.9333,0.9375,0.9464,0.9379,0.34,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL"
13,LR-stack(top-13),test,0.7031,0.6,0.8167,0.9347,0.34,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL"
15,LR-stack(top-15),val,0.9333,0.9375,0.9643,0.9617,0.35,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL,Whisper-MIL,Qwen2.5-Omni-7B"
15,LR-stack(top-15),test,0.7031,0.6,0.8167,0.9347,0.35,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL,Whisper-MIL,Qwen2.5-Omni-7B"
26,LR-stack(top-26),val,0.9333,0.9375,0.9643,0.9617,0.35,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL,Whisper-MIL,Qwen2.5-Omni-7B,Whisper-MIL-ACMIL,VTC-KCHI+OCH,Joint-ASR-diar,Whisper-pseudo-frame,Pyannote,EEND-EDA,whisper_attn_lw,WavLM-pseudo-frame,VBx,Sortformer,WavLM-MIL"
26,LR-stack(top-26),test,0.7031,0.6,0.8333,0.9391,0.35,"Fused-small-frozen,USC-SAIL,whisper_attn,Fused-small-PU2,wavlm_attn,AV-always-fuse,AV-gated,BabAR,VTC-KCHI,Whisper-MIL-TS,wavlm_stats_lw,AV-audio-only,Whisper-medium-MIL,Whisper-MIL,Qwen2.5-Omni-7B,Whisper-MIL-ACMIL,VTC-KCHI+OCH,Joint-ASR-diar,Whisper-pseudo-frame,Pyannote,EEND-EDA,whisper_attn_lw,WavLM-pseudo-frame,VBx,Sortformer,WavLM-MIL"
