system,objective,fold,f1,balanced_acc,mcc,auroc,auprc,auprc_lift,delta_f1_vs_trivial,precision,recall,specificity
babar_ecapa_enrollment_runs,f1,0,0.8932038834951457,0.8313234434850354,0.6329597404251343,0.8485441147828345,0.910486381385089,0.17589518641653556,0.046213310616247893,0.9216757741347905,0.8664383561643836,0.7962085308056872
babar_ecapa_enrollment_runs,f1,1,0.8571428571428573,0.7895984518626028,0.5418998703244753,0.826860183841316,0.9041089180573103,0.1730744352986896,0.012521343198634294,0.9037656903765691,0.8150943396226416,0.764102564102564
babar_ecapa_enrollment_runs,f1,2,0.8819875776397517,0.8094115004492364,0.574858902511834,0.839791105121294,0.9195571719675298,0.15937617649241675,0.018234364272142423,0.922077922077922,0.8452380952380952,0.7735849056603774
babar_ecapa_enrollment_runs,balanced_acc,0,0.8667271078875793,0.8120901772382003,0.5789212974533708,0.8485441147828345,0.910486381385089,0.17589518641653556,0.019736535008681555,0.9210019267822736,0.8184931506849316,0.8056872037914692
babar_ecapa_enrollment_runs,balanced_acc,1,0.8571428571428573,0.7895984518626028,0.5418998703244753,0.826860183841316,0.9041089180573103,0.1730744352986896,0.012521343198634294,0.9037656903765691,0.8150943396226416,0.764102564102564
babar_ecapa_enrollment_runs,balanced_acc,2,0.8661749209694414,0.8008198562443846,0.5468170821490278,0.839791105121294,0.9195571719675298,0.15937617649241675,0.002421707601832135,0.9235955056179775,0.8154761904761905,0.7861635220125787
babar_ecapa_enrollment_runs,youden,0,0.8667271078875793,0.8120901772382003,0.5789212974533708,0.8485441147828345,0.910486381385089,0.17589518641653556,0.019736535008681555,0.9210019267822736,0.8184931506849316,0.8056872037914692
babar_ecapa_enrollment_runs,youden,1,0.8571428571428573,0.7895984518626028,0.5418998703244753,0.826860183841316,0.9041089180573103,0.1730744352986896,0.012521343198634294,0.9037656903765691,0.8150943396226416,0.764102564102564
babar_ecapa_enrollment_runs,youden,2,0.8661749209694414,0.8008198562443846,0.5468170821490278,0.839791105121294,0.9195571719675298,0.15937617649241675,0.002421707601832135,0.9235955056179775,0.8154761904761905,0.7861635220125787
eend_eda_ecapa_enrollment_runs,f1,0,0.8465454545454545,0.5030270077257677,0.03778095563892389,0.5505989093033825,0.7437641500448553,0.009172955076301892,-0.0004451183334432951,0.7357774968394437,0.9965753424657534,0.009478672985781991
eend_eda_ecapa_enrollment_runs,f1,1,0.8443735035913806,0.5016207063376875,0.02740346120846302,0.5147798742138365,0.7385106917267188,0.007476208968098086,-0.00024801035284238715,0.7316735822959889,0.9981132075471698,0.005128205128205128
eend_eda_ecapa_enrollment_runs,f1,2,0.8627787307032591,0.4990079365079365,-0.021830028325015582,0.5643655785165219,0.7908632343697442,0.030682238894631064,-0.0009744826643501847,0.7598187311178247,0.998015873015873,0.0
eend_eda_ecapa_enrollment_runs,balanced_acc,0,0.8249211356466878,0.5662573849250145,0.16881941755669003,0.5505989093033825,0.7437641500448553,0.009172955076301892,-0.02206943723221,0.7646198830409356,0.8955479452054794,0.23696682464454977
eend_eda_ecapa_enrollment_runs,balanced_acc,1,0.7745974955277282,0.5110546686018385,0.02504274996016465,0.5147798742138365,0.7385106917267188,0.007476208968098086,-0.07002401841649486,0.7363945578231292,0.8169811320754717,0.20512820512820512
eend_eda_ecapa_enrollment_runs,balanced_acc,2,0.7928286852589641,0.5740865528601378,0.14692794683871377,0.5643655785165219,0.7908632343697442,0.030682238894631064,-0.07092452810864514,0.796,0.7896825396825397,0.3584905660377358
eend_eda_ecapa_enrollment_runs,youden,0,0.8249211356466878,0.5662573849250145,0.16881941755669003,0.5505989093033825,0.7437641500448553,0.009172955076301892,-0.02206943723221,0.7646198830409356,0.8955479452054794,0.23696682464454977
eend_eda_ecapa_enrollment_runs,youden,1,0.7745974955277282,0.5110546686018385,0.02504274996016465,0.5147798742138365,0.7385106917267188,0.007476208968098086,-0.07002401841649486,0.7363945578231292,0.8169811320754717,0.20512820512820512
