system,n_clips,n_children,threshold,f1_point,f1_ci_lo,f1_ci_hi,balanced_accuracy_point,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,auroc_point,auroc_ci_lo,auroc_ci_hi,auprc_point,auprc_ci_lo,auprc_ci_hi
whisper_medium_mil,3145,130,0.5,0.8950343157044812,0.8782142627945401,0.9100517010648157,0.726057821427631,0.7016046684517936,0.7502748018437725,0.8689338845151268,0.8457207278910003,0.8889329018451997,0.9382014560202169,0.9169266074204717,0.9550346658141247
whisper_mil,3145,130,0.5,0.8851269649334945,0.8673395925307242,0.9007859005243776,0.7037599726164459,0.6763483500896208,0.7306425041860404,0.8480186418810396,0.8241178134025169,0.8700720935784491,0.9283189402742291,0.9087620993683534,0.9460012364621508
whisper_mil_acmil_max,3145,130,0.5,0.8828078524687686,0.8643683677861556,0.8990294770145405,0.6789093972985071,0.6528632955193315,0.706029880286089,0.8429242476105216,0.8142667320404929,0.8681525203968753,0.9274921825472566,0.9049079253686492,0.9456549364113038
whisper_mil_tsmil_concat,2688,109,0.5,0.8794906775807185,0.85951787224079,0.8964768418380568,0.6462766947930321,0.6207617151503337,0.6730768853858414,0.8440501966168035,0.8214025901876667,0.8642655238262028,0.9370384372697961,0.9187967538154137,0.9515894665512481
qwen25_omni_7b,635,130,0.5,0.8786127167630058,0.854349897998215,0.902327828333895,0.6460903960903961,0.6101247349653194,0.6873532779320974,0.7725180225180224,0.7297021777449567,0.8181713948700665,0.8983939797318775,0.862833533230878,0.9313159829084406
wavlm_mil,3145,130,0.5,0.8567593480345158,0.8361246625223746,0.8757299633952399,0.5800126385634167,0.5591971731217955,0.6020358272003453,0.7225424576739777,0.6909803391505895,0.7514315357955608,0.8692549373282523,0.8426412555264694,0.8921259367693134
qwen3_omni_30b_thinking,635,130,0.5,0.8695652173913043,0.8433425259179816,0.8932246982358403,0.5664875664875665,0.53492931109861,0.603724681319764,0.7856602856602857,0.7392008592494403,0.8347268418815713,0.9076122736954761,0.8710783801749393,0.9406071300382096
ast,635,130,0.5,0.2517985611510791,0.20033678756476683,0.3036111735878583,0.5565313065313066,0.5343231523378582,0.5774125803220966,0.6904446904446904,0.643605598329425,0.736451721868071,0.8687413725722994,0.8304535594552644,0.9029365534925442
whisper_pseudo_frame,2182,109,0.55,0.8635634028892456,0.8364503418721574,0.8861893541212589,0.5501823457731724,0.5366044699167332,0.5629971772036817,0.8814100456741095,0.8582484006112845,0.9009703379859382,0.9466521769419405,0.9266293920972972,0.9622160320450037
qwen2_audio_7b,635,130,0.5,0.8597285067873304,0.8317389827507241,0.8850499839687133,0.50999675999676,0.4968078541230085,0.5251215091118724,0.7578772578772577,0.7157975938789892,0.8008222461986915,0.89625079571809,0.8623095363528482,0.9273210124129826
wavlm_pseudo_frame,2182,109,0.15,0.8522517777192521,0.8246702594352797,0.8757954169375466,0.5026595744680851,0.5,0.5059034469605718,0.8071819468917936,0.7797265282762157,0.8326588969028678,0.913230491630064,0.8895813789252206,0.9326211543938614
yamnet,635,130,0.5,0.004149377593360996,0.0,0.01327507211113945,0.501039501039501,0.5,0.5033409436644926,0.765963765963766,0.7217816698890088,0.8088485357739031,0.8992471383505616,0.8626538576221418,0.9288715113462733
