system_name,split,n_clips,pos_rate,threshold_source,tuned_threshold,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,trivial_f1,trivial_f1_macro,trivial_balanced_accuracy,predictions_path,metrics_json_path,status,regenerated_at
babar_ecapa_child_enrollment_runs,seen_child_test,441,0.7596,default-0.5,0.5,0.006,0.1971,0.0978,0.5015,1.0,0.003,0.8167,0.9095,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_child_enrollment_runs/enroll_test_predictions.csv,,OK,2026-05-13T02:26:58+00:00
babar_ecapa_enrollment_runs,seen_child_test,441,0.7596,default-0.5,0.5,0.3671,0.4037,0.3847,0.5993,0.962,0.2269,0.826,0.9228,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs/enroll_test_predictions.csv,,OK,2026-05-13T02:26:57+00:00
babar_ecapa_enrollment_runs_kfold3_f0,seen_child_test,795,0.7346,default-0.5,0.5,0.3206,0.3897,0.3572,0.5778,0.9339,0.1935,0.8485,0.9105,0.847,0.4235,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f0/enroll_test_predictions.csv,,OK,2026-05-13T02:26:58+00:00
babar_ecapa_enrollment_runs_kfold3_f1,seen_child_test,725,0.731,default-0.5,0.5,0.3359,0.4034,0.3722,0.5891,0.9558,0.2038,0.8269,0.9041,0.8446,0.4223,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f1/enroll_test_predictions.csv,,OK,2026-05-13T02:26:58+00:00
babar_ecapa_enrollment_runs_kfold3_f2,seen_child_test,663,0.7602,default-0.5,0.5,0.3005,0.3621,0.33,0.5736,0.9474,0.1786,0.8398,0.9196,0.8638,0.4319,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/babar_ecapa_enrollment_runs_kfold3_f2/enroll_test_predictions.csv,,OK,2026-05-13T02:26:58+00:00
baseline_results_seen_child/fused_attn,seen_child_test,441,0.7596,val-tuned,0.5,0.8857,0.736,0.8137,0.7209,0.8596,0.9134,0.8695,0.9525,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2,seen_child_test,441,0.7596,val-tuned,0.2799999999999999,0.9025,0.7794,0.8433,0.7646,0.8807,0.9254,0.8853,0.9536,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f0,seen_child_test,795,0.7346,val-tuned,0.5,0.891,0.7467,0.8144,0.7201,0.8373,0.9521,0.7891,0.8733,0.847,0.4235,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f0/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f0/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f1,seen_child_test,725,0.731,val-tuned,0.5,0.8942,0.7832,0.8345,0.7674,0.8657,0.9245,0.8818,0.9376,0.8446,0.4223,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f1/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f1/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f2,seen_child_test,663,0.7602,val-tuned,0.05,0.8913,0.7637,0.8301,0.7564,0.8801,0.9028,0.798,0.8932,0.8638,0.4319,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_kfold3_f2/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large,seen_child_test,441,0.7596,val-tuned,0.05,0.896,0.7696,0.8353,0.7586,0.8793,0.9134,0.9065,0.9686,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0,seen_child_test,795,0.7346,val-tuned,0.935,0.9043,0.7928,0.8451,0.7697,0.8654,0.9469,0.8929,0.9532,0.847,0.4235,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1,seen_child_test,725,0.731,val-tuned,0.5,0.8936,0.7857,0.8355,0.7723,0.8696,0.9189,0.804,0.8833,0.8446,0.4223,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2,seen_child_test,663,0.7602,val-tuned,0.7449999999999999,0.9008,0.7538,0.8303,0.7279,0.8595,0.9464,0.8783,0.9559,0.8638,0.4319,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium,seen_child_test,441,0.7596,val-tuned,0.06,0.9146,0.8029,0.8609,0.783,0.8876,0.9433,0.8919,0.9533,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0,seen_child_test,795,0.7346,val-tuned,0.065,0.9004,0.7996,0.8469,0.7876,0.8805,0.9212,0.8488,0.9112,0.847,0.4235,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1,seen_child_test,725,0.731,val-tuned,0.1599999999999999,0.9033,0.8179,0.8573,0.8153,0.8991,0.9075,0.9001,0.9476,0.8446,0.4223,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2,seen_child_test,663,0.7602,val-tuned,0.055,0.9075,0.7871,0.8498,0.7691,0.882,0.9345,0.8332,0.9128,0.8638,0.4319,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/wavlm_attn,seen_child_test,441,0.7596,val-tuned,0.4049999999999999,0.8762,0.6651,0.7747,0.6447,0.8203,0.9403,0.7917,0.9127,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/wavlm_attn_lw,seen_child_test,441,0.7596,val-tuned,0.4499999999999999,0.8686,0.6815,0.7787,0.666,0.8329,0.9075,0.8032,0.9256,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_attn_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/wavlm_mean,seen_child_test,441,0.7596,val-tuned,0.5299999999999999,0.8643,0.6259,0.7497,0.6119,0.8062,0.9313,0.778,0.9126,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_mean/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_mean/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/wavlm_stats_lw,seen_child_test,441,0.7596,val-tuned,0.4049999999999999,0.8757,0.6139,0.7498,0.6015,0.8,0.9672,0.7839,0.9068,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_stats_lw/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/wavlm_stats_lw/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_attn,seen_child_test,441,0.7596,val-tuned,0.4799999999999999,0.8915,0.7494,0.8232,0.7333,0.8652,0.9194,0.8642,0.9527,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_attn_aug,seen_child_test,441,0.7596,val-tuned,0.4299999999999999,0.8776,0.7245,0.804,0.7134,0.8575,0.8985,0.859,0.9499,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
baseline_results_seen_child/whisper_attn_aug_ptt,seen_child_test,441,0.7596,val-tuned,0.4349999999999999,0.8797,0.7116,0.7989,0.6941,0.8457,0.9164,0.8559,0.9512,0.8634,0.4317,0.5,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug_ptt/test_predictions.csv,/orcd/scratch/orcd/008/manaal/child-adult-diarization/baseline_results_seen_child/whisper_attn_aug_ptt/test_metrics_tuned.json,OK,2026-05-13T02:26:57+00:00
