system_name,combined_f1,combined_balanced_accuracy,combined_auroc,14m_auroc,14m_balanced_accuracy,14m_f1_weighted,36m_auroc,36m_balanced_accuracy,36m_f1_weighted,delta_36m_minus_14m_auroc,flagged_large_delta,n_14m,n_36m
baseline_results_seen_child/fused_attn_unfreeze2_whisper_large,0.896,0.7586,0.9065,0.899321857068336,0.7736915319074944,0.8234683771164458,0.9152766308835674,0.7423616845582164,0.8557692307692307,0.01595477381523136,False,233.0,208
ensemble_runs/metadata_stack_av,0.8977,0.8162,0.9052,0.8968005564249695,0.8189445313858459,0.82418743857327,0.9017341040462428,0.7796036333608588,0.8791099213195442,0.004933547621273293,False,233.0,208
ensemble_runs/metadata_stack,0.9053,0.8125,0.9044,0.8975830290384281,0.8070770300817249,0.8228016701221083,0.9000825763831545,0.7911643270024773,0.8958744247205787,0.0024995473447263494,False,233.0,208
ensemble_runs/metadata_stack_av_11sys_backup,0.8974,0.8194,0.9044,0.8951486697965572,0.8229003651538862,0.8245802827568797,0.9018992568125516,0.7796036333608588,0.8791099213195442,0.006750587015994403,False,233.0,208
ensemble_runs/advanced_av/av_per_track_added,0.8977,0.8162,0.902,0.8959311424100156,0.8119022778647191,0.8197873425193141,0.8949628406275805,0.7938893476465732,0.8846153846153846,-0.0009683017824351214,False,233.0,208
ensemble_runs/advanced_av/av_pure_visual,0.8943,0.8132,0.9019,0.8967136150234741,0.8158581116327595,0.8202068171349203,0.8938067712634186,0.7767134599504542,0.875,-0.0029068437600555663,False,233.0,208
pseudo_frame/results/whisper_pseudo_frame_kfold3_f2,0.8949,0.6567,0.9018,0.8796682055324101,0.6608490034905979,0.7531294067469044,0.9285067873303168,0.6460030165912518,0.8445990974567726,0.04883858179790668,False,356.0,307
ensemble_runs/advanced_av/av_eligibility_only,0.9036,0.811,0.9005,0.8972352634324464,0.8172057033559381,0.8312396858305794,0.8893476465730801,0.7710982658959538,0.8817782217782218,-0.007887616859366342,False,233.0,208
ensemble_runs/advanced_av/audio_per_child,0.9041,0.7661,0.9002,0.8974960876369327,0.7714745261693619,0.8165334452922831,0.8891824938067714,0.7369116432700247,0.8766205704407951,-0.008313593830161281,False,233.0,208
ensemble_runs/advanced/per_child_offset,0.9041,0.7661,0.9002,0.8974960876369327,0.7714745261693619,0.8165334452922831,0.8891824938067714,0.7369116432700247,0.8766205704407951,-0.008313593830161281,False,233.0,208
ensemble_runs/metadata_stack_11sys_backup,0.9015,0.7951,0.9001,0.8926273691531909,0.7850808555033908,0.8125654065494738,0.8943022295623451,0.7882741535920726,0.8916300366300367,0.0016748604091542107,False,233.0,208
baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1,0.9033,0.8153,0.9001,0.8934895507445877,0.8151357777499687,0.845097866854196,0.9118278470660396,0.820103250868943,0.8748148761666626,0.018338296321451897,False,384.0,341
ensemble_runs/advanced/fp_focused,0.9009,0.8015,0.8995,0.8968005564249695,0.8039906103286385,0.8188418908998877,0.8893476465730802,0.7625928984310487,0.8843762862884675,-0.007452909851889289,False,233.0,208
ensemble_runs/advanced/cv_stacked,0.9015,0.7951,0.8993,0.895148669796557,0.7850808555033908,0.8125654065494738,0.8911643270024773,0.7882741535920726,0.8916300366300367,-0.003984342794079776,False,233.0,208
ensemble_runs/advanced/pure,0.9012,0.7983,0.8987,0.8952356111980524,0.8000347765605982,0.8183140396538914,0.8876961189099917,0.7625928984310487,0.8843762862884675,-0.007539492288060723,False,233.0,208
ensemble_runs/advanced_av/audio_pure,0.9012,0.7983,0.8987,0.8952356111980524,0.8000347765605982,0.8183140396538914,0.8876961189099917,0.7625928984310487,0.8843762862884675,-0.007539492288060723,False,233.0,208
ensemble_runs/advanced/bagged_stacker,0.9023,0.8063,0.8986,0.8946270213875848,0.8110328638497653,0.8232990185779887,0.888521882741536,0.7625928984310487,0.8843762862884675,-0.00610513864604878,False,233.0,208
ensemble_runs/advanced_av/av_full,0.9075,0.7658,0.8982,0.8955399061032864,0.7776473656755347,0.8243933514165583,0.8860445912469034,0.7255161023947151,0.8746128654624127,-0.009495314856382997,False,233.0,208
ensemble_runs/advanced_av/av_visual_per_child,0.9059,0.7643,0.8979,0.8964527908189879,0.7745609459224483,0.8204585236435249,0.8846407927332782,0.7255161023947151,0.8746128654624127,-0.011811998085709652,False,233.0,208
ensemble_runs/advanced/pair_disagreement,0.9024,0.8239,0.8978,0.8868892366544948,0.8158581116327595,0.8202068171349203,0.8974401321222131,0.802559867877787,0.8972120607015616,0.010550895467718258,False,233.0,208
ensemble_runs/no_metadata_stack,0.9094,0.8058,0.8969,0.8937576073726309,0.8154668753260302,0.8381246692927272,0.88654004954583,0.7625928984310487,0.8843762862884675,-0.007217557826800891,False,233.0,208
ensemble_runs/advanced/topk_systems,0.8986,0.8065,0.8968,0.8861937054425316,0.7978177708224656,0.8109295377885843,0.8956234516928158,0.7882741535920726,0.8916300366300367,0.009429746250284143,False,233.0,208
ensemble_runs/advanced/rank_stacker,0.8964,0.773,0.896,0.888019474873935,0.7639540949400104,0.7986763100702962,0.8928158546655658,0.7625928984310487,0.8843762862884675,0.004796379791630834,False,233.0,208
