system,fold,f1,f1_macro,f1_weighted,balanced_accuracy,precision,recall,auroc,auprc,threshold,n
baselines/scene_analysis_runs/yamnet,0,0.5371900826446281,0.4913673185500368,0.5153107448336971,0.6168359941944848,0.8904109589041096,0.38461538461538464,0.7479066651780731,0.8914583596020182,0.05,222
baselines/scene_analysis_runs/yamnet,1,0.631578947368421,0.5705665437479048,0.6002392427764618,0.6681789737171464,0.9041095890410958,0.4852941176470588,0.7852002503128912,0.9002554442308368,0.05,183
baselines/scene_analysis_runs/yamnet,2,0.6007604562737643,0.5338827662079482,0.569357019199381,0.6503577441077442,0.9080459770114943,0.44886363636363635,0.7672558922558923,0.9082589697431795,0.05,230
baselines/scene_analysis_runs/ast,0,0.5896414342629482,0.5279813388931321,0.5602001274647478,0.643463213129396,0.9024390243902439,0.4378698224852071,0.6702020765881435,0.8613129112133413,0.15000000000000002,222
baselines/scene_analysis_runs/ast,1,0.7355371900826446,0.6097040789122901,0.670901602924102,0.646354818523154,0.839622641509434,0.6544117647058824,0.726063829787234,0.8820673664445502,0.05,183
baselines/scene_analysis_runs/ast,2,0.6153846153846154,0.5269436445907034,0.5738558117074742,0.6182659932659933,0.865979381443299,0.4772727272727273,0.6746632996632997,0.8664759008846674,0.15000000000000002,230
baselines/audio_llm_baseline_runs/qwen2_audio_7b,0,0.8298507462686567,0.6534574832260716,0.745626935987062,0.6565256224182203,0.8373493975903614,0.8224852071005917,0.7455621301775148,0.897460650575657,0.9500000000000001,222
baselines/audio_llm_baseline_runs/qwen2_audio_7b,1,0.858085808580858,0.5877730630205877,0.7192366387302275,0.5843241551939925,0.7784431137724551,0.9558823529411765,0.7686170212765957,0.9030184358825557,0.8,183
baselines/audio_llm_baseline_runs/qwen2_audio_7b,2,0.8555555555555555,0.6677777777777778,0.7673816425120773,0.6597222222222222,0.8369565217391305,0.875,0.7606271043771045,0.8975787737486471,0.9500000000000001,230
baselines/audio_llm_baseline_runs/qwen25_omni_7b,0,0.83125,0.6978830645161291,0.7675702920662598,0.723679803505638,0.8807947019867549,0.7869822485207101,0.7347326113654125,0.8793040189693095,0.7500000000000001,222
baselines/audio_llm_baseline_runs/qwen25_omni_7b,1,0.7404255319148936,0.6373883384765308,0.6874993232634942,0.6921933667083855,0.8787878787878788,0.6397058823529411,0.7980287859824782,0.9150338179791939,0.8500000000000001,183
baselines/audio_llm_baseline_runs/qwen25_omni_7b,2,0.6901408450704225,0.5950704225352113,0.6454990814451929,0.6858164983164983,0.9074074074074074,0.5568181818181818,0.7868265993265994,0.9046530404493162,0.9000000000000001,230
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,0,0.7884615384615384,0.6442307692307692,0.7195945945945946,0.6752260801607681,0.8601398601398601,0.727810650887574,0.7518142235123366,0.8912567297673681,0.9000000000000001,222
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,1,0.8396946564885496,0.7179242513211979,0.7771459237796366,0.7341989987484355,0.873015873015873,0.8088235294117647,0.8286921151439299,0.9202639430482082,0.9000000000000001,183
baselines/audio_llm_baseline_runs/qwen3_omni_30b_thinking,2,0.7087719298245614,0.6172431077694236,0.6657931785986706,0.7128577441077442,0.926605504587156,0.5738636363636364,0.7849326599326599,0.9145735543681335,0.9500000000000001,230
joint_asr_diar_ecapa_enrollment_runs,0,0.568,0.5056494845360824,0.5382290331568682,0.6157195489561237,0.8765432098765432,0.42011834319526625,0.6446913028915933,0.8467763722822972,0.2,222
joint_asr_diar_ecapa_enrollment_runs,1,0.4530386740331492,0.45895176944900706,0.45607600173309804,0.6081821026282853,0.9111111111111111,0.3014705882352941,0.6157697121401752,0.8272680276540794,0.2,183
joint_asr_diar_ecapa_enrollment_runs,2,0.49795918367346936,0.46293308020882773,0.4815121437857246,0.5992213804713805,0.8840579710144928,0.3465909090909091,0.6049031986531985,0.8162532496283037,0.25,230
