system,variant,n,n_pos,n_neg,brier,ece10,mce10,temperature
whisper_mil,raw,441,335,106,0.12612829790469313,0.04548965837139117,0.16106510501016272,
whisper_mil,temp_scaled,441,335,106,0.12677114070656978,0.04167330794757248,0.1644997024352264,0.7369135094034559
whisper_mil_tsmil_concat,raw,436,334,102,0.11563576379509194,0.02403988730196554,0.09675020896471459,
whisper_mil_tsmil_concat,temp_scaled,436,334,102,0.11577052946249392,0.026326832282582764,0.08725799634948928,0.9786972585460442
wavlm_mil,raw,441,335,106,0.14515159791617296,0.05896481709415412,0.3436373583972454,
wavlm_mil,temp_scaled,441,335,106,0.14612785081089663,0.072353085545482,0.48310840140357225,1.0926721470114327
babar_enrollment,raw,441,335,106,0.34842103161582016,0.4650501922155609,0.6302255491309905,
babar_enrollment,temp_scaled,441,335,106,0.25064987020230395,0.31246633823574627,0.4587896568661701,19.999993025104057
vtc_enrollment,raw,441,335,106,0.3057465827328771,0.4156601233465447,0.4841612742656881,
vtc_enrollment,temp_scaled,441,335,106,0.24786547988892307,0.3129107114435267,0.4245061408189289,13.123686046773656
vtc_kchi_enrollment,raw,441,335,106,0.34842103161582016,0.4650501922155609,0.6302255491309905,
vtc_kchi_enrollment,temp_scaled,441,335,106,0.25064987020230395,0.31246633823574627,0.4587896568661701,19.999993025104057
best_audio_mil_ensemble,raw,441,335,106,0.17778976863582538,0.22373307285294672,0.3098520961372577,
metadata_stacker,raw,441,335,106,0.10205072705971305,0.039746807067394356,0.10371715738965669,
wavlm_pseudo_frame,raw,441,335,106,0.16696747115520172,0.14139818604570936,0.8412096202373505,
wavlm_pseudo_frame,temp_scaled,441,335,106,0.15144439513907806,0.10376000231385085,0.753640670595962,1.4911182673305121
audio_llm_qwen25_omni,raw,441,335,106,0.14849849213975705,0.05889208992423654,0.294017033143477,
audio_llm_qwen25_omni,temp_scaled,441,335,106,0.14669592037931864,0.0393725933140416,0.4294510825621585,1.1712168081126497
