system,kind,target,value
whisper_mil,recall_at_fpr,0.01,0.23283582089552238
whisper_mil,recall_at_fpr,0.05,0.4388059701492537
whisper_mil,recall_at_fpr,0.1,0.573134328358209
whisper_mil,precision_at_recall,0.5,0.9598850574712644
whisper_mil,review_burden_at_recall,0.5,0.3968253968253968
whisper_mil,precision_at_recall,0.75,0.924576453793735
whisper_mil,review_burden_at_recall,0.75,0.6190476190476191
whisper_mil,precision_at_recall,0.9,0.867625625227732
whisper_mil,review_burden_at_recall,0.9,0.7891156462585034
whisper_mil,precision_at_recall,0.95,0.8261592822507596
whisper_mil,review_burden_at_recall,0.95,0.873015873015873
whisper_mil_tsmil_concat,recall_at_fpr,0.01,0.23952095808383234
whisper_mil_tsmil_concat,recall_at_fpr,0.05,0.5449101796407185
whisper_mil_tsmil_concat,recall_at_fpr,0.1,0.6766467065868264
whisper_mil_tsmil_concat,precision_at_recall,0.5,0.9709302325581395
whisper_mil_tsmil_concat,review_burden_at_recall,0.5,0.3944954128440367
whisper_mil_tsmil_concat,precision_at_recall,0.75,0.9470697541452259
whisper_mil_tsmil_concat,review_burden_at_recall,0.75,0.6077981651376146
whisper_mil_tsmil_concat,precision_at_recall,0.9,0.8774078052273541
whisper_mil_tsmil_concat,review_burden_at_recall,0.9,0.786697247706422
whisper_mil_tsmil_concat,precision_at_recall,0.95,0.8522694514111102
whisper_mil_tsmil_concat,review_burden_at_recall,0.95,0.8555045871559633
wavlm_mil,recall_at_fpr,0.01,0.08059701492537313
wavlm_mil,recall_at_fpr,0.05,0.14328358208955225
wavlm_mil,recall_at_fpr,0.1,0.2656716417910448
wavlm_mil,precision_at_recall,0.5,0.8933325748094209
wavlm_mil,review_burden_at_recall,0.5,0.42630385487528344
wavlm_mil,precision_at_recall,0.75,0.8777289783387344
wavlm_mil,review_burden_at_recall,0.75,0.6507936507936508
wavlm_mil,precision_at_recall,0.9,0.8589772727272726
wavlm_mil,review_burden_at_recall,0.9,0.7959183673469388
wavlm_mil,precision_at_recall,0.95,0.8347538854763573
wavlm_mil,review_burden_at_recall,0.95,0.8662131519274376
babar_enrollment,recall_at_fpr,0.01,0.20298507462686566
babar_enrollment,recall_at_fpr,0.05,0.34626865671641793
babar_enrollment,recall_at_fpr,0.1,0.4537313432835821
babar_enrollment,precision_at_recall,0.5,0.933147113594041
babar_enrollment,review_burden_at_recall,0.5,0.40816326530612246
babar_enrollment,precision_at_recall,0.75,0.9254186772636956
babar_enrollment,review_burden_at_recall,0.75,0.6167800453514739
babar_enrollment,precision_at_recall,0.9,0.8563347302650681
babar_enrollment,review_burden_at_recall,0.9,0.8117913832199547
babar_enrollment,precision_at_recall,0.95,0.8079859592368426
babar_enrollment,review_burden_at_recall,0.95,0.9229024943310657
vtc_enrollment,recall_at_fpr,0.01,0.08656716417910448
vtc_enrollment,recall_at_fpr,0.05,0.22686567164179106
vtc_enrollment,recall_at_fpr,0.1,0.408955223880597
vtc_enrollment,precision_at_recall,0.5,0.9228644283892903
vtc_enrollment,review_burden_at_recall,0.5,0.4126984126984127
vtc_enrollment,precision_at_recall,0.75,0.899731182795699
vtc_enrollment,review_burden_at_recall,0.75,0.6349206349206349
vtc_enrollment,precision_at_recall,0.9,0.8726480690290693
vtc_enrollment,review_burden_at_recall,0.9,0.7845804988662132
vtc_enrollment,precision_at_recall,0.95,0.819289568731533
vtc_enrollment,review_burden_at_recall,0.95,0.8752834467120182
vtc_kchi_enrollment,recall_at_fpr,0.01,0.20298507462686566
vtc_kchi_enrollment,recall_at_fpr,0.05,0.34626865671641793
vtc_kchi_enrollment,recall_at_fpr,0.1,0.4537313432835821
vtc_kchi_enrollment,precision_at_recall,0.5,0.933147113594041
vtc_kchi_enrollment,review_burden_at_recall,0.5,0.40816326530612246
vtc_kchi_enrollment,precision_at_recall,0.75,0.9254186772636956
vtc_kchi_enrollment,review_burden_at_recall,0.75,0.6167800453514739
vtc_kchi_enrollment,precision_at_recall,0.9,0.8563347302650681
vtc_kchi_enrollment,review_burden_at_recall,0.9,0.8117913832199547
vtc_kchi_enrollment,precision_at_recall,0.95,0.8079859592368426
vtc_kchi_enrollment,review_burden_at_recall,0.95,0.9229024943310657
