epoch,train_loss,val_loss,val_f1,val_auroc
1,0.6398741233447367,0.6685273989585602,0.73125,0.4504678040726472
2,0.560780897243949,0.6877321964972534,0.7221350078492935,0.4466290588882774
3,0.539155817906226,0.6607036156333517,0.7703703703703704,0.44785360484314807
4,0.5211969179309104,0.6867342212014851,0.7244582043343654,0.4585855806274079
5,0.5158867076162464,0.6611267304752376,0.7633136094674556,0.4653824986241057
6,0.5031818756140953,0.6500721871161406,0.7694566813509545,0.4772151898734177
7,0.4950477661919003,0.6715708536780904,0.7469512195121951,0.48946064942212436
8,0.49067876118520076,0.6359004382467602,0.7808417997097242,0.49782608695652186
9,0.4771569809022029,0.6377099352929819,0.7884057971014493,0.5086681342872867
10,0.46793511202020094,0.6378759494928639,0.7959770114942529,0.514694551458448
11,0.4615640484473922,0.6344489178116803,0.7733333333333333,0.5359658778205834
12,0.46261691677668865,0.6163717237605849,0.7842565597667639,0.5486241056686847
13,0.4523660363860367,0.6220017946789823,0.7854014598540145,0.5482113373692901
14,0.44655127173736076,0.6162748588659647,0.8062678062678063,0.5499174463401211
15,0.44505473361773923,0.6230048583150601,0.8186968838526912,0.5486241056686847
16,0.4346421235356449,0.6077743872239529,0.8131241084165478,0.5613648871766648
17,0.4357818203770425,0.6100692243386587,0.795355587808418,0.5722894881673087
18,0.4324909848861458,0.6105127074083707,0.8141843971631205,0.566758392955421
19,0.4301703892463495,0.6056279315248028,0.8225352112676056,0.5665657677490369
20,0.42477607185190375,0.6050795190243737,0.8125,0.5719867914144194
