audio_path,child_id,timepoint_norm,label,kchi_total_dur,kchi_n_segments,kchi_mean_seg_dur,kchi_max_seg_dur,kchi_proportion,phon_n_utterances,phon_n_total,phon_n_unique,phon_n_consonants,phon_n_vowels,phon_cv_ratio,phon_mean_per_utt,phon_max_per_utt,phon_unique_ratio,sim_weighted_mean,sim_max,sim_top3_mean
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-01_audio.wav,A1H3H9Y3T1,14_month,1,4.94,6,0.8233333333333334,1.84,0.054425178806405704,7,12,7,3,9,0.3333333333333333,1.7142857142857142,3,0.5833333333333334,0.47432255450832556,0.6341053432535733,0.5567218306731164
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-02_audio.wav,A1H3H9Y3T1,14_month,0,4.6,2,2.3,3.98,0.04647089539186772,2,2,2,1,1,1.0,1.0,2,1.0,0.3640119546458587,0.38520368770684893,0.30658919409349816
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-socialroutine_run-01_audio.wav,A1H3H9Y3T1,14_month,1,33.72,17,1.9835294117647058,4.06,0.5323308715793212,18,10,6,4,6,0.6666666666666666,0.5555555555555556,2,0.6,0.659533406655952,0.7903057909877402,0.7708884622138878
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-motorplay_run-01_audio.wav,A1H3H9Y3T1,14_month,1,6.359999999999999,8,0.7949999999999999,1.06,0.09570313969498385,8,11,8,5,6,0.8333333333333334,1.375,5,0.7272727272727273,0.536739740538531,0.6491585922257097,0.6095377442641597
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-01/beh/sub-A1H3H9Y3T1_ses-01_task-generalsocialcommunicationinteraction_run-07_audio.wav,A1H3H9Y3T1,14_month,1,5.120000000000001,4,1.2800000000000002,2.18,0.1587473839237269,4,0,0,0,0,0.0,0.0,0,0.0,0.5422293712664324,0.7555055927644225,0.5710915418732679
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-generalsocialcommunicationinteraction_run-01_audio.wav,A1H3H9Y3T1,36_month,1,21.64,9,2.4044444444444446,10.22,0.2809903807215149,9,65,17,30,35,0.8571428571428571,7.222222222222222,27,0.26153846153846155,0.6943135361015206,0.8724452833931011,0.7225948760346578
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,A1H3H9Y3T1,36_month,1,4.880000000000001,4,1.2200000000000002,1.6,0.04813762626262627,6,6,5,2,4,0.5,1.0,2,0.8333333333333334,0.42307438799872205,0.515565649195741,0.4645005286902381
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-toyplay_run-01_audio.wav,A1H3H9Y3T1,36_month,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-generalsocialcommunicationinteraction_run-03_audio.wav,A1H3H9Y3T1,36_month,1,7.860000000000001,4,1.9650000000000003,2.56,0.2873529075745459,6,34,14,16,18,0.8888888888888888,5.666666666666667,9,0.4117647058823529,0.599942565928126,0.6426177295946522,0.6109633427303777
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A1H3H9Y3T1/ses-02/beh/sub-A1H3H9Y3T1_ses-02_task-dailyroutine_run-01_audio.wav,A1H3H9Y3T1,36_month,1,17.44,19,0.9178947368421053,2.1,0.1526895500353215,22,22,16,13,9,1.4444444444444444,1.0,4,0.7272727272727273,0.3850828325507953,0.5581117010380123,0.5425011313335318
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2M5H0V6E3/ses-01/beh/sub-A2M5H0V6E3_ses-01_task-toyplay_run-01_audio.wav,A2M5H0V6E3,14_month,0,0.76,1,0.76,0.76,0.026916470400736664,3,0,0,0,0,0.0,0.0,0,0.0,0.47215415604885635,0.47215415604885635,0.47215415604885635
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2M5H0V6E3/ses-01/beh/sub-A2M5H0V6E3_ses-01_task-generalsocialcommunicationinteraction_run-02_audio.wav,A2M5H0V6E3,14_month,1,0.68,1,0.68,0.68,0.02331621762946073,2,5,4,2,3,0.6666666666666666,2.5,3,0.8,0.4651757350891387,0.4651757350891387,0.4651757350891387
