epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.43186212249480893,0.39285255871389224,0.853125,0.8097186501441821,0.05
2,0.32795977271603843,0.3031318113207817,0.853125,0.8057828696126568,0.05
3,0.29159845232310955,0.28861604922491574,0.853125,0.8142779206608994,0.05
4,0.28211958339288284,0.2984856347674909,0.8540031397174255,0.8070688177071156,0.15
5,0.27277617189135867,0.26925815706667694,0.8538587848932676,0.8125633232016211,0.45
6,0.25773046557268087,0.27678200780697493,0.853125,0.8053542202478373,0.05
7,0.2557595437732491,0.2811901524015095,0.8544600938967136,0.7993531291403633,0.05
8,0.25409089779331734,0.2611222830803498,0.8548895899053628,0.8089003195386174,0.1
9,0.25190700416582346,0.25319323899305385,0.853125,0.8202010755202245,0.05
10,0.23922678594389102,0.2531803596926772,0.8557993730407524,0.8072246902034136,0.05
11,0.23515384269021725,0.2741715190527232,0.8539325842696629,0.8140830800405268,0.25
12,0.2197687476601479,0.2804621629740881,0.8540031397174255,0.8127191956979192,0.1
13,0.21907169872174298,0.2576731172916682,0.8553459119496856,0.817473306835009,0.1
14,0.21680788733880885,0.2563622389798579,0.8530973451327434,0.8193048086665108,0.65
15,0.21440113681184986,0.25064975735933887,0.8535433070866142,0.8104200763775232,0.1
