experiment,child_id,timepoint,n_clips,accuracy,n_fp,n_fn
fused_attn,B8I6G9P2G8,14_month,9,0.6666666666666666,3,0
fused_attn,C0O6X3N5Y7,14_month,47,0.7872340425531915,6,4
fused_attn,C1G1X2G4C6,14_month,18,0.6666666666666666,6,0
fused_attn,D4Y7P4G2V4,14_month,28,0.6785714285714286,9,0
fused_attn,D8G5K7I0D6,14_month,20,0.7,5,1
fused_attn,D8O8B2C4X2,36_month,18,0.8888888888888888,1,1
fused_attn,F3N4H0K1Z1,36_month,54,0.8148148148148148,7,3
fused_attn,G3D3S2N7W8,14_month,11,0.7272727272727273,1,2
fused_attn,G7P6U6U2J5,36_month,5,1.0,0,0
fused_attn,L4M8P2T7S0,36_month,36,0.9166666666666666,2,1
fused_attn,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
fused_attn,L7Z6Q2U6Y6,36_month,11,0.7272727272727273,3,0
fused_attn,N3L7A1I2B9,36_month,129,0.7984496124031008,10,16
fused_attn,R2C7W8X7N9,36_month,10,0.7,3,0
fused_attn,S7Y0I2P0S8,14_month,19,1.0,0,0
fused_attn,T2H0J0N2Z5,14_month,23,0.8260869565217391,3,1
fused_attn,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
fused_attn,X2V2P0U5X4,36_month,2,0.5,0,1
fused_attn,Y4W4H9A8X5,14_month,11,0.36363636363636365,7,0
fused_attn,Y6Z4H0C5U2,36_month,14,1.0,0,0
fused_attn,Z3H6O7C3O9,36_month,7,0.42857142857142855,4,0
fused_attn_lw,B8I6G9P2G8,14_month,9,0.7777777777777778,2,0
fused_attn_lw,C0O6X3N5Y7,14_month,47,0.7659574468085106,7,4
fused_attn_lw,C1G1X2G4C6,14_month,18,0.7222222222222222,4,1
fused_attn_lw,D4Y7P4G2V4,14_month,28,0.6071428571428571,10,1
fused_attn_lw,D8G5K7I0D6,14_month,20,0.65,7,0
fused_attn_lw,D8O8B2C4X2,36_month,18,0.9444444444444444,1,0
fused_attn_lw,F3N4H0K1Z1,36_month,54,0.8148148148148148,8,2
fused_attn_lw,G3D3S2N7W8,14_month,11,0.8181818181818182,1,1
fused_attn_lw,G7P6U6U2J5,36_month,5,1.0,0,0
fused_attn_lw,L4M8P2T7S0,36_month,36,0.8611111111111112,3,2
fused_attn_lw,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
fused_attn_lw,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
fused_attn_lw,N3L7A1I2B9,36_month,129,0.8604651162790697,11,7
fused_attn_lw,R2C7W8X7N9,36_month,10,0.7,3,0
fused_attn_lw,S7Y0I2P0S8,14_month,19,1.0,0,0
fused_attn_lw,T2H0J0N2Z5,14_month,23,0.782608695652174,4,1
fused_attn_lw,U6O5F2B7T5,14_month,17,0.8823529411764706,1,1
fused_attn_lw,X2V2P0U5X4,36_month,2,1.0,0,0
fused_attn_lw,Y4W4H9A8X5,14_month,11,0.45454545454545453,6,0
fused_attn_lw,Y6Z4H0C5U2,36_month,14,1.0,0,0
fused_attn_lw,Z3H6O7C3O9,36_month,7,0.5714285714285714,3,0
fused_attn_unfreeze2,B8I6G9P2G8,14_month,9,0.8888888888888888,1,0
fused_attn_unfreeze2,C0O6X3N5Y7,14_month,47,0.8297872340425532,2,6
fused_attn_unfreeze2,C1G1X2G4C6,14_month,18,0.8333333333333334,3,0
fused_attn_unfreeze2,D4Y7P4G2V4,14_month,28,0.7142857142857143,8,0
fused_attn_unfreeze2,D8G5K7I0D6,14_month,20,0.85,2,1
fused_attn_unfreeze2,D8O8B2C4X2,36_month,18,0.8333333333333334,1,2
fused_attn_unfreeze2,F3N4H0K1Z1,36_month,54,0.8703703703703703,7,0
fused_attn_unfreeze2,G3D3S2N7W8,14_month,11,0.6363636363636364,0,4
fused_attn_unfreeze2,G7P6U6U2J5,36_month,5,1.0,0,0
fused_attn_unfreeze2,L4M8P2T7S0,36_month,36,0.8888888888888888,1,3
fused_attn_unfreeze2,L5Q0Z1W8S2,14_month,7,0.8571428571428571,1,0
fused_attn_unfreeze2,L7Z6Q2U6Y6,36_month,11,0.8181818181818182,2,0
fused_attn_unfreeze2,N3L7A1I2B9,36_month,129,0.8372093023255814,8,13
fused_attn_unfreeze2,R2C7W8X7N9,36_month,10,0.8,2,0
fused_attn_unfreeze2,S7Y0I2P0S8,14_month,19,1.0,0,0
fused_attn_unfreeze2,T2H0J0N2Z5,14_month,23,0.9130434782608695,1,1
fused_attn_unfreeze2,U6O5F2B7T5,14_month,17,0.8235294117647058,2,1
fused_attn_unfreeze2,X2V2P0U5X4,36_month,2,0.5,0,1
fused_attn_unfreeze2,Y4W4H9A8X5,14_month,11,0.6363636363636364,4,0
fused_attn_unfreeze2,Y6Z4H0C5U2,36_month,14,1.0,0,0
