audio_path,n_experiments_fp,pct_experiments,experiments
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C0O6X3N5Y7/ses-02/beh/sub-C0O6X3N5Y7_ses-02_task-motorplay_run-03_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-01/beh/sub-D8G5K7I0D6_ses-01_task-toyplay_run-04_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B8I6G9P2G8/ses-01/beh/sub-B8I6G9P2G8_ses-01_task-generalsocialcommunicationinteraction_run-03_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1G1X2G4C6/ses-02/beh/sub-C1G1X2G4C6_ses-02_task-toyplay_run-04_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Y4W4H9A8X5/ses-02/beh/sub-Y4W4H9A8X5_ses-02_task-specialoccasion_run-01_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Y4W4H9A8X5/ses-02/beh/sub-Y4W4H9A8X5_ses-02_task-other_run-01_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Y4W4H9A8X5/ses-02/beh/sub-Y4W4H9A8X5_ses-02_task-motorplay_run-01_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8O8B2C4X2/ses-01/beh/sub-D8O8B2C4X2_ses-01_task-generalsocialcommunicationinteraction_run-06_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Z3H6O7C3O9/ses-02/beh/sub-Z3H6O7C3O9_ses-02_task-other_run-01_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-toyplay_run-09_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-other_run-02_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-01/beh/sub-F3N4H0K1Z1_ses-01_task-dailyroutine_run-05_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-toyplay_run-03_audio.wav,15,1.0,"fused_attn, fused_attn_lw, fused_attn_unfreeze2, wavlm_attn, wavlm_attn_lw, wavlm_mean, wavlm_stats_lw, whisper_attn, whisper_attn_aug, whisper_attn_aug_ptt, whisper_attn_lw, whisper_attn_ptt, whisper_attn_unfreeze2, whisper_mean, whisper_stats_lw"
