experiment_a,experiment_b,n_clips,n_agree,agreement
fused_attn_unfreeze2,whisper_attn_lw,496,379,0.7641129032258065
whisper_attn,whisper_attn_lw,496,385,0.7762096774193549
whisper_attn_aug,whisper_attn_lw,496,388,0.782258064516129
wavlm_stats_lw,whisper_attn_aug,496,390,0.7862903225806451
whisper_attn_lw,whisper_mean,496,390,0.7862903225806451
fused_attn,whisper_attn_lw,496,393,0.7923387096774194
fused_attn_unfreeze2,wavlm_stats_lw,496,393,0.7923387096774194
whisper_attn_aug_ptt,whisper_attn_lw,496,393,0.7923387096774194
whisper_attn_lw,whisper_attn_ptt,496,395,0.7963709677419355
wavlm_mean,whisper_attn_aug,496,396,0.7983870967741935
wavlm_stats_lw,whisper_attn,496,401,0.8084677419354839
whisper_attn_lw,whisper_attn_unfreeze2,496,403,0.8125
fused_attn_unfreeze2,wavlm_attn_lw,496,403,0.8125
fused_attn_unfreeze2,whisper_stats_lw,496,403,0.8125
wavlm_stats_lw,whisper_mean,496,404,0.8145161290322581
fused_attn_unfreeze2,wavlm_attn,496,405,0.8165322580645161
wavlm_mean,whisper_attn,496,405,0.8165322580645161
fused_attn_unfreeze2,wavlm_mean,496,405,0.8165322580645161
wavlm_mean,whisper_mean,496,408,0.8225806451612904
wavlm_attn,whisper_attn_lw,496,410,0.8266129032258065
wavlm_attn,whisper_attn_ptt,496,411,0.8286290322580645
wavlm_stats_lw,whisper_attn_ptt,496,411,0.8286290322580645
fused_attn_lw,whisper_attn_lw,496,412,0.8306451612903226
wavlm_attn_lw,whisper_attn_aug,496,412,0.8306451612903226
wavlm_stats_lw,whisper_attn_unfreeze2,496,413,0.8326612903225806
wavlm_attn,whisper_attn_aug_ptt,496,413,0.8326612903225806
wavlm_mean,whisper_attn_aug_ptt,496,413,0.8326612903225806
wavlm_mean,whisper_attn_ptt,496,413,0.8326612903225806
fused_attn_unfreeze2,whisper_attn_aug_ptt,496,414,0.8346774193548387
wavlm_attn,whisper_attn_aug,496,414,0.8346774193548387
wavlm_stats_lw,whisper_attn_aug_ptt,496,415,0.8366935483870968
wavlm_attn,whisper_attn_unfreeze2,496,415,0.8366935483870968
wavlm_attn,whisper_mean,496,416,0.8387096774193549
wavlm_attn_lw,whisper_attn_ptt,496,417,0.8407258064516129
wavlm_attn_lw,whisper_attn,496,417,0.8407258064516129
wavlm_attn,whisper_attn,496,417,0.8407258064516129
fused_attn,wavlm_mean,496,417,0.8407258064516129
fused_attn_unfreeze2,whisper_attn_ptt,496,418,0.842741935483871
fused_attn,wavlm_stats_lw,496,419,0.844758064516129
wavlm_mean,whisper_attn_unfreeze2,496,419,0.844758064516129
whisper_attn_lw,whisper_stats_lw,496,420,0.8467741935483871
fused_attn,whisper_attn_unfreeze2,496,420,0.8467741935483871
wavlm_attn_lw,whisper_mean,496,420,0.8467741935483871
wavlm_attn_lw,whisper_attn_aug_ptt,496,421,0.8487903225806451
wavlm_attn_lw,whisper_attn_unfreeze2,496,423,0.8528225806451613
fused_attn,wavlm_attn,496,423,0.8528225806451613
whisper_attn_aug,whisper_stats_lw,496,424,0.8548387096774194
whisper_attn_ptt,whisper_stats_lw,496,425,0.8568548387096774
fused_attn_lw,fused_attn_unfreeze2,496,425,0.8568548387096774
fused_attn,fused_attn_unfreeze2,496,426,0.8588709677419355
whisper_attn_unfreeze2,whisper_stats_lw,496,427,0.8608870967741935
wavlm_attn_lw,whisper_attn_lw,496,428,0.8629032258064516
fused_attn_unfreeze2,whisper_attn,496,428,0.8629032258064516
wavlm_attn,wavlm_stats_lw,496,428,0.8629032258064516
fused_attn_unfreeze2,whisper_attn_aug,496,429,0.8649193548387096
fused_attn,whisper_attn_aug,496,429,0.8649193548387096
fused_attn,wavlm_attn_lw,496,429,0.8649193548387096
whisper_attn_ptt,whisper_attn_unfreeze2,496,430,0.8669354838709677
fused_attn_unfreeze2,whisper_attn_unfreeze2,496,430,0.8669354838709677
fused_attn_unfreeze2,whisper_mean,496,431,0.8689516129032258
fused_attn,whisper_attn,496,432,0.8709677419354839
fused_attn,whisper_attn_ptt,496,432,0.8709677419354839
wavlm_mean,whisper_attn_lw,496,432,0.8709677419354839
fused_attn_lw,whisper_attn_ptt,496,433,0.8729838709677419
whisper_attn,whisper_stats_lw,496,433,0.8729838709677419
whisper_attn_aug,whisper_attn_aug_ptt,496,433,0.8729838709677419
whisper_attn,whisper_attn_unfreeze2,496,434,0.875
fused_attn_lw,wavlm_stats_lw,496,434,0.875
wavlm_attn,whisper_stats_lw,496,434,0.875
whisper_mean,whisper_stats_lw,496,434,0.875
fused_attn,whisper_attn_aug_ptt,496,434,0.875
wavlm_stats_lw,whisper_attn_lw,496,434,0.875
whisper_attn_aug_ptt,whisper_attn_unfreeze2,496,434,0.875
whisper_attn,whisper_attn_aug_ptt,496,434,0.875
fused_attn_lw,whisper_attn_aug_ptt,496,435,0.8770161290322581
fused_attn,whisper_stats_lw,496,435,0.8770161290322581
whisper_attn_unfreeze2,whisper_mean,496,435,0.8770161290322581
whisper_attn_aug_ptt,whisper_stats_lw,496,435,0.8770161290322581
whisper_attn_aug,whisper_attn_unfreeze2,496,435,0.8770161290322581
fused_attn_lw,whisper_mean,496,436,0.8790322580645161
fused_attn_lw,whisper_attn_aug,496,436,0.8790322580645161
whisper_attn_aug,whisper_attn_ptt,496,437,0.8810483870967742
fused_attn_lw,whisper_attn_unfreeze2,496,439,0.8850806451612904
fused_attn_lw,wavlm_mean,496,440,0.8870967741935484
whisper_attn_aug_ptt,whisper_mean,496,441,0.8891129032258065
fused_attn,fused_attn_lw,496,441,0.8891129032258065
wavlm_mean,whisper_stats_lw,496,442,0.8911290322580645
whisper_attn,whisper_attn_ptt,496,442,0.8911290322580645
fused_attn,whisper_mean,496,443,0.8931451612903226
fused_attn_lw,whisper_attn,496,445,0.8971774193548387
fused_attn_lw,wavlm_attn,496,446,0.8991935483870968
wavlm_stats_lw,whisper_stats_lw,496,448,0.9032258064516129
fused_attn_lw,wavlm_attn_lw,496,450,0.907258064516129
whisper_attn_ptt,whisper_mean,496,451,0.9092741935483871
wavlm_attn_lw,whisper_stats_lw,496,452,0.9112903225806451
wavlm_attn,wavlm_mean,496,452,0.9112903225806451
wavlm_attn,wavlm_attn_lw,496,452,0.9112903225806451
wavlm_attn_lw,wavlm_mean,496,456,0.9193548387096774
wavlm_attn_lw,wavlm_stats_lw,496,456,0.9193548387096774
whisper_attn,whisper_attn_aug,496,457,0.9213709677419355
whisper_attn_aug_ptt,whisper_attn_ptt,496,460,0.9274193548387096
fused_attn_lw,whisper_stats_lw,496,462,0.9314516129032258
wavlm_mean,wavlm_stats_lw,496,462,0.9314516129032258
whisper_attn_aug,whisper_mean,496,466,0.9395161290322581
whisper_attn,whisper_mean,496,469,0.9455645161290323
