feature,kind,coef,abs_coef
timepoint_is_36m,meta,0.4630389362563391,0.4630389362563391
n_children_ge2,meta,-0.41570150696639724,0.41570150696639724
has_interaction,meta,-0.02948760910587494,0.02948760910587494
n_adults_int,meta,0.027518907148529396,0.027518907148529396
n_children_int,meta,0.01954206383137012,0.01954206383137012
n_adults_ge2,meta,-0.017049500802872725,0.017049500802872725
context_unknown,meta,0.0,0.0
whisper_mil_prob,score,2.985330189827913,2.985330189827913
vtc_prob,score,1.8621501831199077,1.8621501831199077
babar_prob,score,1.7946680873552694,1.7946680873552694
vtc_kchi_prob,score,1.7946680873552694,1.7946680873552694
sortformer_prob,score,1.059883982914648,1.059883982914648
audio_llm_prob,score,0.8091739014669213,0.8091739014669213
wavlm_mil_prob,score,0.795263881460287,0.795263881460287
usc_sail_prob,score,0.5716122277115869,0.5716122277115869
pyannote_prob,score,0.3581282768414889,0.3581282768414889
vbx_prob,score,0.24583323077440203,0.24583323077440203
eend_eda_prob,score,0.06711648670470848,0.06711648670470848
face_count_mean,visual,-0.8486528084239272,0.8486528084239272
eligibility_score,visual,0.8195314042840689,0.8195314042840689
face_area_max_norm,visual,0.7817657446345668,0.7817657446345668
face_track_coverage_ratio,visual,0.4836948818799617,0.4836948818799617
face_area_mean_norm,visual,0.36758320327992167,0.36758320327992167
face_count_max,visual,0.1172821550599708,0.1172821550599708
face_confidence_mean,visual,0.1043930403811731,0.1043930403811731
has_any_face,visual,-0.011235974844737654,0.011235974844737654
n_distinct_tracks,visual,0.006163069061730392,0.006163069061730392
