stratum,n,n_pos,av_f1,stack_f1,base_f1,d_f1_vs_stack,d_f1_vs_base,av_auroc,stack_auroc,base_auroc,d_auroc_vs_stack,d_auroc_vs_base,av_auprc,stack_auprc,base_auprc,d_auprc_vs_stack,d_auprc_vs_base
overall,441,335,0.8974,0.9015,0.8929,-0.0041,0.0045,0.9044,0.9001,0.8782,0.0044,0.0262,0.9672,0.9641,0.9559,0.003,0.0113
n_children=1,347,273,0.9087,0.9145,0.9047,-0.0058,0.0041,0.9194,0.9149,0.8994,0.0045,0.02,0.9772,0.9744,0.9675,0.0028,0.0097
n_children>=2,94,62,0.8504,0.8485,0.8467,0.0019,0.0037,0.8669,0.8659,0.8584,0.001,0.0086,0.9122,0.9182,0.9285,-0.0061,-0.0163
coi=yes,402,311,0.9003,0.9076,0.8947,-0.0073,0.0057,0.9033,0.8997,0.8805,0.0037,0.0228,0.9688,0.9659,0.9592,0.0028,0.0096
coi=no,39,24,0.8627,0.8302,0.8727,0.0326,-0.01,0.925,0.9139,0.9083,0.0111,0.0167,0.957,0.9507,0.9367,0.0064,0.0203
timepoint=14_month,234,163,0.8636,0.8634,0.8659,0.0003,-0.0022,0.8958,0.8933,0.882,0.0025,0.0138,0.9537,0.9479,0.942,0.0058,0.0117
timepoint=36_month,207,172,0.9275,0.9368,0.9186,-0.0092,0.0089,0.9017,0.8937,0.864,0.008,0.0376,0.9773,0.9754,0.9678,0.0019,0.0094
has_any_face=1,392,310,0.9073,0.9094,0.9015,-0.0021,0.0058,0.9033,0.897,0.869,0.0063,0.0343,0.9716,0.9685,0.959,0.0032,0.0127
has_any_face=0,49,25,0.7755,0.8077,0.7925,-0.0322,-0.0169,0.8867,0.8967,0.8967,-0.01,-0.01,0.9025,0.9098,0.9171,-0.0073,-0.0145
elig_high,212,177,0.9402,0.9412,0.9296,-0.001,0.0106,0.9309,0.9209,0.8973,0.01,0.0337,0.9844,0.9809,0.978,0.0035,0.0064
elig_low,229,158,0.8477,0.8562,0.8517,-0.0085,-0.0041,0.8736,0.8749,0.8647,-0.0013,0.0089,0.9388,0.9394,0.9311,-0.0005,0.0078
