epoch,train_loss,val_loss,val_f1,val_auroc
1,0.5858513550913852,0.538273929862432,0.8681318681318682,0.5620385021097046
2,0.5654363191646078,0.53137029432556,0.8681318681318682,0.5844870780590717
3,0.5591288112589846,0.529000708236567,0.8662068965517241,0.619198312236287
4,0.5509779288878908,0.5259515133514566,0.8690807799442897,0.6310983649789028
5,0.5479481424326482,0.5272616758508589,0.8676056338028169,0.6341310654008439
6,0.5426458615161802,0.5193935493097722,0.869198312236287,0.6583267405063292
7,0.5372912293381017,0.5169311186425316,0.8679775280898876,0.6706882911392406
8,0.5329686297994592,0.5087026040458563,0.8676056338028169,0.6955102848101266
9,0.5207311750754066,0.5060508974185847,0.8644793152639088,0.7012130801687764
10,0.5151356956719056,0.5000340231486315,0.8681948424068768,0.7158161919831224
11,0.5011530038293289,0.4917919188737869,0.8651851851851852,0.7341112869198313
