epoch,train_loss,f1,precision,recall,auroc,auprc,loss
1,0.7623755394325835,0.8696883852691218,0.7871794871794872,0.9715189873417721,0.7270569620253163,0.8654748737117777,0.7137086280823337
2,0.7250699254513108,0.8703170028818443,0.798941798941799,0.9556962025316456,0.7485330959915613,0.8914864705774908,0.6423422161670423
3,0.7229807548864653,0.8753623188405797,0.8074866310160428,0.9556962025316456,0.746934335443038,0.8909650043978469,0.7937448138068204
4,0.679572302762252,0.8622754491017964,0.8181818181818182,0.9113924050632911,0.7530656645569621,0.8974565656993182,0.7383435678765486
5,0.6944407725800317,0.8724637681159421,0.8048128342245989,0.9525316455696202,0.7535601265822786,0.9025589352948546,0.7266833393446088
6,0.6758060467601057,0.8702064896755162,0.8149171270718232,0.9335443037974683,0.7535601265822784,0.90178824555437,0.7536424279133104
7,0.6701675758254502,0.875,0.7938144329896907,0.9746835443037974,0.7447916666666667,0.8949451639188497,0.9546347013370085
8,0.700632058378493,0.8720238095238095,0.8230337078651685,0.9272151898734177,0.7507581751054853,0.8997731464170478,0.6883992918946762
9,0.6663404073082476,0.8705547652916074,0.7906976744186046,0.9683544303797469,0.749307753164557,0.9003724316492869,0.9944140717043558
10,0.667127321234505,0.8775510204081632,0.8135135135135135,0.9525316455696202,0.7480221518987341,0.8980888703116885,0.8804266169822282
11,0.6437634751214207,0.8622754491017964,0.8181818181818182,0.9113924050632911,0.7545160864978901,0.9043018430585226,0.9358957018668621
12,0.6487764603509323,0.8672566371681416,0.8121546961325967,0.930379746835443,0.7456487341772151,0.8970632689297708,0.7910397119062882
13,0.6765728107389773,0.874820143884892,0.8021108179419525,0.9620253164556962,0.760845200421941,0.9087803025880614,0.9375412052278471
14,0.642042345215483,0.8641221374045801,0.8348082595870207,0.8955696202531646,0.7624274789029536,0.9097699516777876,0.7698019342286665
15,0.6518321279362997,0.869942196531792,0.800531914893617,0.9525316455696202,0.7454839135021097,0.8982142678587763,0.9696455426881982
16,0.6699045854610477,0.8623298033282905,0.8260869565217391,0.9018987341772152,0.7477914029535865,0.9032490145446317,0.7948142034638273
17,0.6117819006737285,0.8722466960352423,0.8136986301369863,0.939873417721519,0.7462420886075949,0.8974638387345892,0.8613049103701363
18,0.6220558968174924,0.8544891640866873,0.8363636363636363,0.8734177215189873,0.7589992088607596,0.9070511879776983,0.7631833693644926
19,0.5847162866141531,0.875,0.8091397849462365,0.9525316455696202,0.7477749208860759,0.89753685935656,1.0291976915070566
20,0.5957459797427981,0.8664688427299704,0.8156424581005587,0.9240506329113924,0.7535436445147679,0.9023127542177463,0.8017541137896983
