child_id,n_fp_experiments,total_fp_instances,n_fn_experiments,total_fn_instances,total_error_experiments,timepoint
N3L7A1I2B9,19,190,17,154,19,36_month
F3N4H0K1Z1,19,114,12,29,19,36_month
C0O6X3N5Y7,18,111,16,66,18,14_month
C1G1X2G4C6,18,103,6,7,18,14_month
D8G5K7I0D6,18,94,7,7,18,14_month
R2C7W8X7N9,18,44,0,0,18,14_month
Y4W4H9A8X5,18,106,0,0,18,36_month
T2H0J0N2Z5,18,43,14,32,18,14_month
D4Y7P4G2V4,17,130,9,13,17,14_month
B8I6G9P2G8,17,49,2,2,17,14_month
L4M8P2T7S0,16,40,15,28,16,36_month
D8O8B2C4X2,15,15,9,14,15,14_month
U6O5F2B7T5,13,16,15,17,15,14_month
Z3H6O7C3O9,15,50,0,0,15,36_month
G3D3S2N7W8,15,15,12,33,15,14_month
L7Z6Q2U6Y6,15,39,0,0,15,14_month
L5Q0Z1W8S2,13,14,2,3,13,14_month
S7Y0I2P0S8,4,4,5,5,5,36_month
C1I8N8L4Q4,4,4,0,0,4,36_month
A6Y4Y7X2G1,4,6,1,1,4,14_month
Q9W9P7Z3J7,4,7,2,3,4,36_month
X2V2P0U5X4,0,0,4,4,4,36_month
S6T9X3C8Y2,4,7,0,0,4,14_month
R6R8Q6A7K0,4,7,1,2,4,14_month
W3P0N4W0X9,0,0,4,6,4,14_month
W7P7J6H1H6,3,3,4,4,4,14_month
V7D7K3H8B4,4,4,0,0,4,14_month
S9B3J7I4R1,0,0,4,6,4,36_month
E3O3H8O7H4,4,4,0,0,4,14_month
F8N7H3T0O1,4,7,0,0,4,14_month
M5O1K4W9O1,0,0,4,8,4,14_month
F6J0V8B6S4,4,4,0,0,4,36_month
A2P7X9N8L7,4,4,1,2,4,14_month
B1S3L8Q7Y6,4,9,2,4,4,14_month
H7C3T0K5E5,0,0,4,7,4,14_month
B9P5V1I5O5,3,5,0,0,3,14_month
O6F1J9U1J2,3,3,0,0,3,36_month
T8P2Z1M9O9,3,6,0,0,3,14_month
S9D2T7Y9B1,3,3,1,1,3,36_month
W9K7Y8Y0V6,3,3,0,0,3,36_month
Z1J6X4Y3Z4,3,5,1,1,3,14_month
Z2E7T3I3H2,3,3,2,2,3,14_month
B4Q3G8H2N3,1,1,3,12,3,14_month
C5L2D6N1W6,3,3,0,0,3,14_month
A6S0V1J3G6,3,3,0,0,3,14_month
A1H3H9Y3T1,3,3,1,1,3,14_month
C4C7T6W2I0,3,3,0,0,3,36_month
N2H7T0A7U5,3,3,0,0,3,36_month
G3A6S5R9F7,3,6,2,3,3,14_month
G4J8F6F4X0,3,12,1,2,3,14_month
F8V2U5P1A0,3,3,0,0,3,14_month
E7Z4G3O5K2,3,4,3,3,3,14_month
L5V8G4A3K7,3,3,0,0,3,14_month
I8T4E2J3M6,3,18,1,1,3,14_month
J3J0V4T8C3,2,4,3,5,3,14_month
J4J6X7C4D9,0,0,3,4,3,36_month
L0B0Q5O3Q3,3,3,1,1,3,14_month
M5H7X4O2M2,3,5,0,0,3,14_month
S7F0B6H3A3,3,3,1,1,3,14_month
S4O9O2E5Z0,3,3,0,0,3,14_month
S2C4T1Y7V7,3,5,1,1,3,14_month
N5I9D3R2M1,0,0,2,2,2,36_month
N3C7S2N8O0,2,2,0,0,2,14_month
M5Y0K3C9L0,2,2,0,0,2,14_month
C5U1P3X9F0,0,0,2,6,2,14_month
A8P5O6Z7X6,2,2,0,0,2,14_month
S0M6Z7D5X7,2,2,0,0,2,36_month
E2P5Q8S5A7,2,2,1,1,2,14_month
S4C2W1M7Q0,1,1,2,4,2,36_month
E7T7O3G7J5,2,2,0,0,2,14_month
L6F2P7K8P1,0,0,2,4,2,36_month
M4R4B8C7G8,2,2,0,0,2,36_month
H3B5L5F8T1,2,2,2,2,2,14_month
B1L0B3F6F1,0,0,1,1,1,14_month
A3G3T7I1A5,0,0,1,2,1,14_month
A4E8K1L5Y2,0,0,1,1,1,36_month
A5X1S7S1E7,0,0,1,1,1,36_month
K6O1J5K7Z0,0,0,1,1,1,36_month
E7G3N4A1K5,0,0,1,2,1,36_month
G8Q8I6N0I3,0,0,1,2,1,14_month
N2Z6J3E5Q5,0,0,1,2,1,14_month
R4O0P4P3J4,0,0,1,2,1,14_month
X2N4R2N5V8,0,0,1,1,1,36_month
X1U1P0D1X3,0,0,1,1,1,14_month
