task,babar,baseline_fused_attn,baseline_fused_attn_lw,baseline_fused_attn_unfreeze2,baseline_wavlm_attn,baseline_wavlm_attn_lw,baseline_wavlm_mean,baseline_wavlm_stats_lw,baseline_whisper_attn,baseline_whisper_attn_aug,baseline_whisper_attn_aug_ptt,baseline_whisper_attn_lw,baseline_whisper_attn_ptt,baseline_whisper_attn_unfreeze2,baseline_whisper_mean,baseline_whisper_stats_lw,pyannote,usc_sail_enrollment,usc_sail_role_only,total
motorplay,8,22,23,12,21,24,26,30,19,17,21,23,23,18,19,26,22,25,26,405
toyplay,3,18,16,11,17,22,23,29,13,12,20,20,17,18,12,20,11,15,16,313
generalsocialcommunicationinteraction,5,12,12,9,15,19,20,24,7,8,13,23,9,12,8,18,15,18,21,268
other,1,8,8,8,7,8,10,12,7,7,8,11,8,8,8,9,5,9,9,151
specialoccasion,1,7,7,4,5,7,7,7,6,6,5,7,5,6,7,7,5,6,8,113
dailyroutine,0,4,6,3,7,8,7,9,4,5,5,6,5,4,3,7,2,1,1,87
bookshare,1,0,1,0,1,2,1,3,0,1,0,3,0,1,1,2,2,1,1,21
socialroutine,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,10
generalsocialinteraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
