experiment,baseline_fused_attn,baseline_fused_attn_lw,baseline_fused_attn_unfreeze2,baseline_wavlm_attn,baseline_wavlm_attn_lw,baseline_wavlm_mean,baseline_wavlm_stats_lw,baseline_whisper_attn,baseline_whisper_attn_aug,baseline_whisper_attn_aug_ptt,baseline_whisper_attn_lw,baseline_whisper_attn_ptt,baseline_whisper_attn_unfreeze2,baseline_whisper_mean,baseline_whisper_stats_lw,babar,usc_sail_role_only,usc_sail_enrollment,pyannote
baseline_fused_attn,1.0,0.7176470588235294,0.5256410256410257,0.6404494382022472,0.6632653061224489,0.6213592233009708,0.6120689655172413,0.5802469135802469,0.6,0.6363636363636364,0.5420560747663551,0.6162790697674418,0.6162790697674418,0.625,0.6701030927835051,0.03409090909090909,0.10638297872340426,0.07971014492753623,0.09523809523809523
baseline_fused_attn_lw,0.7176470588235294,1.0,0.5316455696202531,0.7209302325581395,0.6836734693877551,0.7070707070707071,0.6434782608695652,0.6455696202531646,0.6455696202531646,0.6404494382022472,0.5754716981132075,0.6022727272727273,0.6395348837209303,0.6097560975609756,0.782608695652174,0.03333333333333333,0.0821917808219178,0.06338028169014084,0.08527131782945736
baseline_fused_attn_unfreeze2,0.5256410256410257,0.5316455696202531,1.0,0.4069767441860465,0.40816326530612246,0.4639175257731959,0.40869565217391307,0.5147058823529411,0.5373134328358209,0.43373493975903615,0.37254901960784315,0.46153846153846156,0.52,0.5441176470588235,0.4421052631578947,0.03125,0.07377049180327869,0.05084745762711865,0.0660377358490566
baseline_wavlm_attn,0.6404494382022472,0.7209302325581395,0.4069767441860465,1.0,0.7368421052631579,0.7422680412371134,0.6293103448275862,0.5116279069767442,0.5476190476190477,0.5531914893617021,0.6057692307692307,0.5161290322580645,0.5666666666666667,0.5348837209302325,0.7083333333333334,0.03333333333333333,0.07482993197278912,0.055944055944055944,0.08527131782945736
baseline_wavlm_attn_lw,0.6632653061224489,0.6836734693877551,0.40816326530612246,0.7368421052631579,1.0,0.7884615384615384,0.7758620689655172,0.5,0.5473684210526316,0.6138613861386139,0.6880733944954128,0.5643564356435643,0.5643564356435643,0.5360824742268041,0.7920792079207921,0.03773584905660377,0.08695652173913043,0.06329113924050633,0.0979020979020979
baseline_wavlm_mean,0.6213592233009708,0.7070707070707071,0.4639175257731959,0.7422680412371134,0.7884615384615384,1.0,0.8103448275862069,0.51,0.51,0.6057692307692307,0.6936936936936937,0.5882352941176471,0.6039603960396039,0.53,0.7788461538461539,0.02702702702702703,0.08484848484848485,0.06172839506172839,0.08783783783783784
baseline_wavlm_stats_lw,0.6120689655172413,0.6434782608695652,0.40869565217391307,0.6293103448275862,0.7758620689655172,0.8103448275862069,1.0,0.48695652173913045,0.47413793103448276,0.5982905982905983,0.7478991596638656,0.5555555555555556,0.5689655172413793,0.49137931034482757,0.782608695652174,0.03076923076923077,0.09340659340659341,0.07262569832402235,0.09696969696969697
baseline_whisper_attn,0.5802469135802469,0.6455696202531646,0.5147058823529411,0.5116279069767442,0.5,0.51,0.48695652173913045,1.0,0.696969696969697,0.5609756097560976,0.41904761904761906,0.64,0.5769230769230769,0.8095238095238095,0.5869565217391305,0.0273972602739726,0.06870229007633588,0.064,0.07017543859649122
baseline_whisper_attn_aug,0.6,0.6455696202531646,0.5373134328358209,0.5476190476190477,0.5473684210526316,0.51,0.47413793103448276,0.696969696969697,1.0,0.5802469135802469,0.4752475247524752,0.5974025974025974,0.5974025974025974,0.78125,0.5869565217391305,0.041666666666666664,0.08527131782945736,0.07258064516129033,0.07964601769911504
baseline_whisper_attn_aug_ptt,0.6363636363636364,0.6404494382022472,0.43373493975903615,0.5531914893617021,0.6138613861386139,0.6057692307692307,0.5982905982905983,0.5609756097560976,0.5802469135802469,1.0,0.5137614678899083,0.759493670886076,0.6162790697674418,0.6049382716049383,0.6875,0.02247191011235955,0.07586206896551724,0.06428571428571428,0.08661417322834646
baseline_whisper_attn_lw,0.5420560747663551,0.5754716981132075,0.37254901960784315,0.6057692307692307,0.6880733944954128,0.6936936936936937,0.7478991596638656,0.41904761904761906,0.4752475247524752,0.5137614678899083,1.0,0.4953271028037383,0.5238095238095238,0.4519230769230769,0.6788990825688074,0.027522935779816515,0.09937888198757763,0.0759493670886076,0.10416666666666667
baseline_whisper_attn_ptt,0.6162790697674418,0.6022727272727273,0.46153846153846156,0.5161290322580645,0.5643564356435643,0.5882352941176471,0.5555555555555556,0.64,0.5974025974025974,0.759493670886076,0.4953271028037383,1.0,0.5952380952380952,0.6666666666666666,0.6354166666666666,0.023809523809523808,0.07857142857142857,0.07462686567164178,0.08130081300813008
baseline_whisper_attn_unfreeze2,0.6162790697674418,0.6395348837209303,0.52,0.5666666666666667,0.5643564356435643,0.6039603960396039,0.5689655172413793,0.5769230769230769,0.5974025974025974,0.6162790697674418,0.5238095238095238,0.5952380952380952,1.0,0.6233766233766234,0.6185567010309279,0.03614457831325301,0.07092198581560284,0.051094890510948905,0.07258064516129033
baseline_whisper_mean,0.625,0.6097560975609756,0.5441176470588235,0.5348837209302325,0.5360824742268041,0.53,0.49137931034482757,0.8095238095238095,0.78125,0.6049382716049383,0.4519230769230769,0.6666666666666666,0.6233766233766234,1.0,0.6263736263736264,0.02666666666666667,0.07575757575757576,0.06299212598425197,0.06896551724137931
baseline_whisper_stats_lw,0.6701030927835051,0.782608695652174,0.4421052631578947,0.7083333333333334,0.7920792079207921,0.7788461538461539,0.782608695652174,0.5869565217391305,0.5869565217391305,0.6875,0.6788990825688074,0.6354166666666666,0.6185567010309279,0.6263736263736264,1.0,0.02830188679245283,0.08074534161490683,0.06369426751592357,0.08333333333333333
babar,0.03409090909090909,0.03333333333333333,0.03125,0.03333333333333333,0.03773584905660377,0.02702702702702703,0.03076923076923077,0.0273972602739726,0.041666666666666664,0.02247191011235955,0.027522935779816515,0.023809523809523808,0.03614457831325301,0.02666666666666667,0.02830188679245283,1.0,0.21176470588235294,0.2,0.2318840579710145
usc_sail_role_only,0.10638297872340426,0.0821917808219178,0.07377049180327869,0.07482993197278912,0.08695652173913043,0.08484848484848485,0.09340659340659341,0.06870229007633588,0.08527131782945736,0.07586206896551724,0.09937888198757763,0.07857142857142857,0.07092198581560284,0.07575757575757576,0.08074534161490683,0.21176470588235294,1.0,0.9166666666666666,0.6483516483516484
usc_sail_enrollment,0.07971014492753623,0.06338028169014084,0.05084745762711865,0.055944055944055944,0.06329113924050633,0.06172839506172839,0.07262569832402235,0.064,0.07258064516129033,0.06428571428571428,0.0759493670886076,0.07462686567164178,0.051094890510948905,0.06299212598425197,0.06369426751592357,0.2,0.9166666666666666,1.0,0.5888888888888889
pyannote,0.09523809523809523,0.08527131782945736,0.0660377358490566,0.08527131782945736,0.0979020979020979,0.08783783783783784,0.09696969696969697,0.07017543859649122,0.07964601769911504,0.08661417322834646,0.10416666666666667,0.08130081300813008,0.07258064516129033,0.06896551724137931,0.08333333333333333,0.2318840579710145,0.6483516483516484,0.5888888888888889,1.0
