task,n,pos_rate,accuracy,fp_rate,fn_rate,mean_prob,mean_n_children,pct_interaction
generalsocialinteraction,1,0.0,0.0,1.0,0.0,0.2218657182404834,1.0,1.0
bookshare,9,0.7777777777777778,0.6666666666666666,1.0,0.14285714285714285,0.2999835742867072,1.2222222222222223,0.6666666666666666
motorplay,96,0.65625,0.6875,0.6666666666666666,0.12698412698412698,0.2777158743976022,1.4791666666666667,0.7916666666666666
specialoccasion,17,0.5294117647058824,0.7058823529411765,0.625,0.0,0.2656238301781887,1.7647058823529411,0.8823529411764706
other,43,0.6744186046511628,0.7209302325581395,0.35714285714285715,0.2413793103448276,0.2511966909627082,1.3255813953488371,0.3488372093023256
unknown,11,0.8181818181818182,0.7272727272727273,1.0,0.1111111111111111,0.23980152425514073,1.2727272727272727,0.6363636363636364
toyplay,77,0.7402597402597403,0.7402597402597403,0.55,0.15789473684210525,0.2620475720288654,1.103896103896104,0.7012987012987013
generalsocialcommunicationinteraction,135,0.8296296296296296,0.8518518518518519,0.6521739130434783,0.044642857142857144,0.3196013064812761,1.2222222222222223,0.9407407407407408
dailyroutine,29,0.9310344827586207,0.8620689655172413,1.0,0.07407407407407407,0.30361018332292433,1.1379310344827587,0.8275862068965517
socialroutine,23,0.9565217391304348,0.9130434782608695,1.0,0.045454545454545456,0.3280465910254289,1.1304347826086956,0.9565217391304348
