epoch,train_loss,loss_bce,loss_div,val_loss,val_f1,val_auroc
1,0.5860665339819142,0.5860665339819142,0.0,0.5526089072227478,0.8528974739970282,0.7865853658536585
2,0.5444708928255968,0.5444708928255968,0.0,0.4931313199898377,0.8728943338437979,0.8148083623693381
3,0.5424840798680212,0.5424840798680212,0.0,0.47477623543073966,0.8683812405446294,0.837595818815331
4,0.4979695659917845,0.4979695659917845,0.0,0.43704887903090905,0.8909657320872274,0.8736236933797908
5,0.47759202789043037,0.47759202789043037,0.0,0.4202557584554804,0.8998410174880763,0.871219512195122
6,0.4698836397327168,0.4698836397327168,0.0,0.41861544583156435,0.9054054054054054,0.8790940766550522
7,0.43976368513745323,0.43976368513745323,0.0,0.399470327840757,0.8875,0.877979094076655
8,0.42669550791172917,0.42669550791172917,0.0,0.3920474175065371,0.9050086355785838,0.8809407665505227
9,0.42836650062195014,0.42836650062195014,0.0,0.37858175388621573,0.9133333333333333,0.8813937282229966
10,0.415464236073091,0.415464236073091,0.0,0.413907037427028,0.8618181818181818,0.8773170731707317
11,0.41687040686817234,0.41687040686817234,0.0,0.3793841215134514,0.902027027027027,0.874390243902439
12,0.4145727283518079,0.4145727283518079,0.0,0.3843171858163767,0.9034369885433715,0.8708362369337979
13,0.4250588069971598,0.4250588069971598,0.0,0.38441528428288163,0.893687707641196,0.8698257839721254
14,0.4047057266596337,0.4047057266596337,0.0,0.37272360668702953,0.9073170731707317,0.8801045296167248
