epoch,train_loss,loss_bce,loss_div,val_loss,val_f1,val_auroc
1,0.5374350378548862,0.5374350378548862,0.0,0.465032382732644,0.8627450980392157,0.8028814274519259
2,0.42694640266513717,0.42694640266513717,0.0,0.41554763382145143,0.8779714738510301,0.8419735969618422
3,0.4025366037886664,0.4025366037886664,0.0,0.407491126966825,0.8857589984350548,0.8444752546868407
4,0.3897964350065056,0.3897964350065056,0.0,0.40210714875575965,0.8822605965463108,0.8464042437759962
5,0.3803647624341068,0.3803647624341068,0.0,0.39893252185050193,0.8925869894099848,0.8565615769485803
6,0.377245322324204,0.377245322324204,0.0,0.39270886191809307,0.8878357030015798,0.8568328410392428
7,0.3763158203330853,0.3763158203330853,0.0,0.3937189052912778,0.8835725677830941,0.8597263246729762
8,0.3661513587760083,0.3661513587760083,0.0,0.38367900803245086,0.889589905362776,0.8619567183073121
9,0.36359224270692064,0.36359224270692064,0.0,0.39134080523429415,0.898021308980213,0.8621677014889385
10,0.36675445392941664,0.36675445392941664,0.0,0.4208351668606119,0.8642384105960265,0.8616553137621314
11,0.3651980689251857,0.3651980689251857,0.0,0.42381576771418916,0.8666666666666667,0.8621978419434564
12,0.36846312278137433,0.36846312278137433,0.0,0.3971859118901193,0.8885298869143781,0.8617155946711677
13,0.35129066700605105,0.35129066700605105,0.0,0.38707387305769475,0.9065849923430321,0.8603894146723733
14,0.35381892259349884,0.35381892259349884,0.0,0.38802243072232834,0.9085365853658537,0.862499246488637
15,0.35088741100880483,0.35088741100880483,0.0,0.38900934738776066,0.8892455858747994,0.8638857073964675
16,0.3531599584596836,0.3531599584596836,0.0,0.39653914357226583,0.8860353130016051,0.8587316896738802
17,0.3460459521278805,0.3460459521278805,0.0,0.3851169640329491,0.8913385826771654,0.8614141901259871
18,0.3365780564074386,0.3365780564074386,0.0,0.39187238695486704,0.8828250401284109,0.8634637410332148
19,0.33970095433714176,0.33970095433714176,0.0,0.39088499238536756,0.8874801901743264,0.8583700042196637
