epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.5687597585452158,0.4050898070846285,0.7923497267759563,0.744234180958013,0.85
2,0.48866948286114736,0.3695570605141776,0.6753246753246753,0.7458900059136606,0.95
3,0.47129326131801275,0.37835303246974944,0.8092783505154639,0.7566528681253696,0.9
4,0.44288509642315466,0.34735136372702463,0.7933884297520661,0.7635127143701952,0.9
5,0.42836454086178954,0.3328518075602395,0.8316326530612245,0.7677114133648728,0.8
6,0.42804886426690014,0.4211740025452205,0.7967479674796748,0.7630396215257245,0.95
7,0.43562441687424514,0.3426798047763961,0.7727272727272727,0.7633944411590774,0.85
8,0.3901131306016861,0.32666567606585367,0.7943661971830986,0.7652276759314016,0.9
9,0.39116918408246926,0.3186061097042901,0.7448680351906158,0.7633944411590775,0.9
10,0.38951129795506945,0.3229249038866588,0.7877094972067039,0.7714370195150799,0.85
