child_id,timepoint,n_clips,n_positive,n_negative,n_fp,n_fn,accuracy,mean_kchi_dur,mean_phon_unique,mean_n_children,mean_n_adults,pct_interaction
A6Z2B3J2A9,14_month,2,2,0,0,0,1.0,65.27999999999997,25.5,1.0,0.0,1.0
C1G1X2G4C6,14_month,3,0,3,0,0,1.0,0.24666666666666667,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666
C5L2D6N1W6,14_month,2,1,1,0,0,1.0,6.42,3.5,1.0,0.0,1.0
C4C7T6W2I0,14_month,3,2,1,0,0,1.0,2.6666666666666665,5.0,1.6666666666666667,0.3333333333333333,1.0
M5Y0K3C9L0,14_month,3,1,2,0,0,1.0,1.2666666666666666,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666
M5H7X4O2M2,14_month,3,1,2,0,0,1.0,0.64,2.3333333333333335,2.0,0.6666666666666666,0.6666666666666666
M5F7G8S4F0,14_month,3,3,0,0,0,1.0,2.893333333333333,2.0,1.0,0.0,1.0
M4R4B8C7G8,36_month,1,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0
L7Z6Q2U6Y6,36_month,2,2,0,0,0,1.0,9.99,16.0,1.0,0.0,1.0
M2N1C8G1C8,14_month,1,1,0,0,0,1.0,3.06,1.0,2.0,0.0,1.0
L5Q0Z1W8S2,14_month,1,1,0,0,0,1.0,2.26,2.0,1.0,0.0,1.0
L5V8G4A3K7,14_month,1,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0
L0C6T6H2C6,14_month,3,3,0,0,0,1.0,7.413333333333333,9.333333333333334,1.6666666666666667,0.0,1.0
L3F0P2N3D1,14_month,1,1,0,0,0,1.0,4.98,4.0,1.0,0.0,1.0
L4M1H7J7G3,14_month,8,8,0,0,0,1.0,9.709999999999999,9.375,1.375,0.0,0.875
L4K0P3T4Q8,14_month,2,2,0,0,0,1.0,5.16,7.5,3.0,0.0,1.0
G2N1M4K2S0,14_month,1,1,0,0,0,1.0,4.300000000000001,2.0,1.0,0.0,0.0
F8V2U5P1A0,14_month,5,4,1,0,0,1.0,9.744,9.0,1.0,0.0,0.8
K6I1Q4G2V4,14_month,2,1,1,0,0,1.0,0.56,1.5,1.0,0.0,0.5
E7T7O3G7J5,14_month,3,2,1,0,0,1.0,3.9066666666666667,3.0,1.0,0.3333333333333333,1.0
B9P5V1I5O5,14_month,2,0,2,0,0,1.0,0.0,0.0,1.5,-0.5,0.5
B8I6G9P2G8,36_month,1,0,1,0,0,1.0,0.0,0.0,1.0,1.0,1.0
B2R3Q8L2Y3,14_month,4,4,0,0,0,1.0,15.165,19.0,2.0,0.25,0.75
P3A4R4S2O3,14_month,2,2,0,0,0,1.0,0.65,2.0,1.0,0.0,1.0
S0M6Z7D5X7,14_month,3,2,1,0,0,1.0,5.326666666666667,6.666666666666667,1.3333333333333333,0.0,0.6666666666666666
O6F1J9U1J2,14_month,4,3,1,0,0,1.0,5.16,6.5,1.0,0.25,0.75
O7X6W5O8E0,14_month,3,3,0,0,0,1.0,47.52000000000001,14.0,1.6666666666666667,0.3333333333333333,1.0
O5Q7I1O6N2,14_month,4,4,0,0,0,1.0,10.96,14.25,1.5,0.25,1.0
S9D2T7Y9B1,14_month,3,2,1,0,0,1.0,1.6133333333333333,3.0,1.6666666666666667,0.0,1.0
S7Y0I2P0S8,14_month,5,5,0,0,0,1.0,9.16,13.4,1.0,0.0,0.8
S4O9O2E5Z0,14_month,4,3,1,0,0,1.0,7.3100000000000005,7.25,1.75,0.0,0.75
T1G8F8W8Y8,14_month,4,4,0,0,0,1.0,4.91,6.75,1.0,0.0,0.75
N3C7S2N8O0,14_month,5,3,2,0,0,1.0,1.248,6.2,1.4,0.0,0.6
N6O9P4J0Q2,14_month,1,1,0,0,0,1.0,33.18,13.0,1.0,0.0,1.0
O2U2C6W2S9,14_month,3,3,0,0,0,1.0,9.293333333333335,8.666666666666666,2.0,0.6666666666666666,1.0
N2Z6J3E5Q5,14_month,6,6,0,0,0,1.0,4.126666666666667,5.5,1.3333333333333333,0.3333333333333333,0.8333333333333334
W3I4D2X4Z4,14_month,5,5,0,0,0,1.0,2.2399999999999998,4.0,1.0,0.2,1.0
W2E0Z9B7Z8,36_month,1,1,0,0,0,1.0,35.7,28.0,1.0,0.0,1.0
V9X2Q7S1E1,14_month,1,1,0,0,0,1.0,42.02,5.0,1.0,0.0,0.0
T8P2Z1M9O9,14_month,4,1,3,0,0,1.0,1.11,2.0,1.0,0.0,0.5
W4O4B5W7K0,36_month,2,2,0,0,0,1.0,25.09,22.5,1.0,0.0,1.0
W9K7Y8Y0V6,36_month,3,2,1,0,0,1.0,1.0733333333333335,4.0,1.0,1.0,1.0
W9S0D6Q7Z5,14_month,1,1,0,0,0,1.0,4.42,4.0,1.0,0.0,1.0
W3O7N1N8U2,14_month,2,2,0,0,0,1.0,5.0600000000000005,10.0,2.0,0.0,1.0
X1U1P0D1X3,14_month,3,3,0,0,0,1.0,10.200000000000001,5.333333333333333,1.0,0.0,0.3333333333333333
Y4W4H9A8X5,36_month,2,0,2,0,0,1.0,0.0,0.0,7.0,1.5,1.0
Y6Z4H0C5U2,14_month,2,2,0,0,0,1.0,2.38,6.5,1.0,0.5,1.0
Z1J6X4Y3Z4,14_month,3,1,2,0,0,1.0,1.6066666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666
Z3H6O7C3O9,36_month,1,0,1,0,0,1.0,0.0,0.0,2.0,0.0,0.0
