name,path,f1,auroc,auprc,precision,recall,slurm,config
Whisper-MIL hardneg synth v4,mil/mil_results/whisper_mil_hardneg_synth_v4/test_metrics_tuned.json,0.8787,0.8388,0.9413,0.8415,0.9194,SLURM 13359297,mil/configs/whisper_mil_hardneg_synth_v4.yaml
Whisper-MIL cross-child synth v4,mil/mil_results/whisper_mil_cross_child_synth_v4/test_metrics_tuned.json,0.8799,0.7795,0.9066,0.7923,0.9893,SLURM 13359298,mil/configs/whisper_mil_cross_child_synth_v4.yaml
Whisper-large MIL (backbone sweep),mil/mil_results/whisper_large_mil/test_metrics_tuned.json,0.8934,0.8671,0.9525,0.8237,0.9761,,mil/configs/whisper_large_mil.yaml
Whisper pseudo-frame retrain (single-split),pseudo_frame/results/whisper_pseudo_frame/test_metrics_tuned.json,0.8725,0.8806,0.9544,0.7793,0.991,,pseudo_frame/configs/whisper_pseudo.yaml
Whisper pseudo-frame k-fold f0,pseudo_frame/results/whisper_pseudo_frame_kfold3_f0/test_metrics_tuned.json,0.8519,0.8876,0.9527,0.7421,1.0,SLURM 13390199,pseudo_frame/configs/whisper_pseudo.yaml
Whisper pseudo-frame k-fold f1,pseudo_frame/results/whisper_pseudo_frame_kfold3_f1/test_metrics_tuned.json,0.8446,0.862,0.9365,0.731,1.0,SLURM 13390199,pseudo_frame/configs/whisper_pseudo.yaml
Whisper pseudo-frame k-fold f2,pseudo_frame/results/whisper_pseudo_frame_kfold3_f2/test_metrics_tuned.json,0.8949,0.9018,0.9654,0.8233,0.9802,SLURM 13390199,pseudo_frame/configs/whisper_pseudo.yaml
Fused-attn-unfreeze2 Whisper-medium k-fold f0,baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f0/test_metrics_tuned.json,0.9004,0.8488,0.9112,0.8805,0.9212,,baselines/configs/fused_attn_unfreeze2_whisper_medium.yaml
Fused-attn-unfreeze2 Whisper-medium k-fold f1,baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f1/test_metrics_tuned.json,0.9033,0.9001,0.9476,0.8991,0.9075,,baselines/configs/fused_attn_unfreeze2_whisper_medium.yaml
Fused-attn-unfreeze2 Whisper-medium k-fold f2,baseline_results_seen_child/fused_attn_unfreeze2_whisper_medium_kfold3_f2/test_metrics_tuned.json,0.9075,0.8332,0.9128,0.882,0.9345,,baselines/configs/fused_attn_unfreeze2_whisper_medium.yaml
Fused-attn-unfreeze2 Whisper-large k-fold f0,baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f0/test_metrics_tuned.json,0.9043,0.8929,0.9532,0.8654,0.9469,,baselines/configs/fused_attn_unfreeze2_whisper_large.yaml
Fused-attn-unfreeze2 Whisper-large k-fold f1,baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f1/test_metrics_tuned.json,0.8936,0.804,0.8833,0.8696,0.9189,,baselines/configs/fused_attn_unfreeze2_whisper_large.yaml
Fused-attn-unfreeze2 Whisper-large k-fold f2,baseline_results_seen_child/fused_attn_unfreeze2_whisper_large_kfold3_f2/test_metrics_tuned.json,0.9008,0.8783,0.9559,0.8595,0.9464,,baselines/configs/fused_attn_unfreeze2_whisper_large.yaml
Joint ASR+diar (zero-shot synth holdout),joint_asr_diar_sails_runs/test_metrics_tuned.json,0.8634,0.5542,0.7766,0.7596,1.0,,joint_asr_diar/configs/zero_shot.yaml
Joint ASR+diar + ECAPA enrollment (test),joint_asr_diar_ecapa_enrollment_runs/enroll_test_metrics.json,0.7516,0.6631,0.8404,0.8303,0.6866,SLURM 13386713,pyannote/configs/joint_asr_diar_enrollment.yaml
