epoch,train_loss,val_loss,val_f1,val_auroc
1,0.5721541633148018,0.5417252892235039,0.854421768707483,0.661750137589433
2,0.5536788636591377,0.5285829266926528,0.8660084626234132,0.6624105668684644
3,0.5417894401201387,0.5240543593939938,0.8712871287128713,0.6783709411117226
4,0.540118144098215,0.5321560296340221,0.8730385164051355,0.6916070445789764
5,0.5342544209121204,0.5194712547442752,0.8700564971751412,0.685305448541552
6,0.5207181304420639,0.5095798063789886,0.8690807799442897,0.6935608145294442
7,0.5161848264496501,0.5075181069029733,0.8730822873082287,0.7074023115024767
8,0.519702110076096,0.5204436435102725,0.8682385575589459,0.7056411667583931
9,0.5104677838886656,0.5110277138961579,0.8706536856745479,0.7174738580077051
10,0.5023905624885384,0.5043540077150006,0.8730822873082287,0.7160704457897633
11,0.5034495818133398,0.5045344733704409,0.8720112517580872,0.7060539350577876
12,0.5015692593211808,0.5023993026733122,0.8684582743988685,0.7225096312603192
