epoch,train_loss,val_loss,val_f1,val_auroc,val_threshold
1,0.41441655127195326,0.32267643971876664,0.7870036101083032,0.8181880482456141,0.95
2,0.31120143676312956,0.28889151459390466,0.8014184397163121,0.810718201754386,0.95
3,0.28745107720719604,0.26829231259497727,0.8291873963515755,0.8072094298245613,0.95
4,0.2755920782957862,0.26887644068761307,0.8387096774193549,0.8202028508771931,0.9
5,0.2774103194838617,0.2624415701085871,0.8106194690265487,0.8195175438596491,0.95
6,0.24464985187642457,0.24294170818545602,0.8243478260869566,0.8177631578947369,0.95
7,0.257777127369148,0.2516609411347996,0.8307692307692308,0.8159539473684211,0.95
8,0.2416985157150321,0.24907040365717628,0.8447412353923205,0.8171875,0.9
9,0.2307444174387833,0.2528570775281299,0.8344594594594594,0.8236293859649122,0.95
10,0.23678666637165519,0.23486570512706584,0.8197278911564626,0.8079495614035087,0.95
11,0.2322206009724518,0.24797928380695256,0.7985739750445633,0.8174067982456141,0.95
12,0.22054715284214513,0.23966367529197172,0.8175675675675675,0.8123355263157894,0.95
13,0.21877029458651456,0.23896383263848045,0.8369747899159664,0.8203673245614035,0.95
