epoch,train_loss,val_loss,val_f1,val_auroc
1,0.06717217541395852,0.6873171422930365,0.8460508701472557,0.5308475509080902
2,0.05557128662664635,0.67416615809234,0.8467741935483871,0.5477160154100165
3,0.053580007741084824,0.6481354641716792,0.8539944903581267,0.5838194826637314
4,0.05149854330571143,0.6117417702320077,0.8517006802721089,0.5999174463401211
5,0.05004273137790153,0.5783987638009539,0.8475524475524475,0.6443313153549808
6,0.04906310806195394,0.5894661472578616,0.8524590163934426,0.6526141992294991
7,0.04822225427422699,0.5912063161079748,0.8567493112947658,0.6549807374793616
8,0.04696049499655703,0.6069475577360482,0.8283132530120482,0.6543753439735828
9,0.04614567926068742,0.5615951285547341,0.850415512465374,0.6863511282333516
10,0.04523552003601351,0.5764791267251651,0.8460431654676259,0.6786186020913594
11,0.04347196306630817,0.5885356470717027,0.8388969521044993,0.6771601541001651
12,0.044440176602991384,0.5837087516706402,0.8419540229885057,0.6774353329664282
