diarizer_a,diarizer_b,n_clips,n_agree,agreement
TalkNet-ASD,WavLM-MIL,441,105,0.2381
TalkNet-ASD,EEND-EDA,441,109,0.2472
USC-SAIL,TalkNet-ASD,441,116,0.263
VBx,TalkNet-ASD,441,123,0.2789
TalkNet-ASD,Sortformer,441,127,0.288
Pyannote,TalkNet-ASD,441,142,0.322
VTC,TalkNet-ASD,441,153,0.3469
TalkNet-ASD,Whisper-MIL,441,160,0.3628
VTC-KCHI,TalkNet-ASD,441,179,0.4059
BabAR,TalkNet-ASD,441,179,0.4059
BabAR,EEND-EDA,441,307,0.6961
VTC-KCHI,EEND-EDA,441,307,0.6961
VTC-KCHI,Sortformer,441,315,0.7143
BabAR,Sortformer,441,315,0.7143
Pyannote,VTC-KCHI,441,322,0.7302
BabAR,Pyannote,441,322,0.7302
BabAR,VBx,441,329,0.746
VTC-KCHI,VBx,441,329,0.746
EEND-EDA,Whisper-MIL,441,332,0.7528
BabAR,WavLM-MIL,441,335,0.7596
VTC-KCHI,WavLM-MIL,441,335,0.7596
BabAR,USC-SAIL,441,338,0.7664
USC-SAIL,VTC-KCHI,441,338,0.7664
Sortformer,Whisper-MIL,441,340,0.771
VTC,Sortformer,441,343,0.7778
VTC,EEND-EDA,441,345,0.7823
BabAR,Whisper-MIL,441,348,0.7891
VTC-KCHI,Whisper-MIL,441,348,0.7891
VBx,Whisper-MIL,441,350,0.7937
Pyannote,VTC,441,354,0.8027
EEND-EDA,Sortformer,441,355,0.805
Pyannote,EEND-EDA,441,358,0.8118
Pyannote,Whisper-MIL,441,359,0.8141
USC-SAIL,Sortformer,441,360,0.8163
Pyannote,USC-SAIL,441,363,0.8231
USC-SAIL,Whisper-MIL,441,365,0.8277
VTC,WavLM-MIL,441,365,0.8277
VTC,VBx,441,367,0.8322
WavLM-MIL,Whisper-MIL,441,374,0.8481
VTC,Whisper-MIL,441,374,0.8481
Pyannote,WavLM-MIL,441,376,0.8526
USC-SAIL,EEND-EDA,441,376,0.8526
Sortformer,WavLM-MIL,441,377,0.8549
EEND-EDA,WavLM-MIL,441,377,0.8549
Pyannote,Sortformer,441,378,0.8571
VBx,Sortformer,441,381,0.8639
USC-SAIL,VTC,441,382,0.8662
VBx,EEND-EDA,441,385,0.873
VBx,WavLM-MIL,441,387,0.8776
USC-SAIL,VBx,441,388,0.8798
USC-SAIL,WavLM-MIL,441,390,0.8844
BabAR,VTC,441,397,0.9002
VTC,VTC-KCHI,441,397,0.9002
Pyannote,VBx,441,402,0.9116
BabAR,VTC-KCHI,441,441,1.0
