audio_path,n_diarizers_fp,pct_diarizers,diarizers,#_adults,#_children,#_people_interacting,has_interaction,n_children_cat,n_adults_cat,Context,Location,child_id,timepoint_norm,task
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A2P7X9N8L7/ses-01/beh/sub-A2P7X9N8L7_ses-01_task-motorplay_run-07_audio.wav,11,1.0,"BabAR, EEND-EDA, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",1.0,1.0,2.0,True,1,1,motor play,outside private,A2P7X9N8L7,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-B1S3L8Q7Y6/ses-01/beh/sub-B1S3L8Q7Y6_ses-01_task-motorplay_run-03_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,1.0,True,2+,0,motor play,outside private,B1S3L8Q7Y6,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1I8N8L4Q4/ses-02/beh/sub-C1I8N8L4Q4_ses-02_task-other_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,0.0,False,2+,0,other,inside private,C1I8N8L4Q4,36_month,other
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C1G1X2G4C6/ses-02/beh/sub-C1G1X2G4C6_ses-02_task-specialoccasion_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",1.0,2.0,,True,2+,1,special occasion,inside private,C1G1X2G4C6,36_month,specialoccasion
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F8N7H3T0O1/ses-02/beh/sub-F8N7H3T0O1_ses-02_task-motorplay_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,0.0,False,2+,0,motor play,outside public,F8N7H3T0O1,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-I8T4E2J3M6/ses-01/beh/sub-I8T4E2J3M6_ses-01_task-toyplay_run-09_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,1.0,True,2+,0,toy play,outside public,I8T4E2J3M6,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F6J0V8B6S4/ses-02/beh/sub-F6J0V8B6S4_ses-02_task-generalsocialcommunicationinteraction_run-02_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",1.0,1.0,2.0,True,1,1,general social communication interaction,inside public,F6J0V8B6S4,36_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-D8G5K7I0D6/ses-01/beh/sub-D8G5K7I0D6_ses-01_task-toyplay_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,1.0,True,1,0,toy play,inside private,D8G5K7I0D6,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-Q9W9P7Z3J7/ses-02/beh/sub-Q9W9P7Z3J7_ses-02_task-motorplay_run-01_audio.wav,10,0.909,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,0.0,False,1,0,motor play,outside private,Q9W9P7Z3J7,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R2C7W8X7N9/ses-01/beh/sub-R2C7W8X7N9_ses-01_task-specialoccasion_run-03_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",1.0,2.0,0.0,False,2+,1,special occasion,inside private,R2C7W8X7N9,14_month,specialoccasion
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-A6Y4Y7X2G1/ses-01/beh/sub-A6Y4Y7X2G1_ses-01_task-generalsocialcommunicationinteraction_run-04_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",0.0,1.0,1.0,True,1,0,general social communication interaction,inside private,A6Y4Y7X2G1,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C5L2D6N1W6/ses-01/beh/sub-C5L2D6N1W6_ses-01_task-toyplay_run-01_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,2.0,True,1,0,toy play,inside private,C5L2D6N1W6,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-R6R8Q6A7K0/ses-01/beh/sub-R6R8Q6A7K0_ses-01_task-generalsocialcommunicationinteraction_run-01_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",1.0,1.0,2.0,True,1,1,general social communication interaction,outside private,R6R8Q6A7K0,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-F3N4H0K1Z1/ses-02/beh/sub-F3N4H0K1Z1_ses-02_task-motorplay_run-05_audio.wav,9,0.818,"BabAR, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,1.0,True,2+,0,motor play,outside public,F3N4H0K1Z1,36_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S6T9X3C8Y2/ses-01/beh/sub-S6T9X3C8Y2_ses-01_task-motorplay_run-02_audio.wav,9,0.818,"BabAR, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,2.0,1.0,True,2+,0,motor play,outside private,S6T9X3C8Y2,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E3O3H8O7H4/ses-01/beh/sub-E3O3H8O7H4_ses-01_task-toyplay_run-01_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",0.0,2.0,2.0,True,2+,0,toy play,outside private,E3O3H8O7H4,14_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-V7D7K3H8B4/ses-01/beh/sub-V7D7K3H8B4_ses-01_task-bookshare_run-02_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",0.0,1.0,0.0,False,1,0,book share,inside private,V7D7K3H8B4,14_month,bookshare
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-T2H0J0N2Z5/ses-02/beh/sub-T2H0J0N2Z5_ses-02_task-toyplay_run-04_audio.wav,9,0.818,"BabAR, EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",1.0,1.0,1.0,True,1,1,toy play,inside private,T2H0J0N2Z5,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S9D2T7Y9B1/ses-02/beh/sub-S9D2T7Y9B1_ses-02_task-specialoccasion_run-02_audio.wav,9,0.818,"EEND-EDA, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VBx, VTC, WavLM-MIL, Whisper-MIL",0.0,2.0,,True,2+,0,special occasion,inside private,S9D2T7Y9B1,36_month,specialoccasion
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-E7Z4G3O5K2/ses-01/beh/sub-E7Z4G3O5K2_ses-01_task-socialroutine_run-01_audio.wav,8,0.727,"EEND-EDA, Pyannote, Sortformer, TalkNet-ASD, USC-SAIL, VBx, WavLM-MIL, Whisper-MIL",0.0,1.0,1.0,True,1,0,social routine,outside public,E7Z4G3O5K2,14_month,socialroutine
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-N2H7T0A7U5/ses-02/beh/sub-N2H7T0A7U5_ses-02_task-toyplay_run-03_audio.wav,8,0.727,"BabAR, EEND-EDA, Pyannote, Sortformer, VBx, VTC, VTC-KCHI, WavLM-MIL",0.0,1.0,0.0,False,1,0,toy play,inside private,N2H7T0A7U5,36_month,toyplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-S7F0B6H3A3/ses-01/beh/sub-S7F0B6H3A3_ses-01_task-generalsocialcommunicationinteraction_run-01_audio.wav,8,0.727,"BabAR, EEND-EDA, Sortformer, USC-SAIL, VTC, VTC-KCHI, WavLM-MIL, Whisper-MIL",0.0,1.0,1.0,True,1,0,general social communication interaction,inside public,S7F0B6H3A3,14_month,generalsocialcommunicationinteraction
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-G3D3S2N7W8/ses-01/beh/sub-G3D3S2N7W8_ses-01_task-motorplay_run-01_audio.wav,8,0.727,"EEND-EDA, Pyannote, Sortformer, USC-SAIL, VBx, VTC, WavLM-MIL, Whisper-MIL",0.0,1.0,1.0,True,1,0,motor play,outside public,G3D3S2N7W8,14_month,motorplay
/orcd/scratch/bcs/001/sensein/sails/BIDS_data/final_bids-dataset/derivatives/preprocessed/sub-C4C7T6W2I0/ses-02/beh/sub-C4C7T6W2I0_ses-02_task-motorplay_run-02_audio.wav,8,0.727,"BabAR, EEND-EDA, Pyannote, USC-SAIL, VBx, VTC, VTC-KCHI, WavLM-MIL",0.0,2.0,2.0,True,2+,0,motor play,outside public,C4C7T6W2I0,36_month,motorplay
