diarizer,prob_bin,n,mean_prob,actual_pos_rate,accuracy
BabAR,"(-0.001, 0.2]",145,0.0154,0.4276,0.6
BabAR,"(0.2, 0.4]",97,0.334,0.9278,0.9278
BabAR,"(0.4, 0.5]",124,0.4506,0.8952,0.8952
BabAR,"(0.5, 0.6]",58,0.5383,0.9483,0.9483
BabAR,"(0.6, 0.8]",17,0.6576,1.0,1.0
Pyannote,"(-0.001, 0.2]",96,0.0877,0.5521,0.5938
Pyannote,"(0.2, 0.4]",257,0.3091,0.821,0.821
Pyannote,"(0.4, 0.5]",70,0.4368,0.8286,0.8286
Pyannote,"(0.5, 0.6]",12,0.5242,0.75,0.75
Pyannote,"(0.6, 0.8]",4,0.6385,1.0,1.0
USC-SAIL,"(-0.001, 0.2]",43,0.0253,0.3256,0.6744
USC-SAIL,"(0.2, 0.4]",90,0.3373,0.7889,0.7778
USC-SAIL,"(0.4, 0.5]",175,0.4525,0.8171,0.8171
USC-SAIL,"(0.5, 0.6]",87,0.5394,0.8506,0.8506
USC-SAIL,"(0.6, 0.8]",46,0.6582,0.7174,0.7174
VTC,"(-0.001, 0.2]",95,0.0118,0.3474,0.6526
VTC,"(0.2, 0.4]",108,0.3239,0.8148,0.8148
VTC,"(0.4, 0.5]",140,0.4508,0.8929,0.8929
VTC,"(0.5, 0.6]",81,0.542,0.8889,0.8889
VTC,"(0.6, 0.8]",17,0.6583,1.0,1.0
VTC-KCHI,"(-0.001, 0.2]",145,0.0154,0.4276,0.6
VTC-KCHI,"(0.2, 0.4]",97,0.334,0.9278,0.9278
VTC-KCHI,"(0.4, 0.5]",124,0.4506,0.8952,0.8952
VTC-KCHI,"(0.5, 0.6]",58,0.5383,0.9483,0.9483
VTC-KCHI,"(0.6, 0.8]",17,0.6576,1.0,1.0
VBx,"(-0.001, 0.2]",58,0.0592,0.4655,0.5
VBx,"(0.2, 0.4]",127,0.3295,0.748,0.748
VBx,"(0.4, 0.5]",113,0.4476,0.7788,0.7788
VBx,"(0.5, 0.6]",88,0.5519,0.8977,0.8977
VBx,"(0.6, 0.8]",54,0.653,0.8519,0.8519
TalkNet-ASD,"(-0.001, 0.2]",387,0.0132,0.7416,0.3178
TalkNet-ASD,"(0.2, 0.4]",38,0.2752,0.8947,0.8947
TalkNet-ASD,"(0.4, 0.5]",10,0.4419,0.8,0.8
TalkNet-ASD,"(0.5, 0.6]",2,0.5602,1.0,1.0
TalkNet-ASD,"(0.6, 0.8]",1,0.7328,1.0,1.0
EEND-EDA,"(-0.001, 0.2]",67,0.0802,0.6567,0.5373
EEND-EDA,"(0.2, 0.4]",172,0.3068,0.8198,0.8198
EEND-EDA,"(0.4, 0.5]",75,0.4552,0.7067,0.7067
EEND-EDA,"(0.5, 0.6]",68,0.5526,0.75,0.75
EEND-EDA,"(0.6, 0.8]",56,0.6726,0.7679,0.7679
EEND-EDA,"(0.8, 1.0]",2,0.8332,1.0,1.0
Sortformer,"(-0.001, 0.2]",128,0.0912,0.6172,0.5703
Sortformer,"(0.2, 0.4]",250,0.3059,0.816,0.816
Sortformer,"(0.4, 0.5]",45,0.4392,0.8222,0.8222
Sortformer,"(0.5, 0.6]",10,0.5288,0.8,0.8
Sortformer,"(0.6, 0.8]",7,0.63,1.0,1.0
WavLM-MIL,"(-0.001, 0.2]",4,0.1707,0.5,0.5
WavLM-MIL,"(0.2, 0.4]",16,0.2933,0.0625,0.9375
WavLM-MIL,"(0.4, 0.5]",17,0.4591,0.3529,0.6471
WavLM-MIL,"(0.5, 0.6]",23,0.5578,0.3478,0.3478
WavLM-MIL,"(0.6, 0.8]",153,0.718,0.7516,0.7516
WavLM-MIL,"(0.8, 1.0]",228,0.8793,0.8904,0.8904
Whisper-MIL,"(-0.001, 0.2]",23,0.1335,0.1739,0.8261
Whisper-MIL,"(0.2, 0.4]",48,0.301,0.375,0.625
Whisper-MIL,"(0.4, 0.5]",21,0.4539,0.4762,0.5238
Whisper-MIL,"(0.5, 0.6]",31,0.5557,0.5806,0.5806
Whisper-MIL,"(0.6, 0.8]",90,0.718,0.7778,0.7778
Whisper-MIL,"(0.8, 1.0]",228,0.9067,0.943,0.943
