diarizer,child_id,timepoint_norm,n_clips,n_fp,n_fn,accuracy
BabAR,A1H3H9Y3T1,14_month,3,0,0,1.0
BabAR,A2M5H0V6E3,14_month,3,0,0,1.0
BabAR,A2P7X9N8L7,14_month,5,1,0,0.8
BabAR,A3G3T7I1A5,14_month,4,0,1,0.75
BabAR,A4E8K1L5Y2,36_month,3,0,1,0.6667
BabAR,A5X1S7S1E7,14_month,3,0,0,1.0
BabAR,A6S0V1J3G6,14_month,1,0,0,1.0
BabAR,A6Y4Y7X2G1,14_month,6,2,0,0.6667
BabAR,A6Z2B3J2A9,14_month,2,0,0,1.0
BabAR,A8P5O6Z7X6,14_month,1,0,0,1.0
BabAR,B1L0B3F6F1,14_month,3,0,0,1.0
BabAR,B1S3L8Q7Y6,14_month,17,1,3,0.7647
BabAR,B2R3Q8L2Y3,14_month,4,0,0,1.0
BabAR,B4Q3G8H2N3,14_month,8,0,4,0.5
BabAR,B8I6G9P2G8,36_month,1,0,0,1.0
BabAR,B9P5V1I5O5,14_month,2,0,0,1.0
BabAR,C0O6X3N5Y7,14_month,10,0,2,0.8
BabAR,C1G1X2G4C6,14_month,3,1,0,0.6667
BabAR,C1I8N8L4Q4,36_month,2,1,0,0.5
BabAR,C3A8Q4J6E5,14_month,1,0,0,1.0
BabAR,C4C7T6W2I0,14_month,3,1,0,0.6667
BabAR,C5L2D6N1W6,14_month,2,1,0,0.5
BabAR,C5U1P3X9F0,14_month,8,0,2,0.75
BabAR,D4Y7P4G2V4,14_month,5,0,2,0.6
BabAR,D8G5K7I0D6,14_month,4,1,1,0.5
BabAR,D8O8B2C4X2,14_month,3,0,0,1.0
BabAR,D9N0U7M9X3,36_month,1,0,0,1.0
BabAR,E2P5Q8S5A7,14_month,3,0,1,0.6667
BabAR,E3O3H8O7H4,14_month,3,1,0,0.6667
BabAR,E7G3N4A1K5,36_month,2,0,0,1.0
BabAR,E7T7O3G7J5,14_month,3,0,0,1.0
BabAR,E7Z4G3O5K2,14_month,4,0,1,0.75
BabAR,F3N4H0K1Z1,14_month,12,1,0,0.9167
BabAR,F6J0V8B6S4,36_month,1,1,0,0.0
BabAR,F8N7H3T0O1,14_month,6,2,0,0.6667
BabAR,F8V2U5P1A0,14_month,5,0,0,1.0
BabAR,G2N1M4K2S0,14_month,1,0,0,1.0
BabAR,G3A6S5R9F7,14_month,5,0,1,0.8
BabAR,G3D3S2N7W8,14_month,2,0,1,0.5
BabAR,G4J8F6F4X0,14_month,11,0,0,1.0
BabAR,G8Q8I6N0I3,14_month,2,0,1,0.5
BabAR,H3B5L5F8T1,14_month,5,0,1,0.8
BabAR,H7C3T0K5E5,14_month,4,0,2,0.5
BabAR,I8T4E2J3M6,14_month,8,1,1,0.75
BabAR,J3J0V4T8C3,14_month,12,0,2,0.8333
BabAR,J4J6X7C4D9,14_month,5,0,2,0.6
BabAR,K6I1Q4G2V4,14_month,2,0,0,1.0
BabAR,K6O1J5K7Z0,14_month,7,0,1,0.8571
BabAR,L0B0Q5O3Q3,14_month,10,0,0,1.0
BabAR,L0C6T6H2C6,14_month,3,0,0,1.0
BabAR,L3F0P2N3D1,14_month,1,0,0,1.0
BabAR,L4K0P3T4Q8,14_month,2,0,0,1.0
BabAR,L4M1H7J7G3,14_month,8,0,0,1.0
BabAR,L4M8P2T7S0,36_month,7,0,1,0.8571
BabAR,L5Q0Z1W8S2,14_month,1,0,0,1.0
BabAR,L5V8G4A3K7,14_month,1,0,0,1.0
BabAR,L6F2P7K8P1,14_month,5,0,1,0.8
BabAR,L7Z6Q2U6Y6,36_month,2,0,0,1.0
BabAR,M2N1C8G1C8,14_month,1,0,0,1.0
BabAR,M4R4B8C7G8,36_month,1,0,0,1.0
BabAR,M5F7G8S4F0,14_month,3,0,0,1.0
BabAR,M5H7X4O2M2,14_month,3,0,0,1.0
BabAR,M5O1K4W9O1,14_month,5,0,3,0.4
BabAR,M5Y0K3C9L0,14_month,3,0,0,1.0
BabAR,N2H7T0A7U5,36_month,1,1,0,0.0
BabAR,N2Z6J3E5Q5,14_month,6,0,0,1.0
BabAR,N3C7S2N8O0,14_month,5,0,0,1.0
BabAR,N3L7A1I2B9,14_month,25,2,1,0.88
BabAR,N5I9D3R2M1,14_month,4,0,1,0.75
BabAR,N6O9P4J0Q2,14_month,1,0,0,1.0
BabAR,O2U2C6W2S9,14_month,3,0,0,1.0
BabAR,O5Q7I1O6N2,14_month,4,0,0,1.0
BabAR,O6F1J9U1J2,14_month,4,0,0,1.0
BabAR,O7X6W5O8E0,14_month,3,0,0,1.0
BabAR,P3A4R4S2O3,14_month,2,0,0,1.0
BabAR,Q9W9P7Z3J7,14_month,6,1,2,0.5
BabAR,R2C7W8X7N9,14_month,2,2,0,0.0
BabAR,R4O0P4P3J4,14_month,3,0,2,0.3333
BabAR,R6R8Q6A7K0,14_month,8,1,1,0.75
BabAR,S0M6Z7D5X7,14_month,3,0,0,1.0
BabAR,S2C4T1Y7V7,14_month,6,0,1,0.8333
BabAR,S4C2W1M7Q0,36_month,4,0,3,0.25
BabAR,S4O9O2E5Z0,14_month,4,0,0,1.0
BabAR,S6T9X3C8Y2,14_month,2,2,0,0.0
BabAR,S7F0B6H3A3,14_month,5,1,1,0.6
BabAR,S7Y0I2P0S8,14_month,5,0,0,1.0
BabAR,S9B3J7I4R1,14_month,6,0,2,0.6667
BabAR,S9D2T7Y9B1,14_month,3,0,0,1.0
BabAR,T1G8F8W8Y8,14_month,4,0,0,1.0
BabAR,T2H0J0N2Z5,14_month,5,1,0,0.8
BabAR,T8P2Z1M9O9,14_month,4,0,0,1.0
BabAR,U6O5F2B7T5,14_month,3,0,1,0.6667
BabAR,V7D7K3H8B4,14_month,3,1,0,0.6667
BabAR,V9X2Q7S1E1,14_month,1,0,0,1.0
BabAR,W2E0Z9B7Z8,36_month,1,0,0,1.0
BabAR,W3I4D2X4Z4,14_month,5,0,0,1.0
BabAR,W3O7N1N8U2,14_month,2,0,0,1.0
BabAR,W3P0N4W0X9,14_month,6,0,2,0.6667
BabAR,W4O4B5W7K0,36_month,2,0,0,1.0
BabAR,W7P7J6H1H6,14_month,2,0,1,0.5
BabAR,W9K7Y8Y0V6,36_month,3,0,0,1.0
BabAR,W9S0D6Q7Z5,14_month,1,0,0,1.0
BabAR,X1U1P0D1X3,14_month,3,0,0,1.0
BabAR,X2N4R2N5V8,36_month,2,0,0,1.0
BabAR,Y4W4H9A8X5,36_month,2,0,0,1.0
BabAR,Y6Z4H0C5U2,14_month,2,0,0,1.0
BabAR,Z1J6X4Y3Z4,14_month,3,0,0,1.0
BabAR,Z2E7T3I3H2,14_month,4,0,1,0.75
BabAR,Z3H6O7C3O9,36_month,1,0,0,1.0
Pyannote,A1H3H9Y3T1,14_month,3,1,1,0.3333
Pyannote,A2M5H0V6E3,14_month,3,0,0,1.0
Pyannote,A2P7X9N8L7,14_month,5,1,0,0.8
Pyannote,A3G3T7I1A5,14_month,4,0,0,1.0
Pyannote,A4E8K1L5Y2,36_month,3,0,0,1.0
Pyannote,A5X1S7S1E7,14_month,3,0,0,1.0
Pyannote,A6S0V1J3G6,14_month,1,1,0,0.0
Pyannote,A6Y4Y7X2G1,14_month,6,1,1,0.6667
Pyannote,A6Z2B3J2A9,14_month,2,0,0,1.0
Pyannote,A8P5O6Z7X6,14_month,1,0,0,1.0
Pyannote,B1L0B3F6F1,14_month,3,0,0,1.0
Pyannote,B1S3L8Q7Y6,14_month,17,2,2,0.7647
Pyannote,B2R3Q8L2Y3,14_month,4,0,0,1.0
Pyannote,B4Q3G8H2N3,14_month,8,1,0,0.875
Pyannote,B8I6G9P2G8,36_month,1,1,0,0.0
Pyannote,B9P5V1I5O5,14_month,2,1,0,0.5
Pyannote,C0O6X3N5Y7,14_month,10,2,1,0.7
Pyannote,C1G1X2G4C6,14_month,3,2,0,0.3333
Pyannote,C1I8N8L4Q4,36_month,2,1,0,0.5
Pyannote,C3A8Q4J6E5,14_month,1,0,0,1.0
Pyannote,C4C7T6W2I0,14_month,3,1,0,0.6667
Pyannote,C5L2D6N1W6,14_month,2,1,0,0.5
Pyannote,C5U1P3X9F0,14_month,8,0,3,0.625
Pyannote,D4Y7P4G2V4,14_month,5,1,0,0.8
Pyannote,D8G5K7I0D6,14_month,4,1,0,0.75
Pyannote,D8O8B2C4X2,14_month,3,0,0,1.0
Pyannote,D9N0U7M9X3,36_month,1,0,0,1.0
Pyannote,E2P5Q8S5A7,14_month,3,0,0,1.0
Pyannote,E3O3H8O7H4,14_month,3,1,0,0.6667
Pyannote,E7G3N4A1K5,36_month,2,0,2,0.0
Pyannote,E7T7O3G7J5,14_month,3,1,0,0.6667
Pyannote,E7Z4G3O5K2,14_month,4,2,0,0.5
Pyannote,F3N4H0K1Z1,14_month,12,1,1,0.8333
Pyannote,F6J0V8B6S4,36_month,1,1,0,0.0
Pyannote,F8N7H3T0O1,14_month,6,1,0,0.8333
Pyannote,F8V2U5P1A0,14_month,5,1,0,0.8
Pyannote,G2N1M4K2S0,14_month,1,0,0,1.0
Pyannote,G3A6S5R9F7,14_month,5,2,1,0.4
Pyannote,G3D3S2N7W8,14_month,2,1,0,0.5
Pyannote,G4J8F6F4X0,14_month,11,2,0,0.8182
Pyannote,G8Q8I6N0I3,14_month,2,0,0,1.0
Pyannote,H3B5L5F8T1,14_month,5,0,1,0.8
Pyannote,H7C3T0K5E5,14_month,4,0,1,0.75
Pyannote,I8T4E2J3M6,14_month,8,6,0,0.25
Pyannote,J3J0V4T8C3,14_month,12,0,2,0.8333
Pyannote,J4J6X7C4D9,14_month,5,0,1,0.8
Pyannote,K6I1Q4G2V4,14_month,2,0,0,1.0
Pyannote,K6O1J5K7Z0,14_month,7,0,0,1.0
Pyannote,L0B0Q5O3Q3,14_month,10,1,0,0.9
Pyannote,L0C6T6H2C6,14_month,3,0,0,1.0
Pyannote,L3F0P2N3D1,14_month,1,0,0,1.0
Pyannote,L4K0P3T4Q8,14_month,2,0,0,1.0
Pyannote,L4M1H7J7G3,14_month,8,0,0,1.0
Pyannote,L4M8P2T7S0,36_month,7,1,0,0.8571
Pyannote,L5Q0Z1W8S2,14_month,1,0,0,1.0
Pyannote,L5V8G4A3K7,14_month,1,1,0,0.0
Pyannote,L6F2P7K8P1,14_month,5,0,2,0.6
Pyannote,L7Z6Q2U6Y6,36_month,2,0,0,1.0
Pyannote,M2N1C8G1C8,14_month,1,0,0,1.0
Pyannote,M4R4B8C7G8,36_month,1,0,0,1.0
Pyannote,M5F7G8S4F0,14_month,3,0,0,1.0
Pyannote,M5H7X4O2M2,14_month,3,1,0,0.6667
Pyannote,M5O1K4W9O1,14_month,5,0,1,0.8
Pyannote,M5Y0K3C9L0,14_month,3,0,0,1.0
Pyannote,N2H7T0A7U5,36_month,1,1,0,0.0
Pyannote,N2Z6J3E5Q5,14_month,6,0,2,0.6667
Pyannote,N3C7S2N8O0,14_month,5,0,0,1.0
Pyannote,N3L7A1I2B9,14_month,25,3,2,0.8
Pyannote,N5I9D3R2M1,14_month,4,0,0,1.0
Pyannote,N6O9P4J0Q2,14_month,1,0,0,1.0
Pyannote,O2U2C6W2S9,14_month,3,0,0,1.0
Pyannote,O5Q7I1O6N2,14_month,4,0,0,1.0
Pyannote,O6F1J9U1J2,14_month,4,1,0,0.75
Pyannote,O7X6W5O8E0,14_month,3,0,0,1.0
Pyannote,P3A4R4S2O3,14_month,2,0,0,1.0
Pyannote,Q9W9P7Z3J7,14_month,6,2,1,0.5
Pyannote,R2C7W8X7N9,14_month,2,1,0,0.5
Pyannote,R4O0P4P3J4,14_month,3,0,0,1.0
Pyannote,R6R8Q6A7K0,14_month,8,2,0,0.75
Pyannote,S0M6Z7D5X7,14_month,3,0,0,1.0
Pyannote,S2C4T1Y7V7,14_month,6,2,0,0.6667
Pyannote,S4C2W1M7Q0,36_month,4,1,1,0.5
Pyannote,S4O9O2E5Z0,14_month,4,1,0,0.75
Pyannote,S6T9X3C8Y2,14_month,2,1,0,0.5
Pyannote,S7F0B6H3A3,14_month,5,0,0,1.0
